S.D.,Counts,Seed
0.5,256,256
0.6,252,256
0.7,235,256
0.8,232,256
0.9,224,256
1.0,215,256
1.1,195,256
1.2,171,256
1.3,140,256
1.4,115,256
1.5,100,256
1.6,85,256
1.7,65,256
1.8,52,256
1.9,44,256
2.0,34,256
2.1,21,256
2.2,18,256
2.3,11,256
2.4,5,256
2.5,2,256
2.6,2,256
2.7,2,256
2.8,1,256
2.9,0,256
3.0,0,256
