,defect,tit_for_tat,generous_tit_for_tat,cooperate
0,24,24,22,30
1,24,24,22,30
2,24,23,23,30
3,24,23,23,30
4,23,23,23,31
5,23,23,24,30
6,23,23,24,30
7,23,23,24,30
8,23,23,25,29
9,23,23,25,29
10,22,23,25,30
11,22,23,26,29
12,22,24,25,29
13,21,24,25,30
14,21,24,25,30
15,21,25,25,29
16,21,26,25,28
17,21,25,25,29
18,21,26,25,28
19,21,25,26,28
20,21,25,26,28
21,21,25,26,28
22,20,25,26,29
23,21,25,25,29
24,21,25,24,30
25,21,25,25,29
26,22,24,25,29
27,21,24,26,29
28,22,23,26,29
29,22,22,26,30
30,22,22,26,30
31,22,21,26,31
32,22,21,26,31
33,22,22,25,31
34,22,22,25,31
35,22,21,26,31
36,23,21,26,30
37,24,21,26,29
38,24,22,25,29
39,24,21,26,29
40,24,20,27,29
41,25,20,26,29
42,25,20,25,30
43,26,20,25,29
44,26,21,24,29
45,27,21,24,28
46,26,21,24,29
47,26,21,25,28
48,25,21,25,29
49,24,22,25,29
50,25,22,24,29
51,25,22,23,30
52,25,22,23,30
53,25,22,23,30
54,25,22,22,31
55,25,23,22,30
56,25,22,23,30
57,24,22,23,31
58,25,22,22,31
59,26,22,22,30
60,26,22,23,29
61,26,21,23,30
62,25,22,23,30
63,25,21,23,31
64,26,21,23,30
65,26,21,23,30
66,25,22,23,30
67,26,22,23,29
68,26,22,23,29
69,26,22,23,29
70,26,23,22,29
71,26,23,22,29
72,26,22,23,29
73,27,21,23,29
74,27,22,23,28
75,27,21,24,28
76,27,21,23,29
77,27,21,24,28
78,28,21,24,27
79,28,22,24,26
80,29,22,23,26
81,28,22,24,26
82,27,22,24,27
83,26,22,24,28
84,27,21,24,28
85,27,22,23,28
86,27,22,22,29
87,26,22,22,30
88,26,22,22,30
89,26,22,22,30
90,27,21,22,30
91,26,22,22,30
92,26,22,22,30
93,27,22,22,29
94,27,22,21,30
95,26,23,21,30
96,27,23,21,29
97,27,23,21,29
98,26,23,21,30
99,25,23,22,30
100,25,23,22,30
101,25,23,22,30
102,24,23,23,30
103,24,24,22,30
104,25,24,21,30
105,26,23,21,30
106,25,23,21,31
107,24,23,22,31
108,24,24,21,31
109,25,23,21,31
110,25,23,21,31
111,25,22,21,32
112,25,23,20,32
113,25,23,20,32
114,26,22,20,32
115,26,22,20,32
116,26,22,19,33
117,26,23,19,32
118,26,24,19,31
119,25,24,20,31
120,25,24,20,31
121,25,25,20,30
122,25,25,21,29
123,25,25,21,29
124,24,26,21,29
125,24,27,21,28
126,24,26,21,29
