,m,d,r,w,P,R,S,T
0,5.0,0.23,0.23,1.0,234398,493238,123878,138486
1,5.0,0.25,0.32,1.0,183430,574038,138321,94211
2,5.0,0.21,0.4,1.0,276175,456289,102681,154855
3,5.0,0.31,0.31,1.0,220458,536788,117927,114827
4,5.0,0.21,0.35,1.0,126552,632000,165001,66447
5,5.0,0.28,0.24,1.0,231530,509177,121200,128093
6,5.0,0.71,0.28,1.0,279123,464607,95523,150747
7,5.0,0.15,0.3,1.0,224981,515720,120038,129261
8,5.0,0.4,0.25,1.0,236967,510703,119649,122681
9,5.0,0.41,0.21,1.0,258767,470102,116259,144872
10,5.0,0.27,0.37,1.0,183841,570699,135932,99528
11,5.0,0.33,0.28,1.0,200258,541670,136508,111564
12,5.0,0.17,0.47,1.0,210965,550330,120559,108146
13,5.0,0.15,0.34,1.0,188325,569524,136040,96111
14,5.0,0.34,0.22,1.0,169389,600568,137111,82932
15,5.0,0.34,0.53,1.0,206048,554791,126187,102974
16,5.0,0.51,0.32,1.0,269156,474917,100155,145772
17,5.0,0.97,0.22,1.0,158480,595357,152006,84157
18,5.0,0.93,0.42,1.0,207149,528876,132147,121828
19,5.0,0.28,0.71,1.0,193179,570977,124730,101114
20,5.0,0.17,0.68,1.0,219309,535890,119517,115284
21,5.0,0.24,0.34,1.0,272499,457439,107437,152625
22,5.0,0.75,0.8,1.0,197711,550251,129377,112661
23,5.0,0.53,0.3,1.0,184353,569099,136586,99962
24,5.0,0.34,0.23,1.0,219047,552997,115226,102730
25,5.0,0.5,0.26,1.0,157246,603984,144620,84150
26,5.0,0.73,0.24,1.0,219091,525881,124856,120172
27,5.0,0.26,0.26,1.0,274648,453891,99716,161745
28,5.0,0.19,0.33,1.0,216455,521871,126303,125371
29,5.0,0.18,0.52,1.0,199113,542427,136598,111862
30,5.0,0.18,0.28,1.0,227018,526008,119646,117328
31,5.0,0.24,0.23,1.0,213336,536050,125573,115041
32,5.0,0.29,0.27,1.0,173503,581955,143938,90604
33,5.0,0.29,0.48,1.0,215489,539715,123048,111748
34,5.0,0.23,0.29,1.0,240680,514622,120097,114601
35,5.0,0.51,0.37,1.0,225457,516723,121538,126282
36,5.0,0.18,0.26,1.0,159615,591953,146218,92214
37,5.0,0.73,0.2,1.0,201424,566083,121379,101114
38,5.0,0.31,0.9,1.0,225920,529992,122942,111146
39,5.0,0.44,0.61,1.0,199025,539760,137524,113691
40,5.0,0.5,0.49,1.0,278484,435540,111051,164925
41,5.0,0.55,0.25,1.0,214757,545149,121850,108244
42,5.0,0.47,0.31,1.0,244796,503748,109553,131903
43,5.0,0.15,0.21,1.0,180606,569457,140030,99907
44,5.0,0.24,0.25,1.0,198879,545567,137053,108501
45,5.0,0.72,0.41,1.0,267695,482162,104917,135226
46,5.0,0.26,0.59,1.0,224534,518333,124589,122544
47,5.0,0.21,0.27,1.0,277255,458168,106023,148554
48,5.0,0.2,0.26,1.0,201098,534175,139898,114829
49,5.0,0.43,0.47,1.0,244174,496664,111984,137178
50,5.0,0.72,0.42,1.0,252830,477733,117679,141758
51,5.0,0.15,0.31,1.0,194949,569489,128419,97143
52,5.0,0.22,0.27,1.0,246851,487374,113477,142298
53,5.0,0.22,0.69,1.0,259543,476049,105836,148572
54,5.0,0.3,0.28,1.0,235354,510092,115015,129539
55,5.0,0.29,0.39,1.0,223320,531932,115665,119083
56,5.0,0.61,0.95,1.0,199590,537902,136219,116289
57,5.0,0.22,0.83,1.0,278109,460528,96152,155211
58,5.0,0.17,0.21,1.0,211229,535741,130102,112928
59,5.0,0.16,0.32,1.0,258708,489847,105831,135614
60,5.0,0.16,0.25,1.0,203008,547387,128136,111469
61,5.0,0.15,0.33,1.0,224041,521200,123453,121306
62,5.0,0.17,0.24,1.0,190606,574127,129018,96249
63,5.0,0.18,0.39,1.0,252484,477910,107821,151785
64,5.0,0.21,0.26,1.0,253435,479555,113172,143838
65,5.0,0.94,0.26,1.0,218732,546350,114339,110579
66,5.0,0.18,0.46,1.0,196936,546609,135966,110489
67,5.0,0.47,0.27,1.0,237283,496617,121010,135090
68,5.0,0.32,0.37,1.0,227666,507591,123148,131595
69,5.0,0.38,0.22,1.0,194103,563997,129994,101906
70,5.0,0.28,0.22,1.0,255786,492703,106180,135331
71,5.0,0.31,0.36,1.0,261971,482897,100805,144327
72,5.0,0.77,0.31,1.0,230250,512180,122949,124621
73,5.0,0.21,0.38,1.0,208913,526195,139945,114947
74,5.0,0.33,0.87,1.0,186195,546912,151690,105203
75,5.0,0.2,0.52,1.0,275772,449704,103790,160734
76,5.0,0.24,0.32,1.0,242187,509873,118188,119752
77,5.0,0.27,0.42,1.0,268260,467791,101609,152340
78,5.0,0.22,0.78,1.0,236691,518287,110780,124242
79,5.0,0.21,0.75,1.0,186785,551740,146875,104600
80,5.0,0.2,0.79,1.0,202452,567102,119516,100930
81,5.0,0.33,0.76,1.0,237609,520297,110786,121308
82,5.0,0.15,0.82,1.0,263745,490809,100555,134891
83,5.0,0.15,0.28,1.0,242427,494028,110101,143444
84,5.0,0.17,0.98,1.0,208174,542944,130987,107895
85,5.0,0.2,0.58,1.0,236329,519454,110385,123832
86,5.0,0.18,0.26,1.0,235226,516923,113519,124332
87,5.0,0.31,0.3,1.0,235290,521827,110856,122027
88,5.0,0.35,0.65,1.0,258134,475996,114339,141531
89,5.0,0.24,0.2,1.0,231119,519796,116674,122411
90,5.0,0.36,0.76,1.0,263192,477155,105699,143954
91,5.0,0.34,0.91,1.0,215801,537831,125016,111352
92,5.0,0.17,0.3,1.0,263339,468184,112922,145555
93,5.0,0.23,0.23,1.0,292921,429264,93899,173916
94,5.0,0.74,0.22,1.0,207294,558410,120509,103787
