,m,d,r,w,P,R,S,T
0,5.0,0.17,0.22,1.0,328226,359930,147218,154626
1,5.0,0.25,0.9,1.0,298208,379478,181002,131312
2,5.0,0.22,0.23,1.0,332001,365477,156673,135849
3,5.0,0.21,0.28,1.0,347593,342356,153073,146978
4,5.0,0.3,0.23,1.0,358331,339337,132165,160167
5,5.0,0.17,0.6,1.0,413827,289567,110307,176299
6,5.0,0.35,0.66,1.0,344667,352660,145338,147335
7,5.0,0.19,0.49,1.0,335761,357052,151000,146187
8,5.0,0.75,0.48,1.0,358597,356694,135605,139104
9,5.0,0.15,0.25,1.0,362742,324550,135977,166731
10,5.0,0.61,0.64,1.0,350312,344547,143798,151343
11,5.0,0.28,0.24,1.0,241504,438358,206099,104039
12,5.0,0.18,0.47,1.0,345659,360239,148938,135164
13,5.0,0.16,0.99,1.0,302516,403189,161362,122933
14,5.0,0.2,0.24,1.0,322054,381619,153617,132710
15,5.0,0.29,0.36,1.0,353102,355559,135524,145815
16,5.0,0.43,0.2,1.0,320544,372267,160124,137065
17,5.0,0.67,0.46,1.0,358704,335088,136748,159460
18,5.0,0.15,0.57,1.0,332198,376845,144190,136767
19,5.0,0.16,0.32,1.0,347704,359936,144184,138176
20,5.0,0.41,0.22,1.0,343586,359694,141255,145465
21,5.0,0.53,0.26,1.0,309622,385926,162207,132245
22,5.0,0.16,0.3,1.0,327228,375839,149699,137234
23,5.0,0.21,0.33,1.0,371587,322485,124874,171054
24,5.0,0.22,0.25,1.0,298109,391807,168370,131714
25,5.0,0.17,0.23,1.0,388940,305251,127193,168616
26,5.0,0.16,0.26,1.0,377932,343277,122358,146433
27,5.0,0.18,0.43,1.0,342649,369319,137837,140195
28,5.0,0.28,0.62,1.0,369787,321170,131950,167093
29,5.0,0.55,0.24,1.0,322220,387863,147430,132487
30,5.0,0.23,0.95,1.0,316668,367660,159224,146448
31,5.0,0.17,0.58,1.0,305110,373053,168444,143393
32,5.0,0.56,0.29,1.0,309381,396445,154826,129348
33,5.0,0.16,0.63,1.0,376138,320125,120609,173128
34,5.0,0.15,0.25,1.0,350073,329854,145616,164457
35,5.0,0.84,0.21,1.0,406167,304280,113203,166350
36,5.0,0.18,0.55,1.0,290269,412044,171229,116458
37,5.0,0.25,0.34,1.0,315519,377843,160540,136098
38,5.0,0.22,0.27,1.0,265503,431496,180051,112950
39,5.0,0.55,0.23,1.0,321244,374653,150469,143634
40,5.0,0.42,0.25,1.0,279469,407663,182428,120440
41,5.0,0.26,0.28,1.0,310142,380900,163979,134979
42,5.0,0.77,0.22,1.0,327084,375312,154856,132748
43,5.0,0.31,0.29,1.0,373428,343016,124688,148868
44,5.0,0.25,0.21,1.0,314077,400640,153277,122006
45,5.0,0.21,0.31,1.0,320608,375650,150854,142888
46,5.0,0.42,0.24,1.0,287867,408002,178270,115861
47,5.0,0.5,0.22,1.0,345699,326422,153966,163913
48,5.0,0.45,0.74,1.0,351295,330130,139385,169190
49,5.0,0.33,0.66,1.0,374141,317253,127413,171193
50,5.0,0.59,0.59,1.0,346159,376791,133578,133472
51,5.0,0.78,0.2,1.0,386679,304703,119528,179090
52,5.0,0.52,0.64,1.0,321120,367510,152372,148998
53,5.0,0.52,0.33,1.0,356976,326950,141309,164765
54,5.0,0.17,0.53,1.0,280654,423560,179121,106665
55,5.0,1.0,0.36,1.0,377130,313800,128309,170761
56,5.0,0.26,0.51,1.0,402504,309393,104586,173517
57,5.0,0.46,0.65,1.0,374997,323859,122171,168973
58,5.0,0.27,0.32,1.0,275737,421247,177554,115462
59,5.0,0.2,0.87,1.0,346002,333677,143236,167085
60,5.0,0.15,0.28,1.0,343895,367045,134825,144235
61,5.0,0.19,0.3,1.0,338569,361168,150572,139691
62,5.0,0.25,0.34,1.0,357745,335481,143539,153235
63,5.0,0.61,0.54,1.0,385642,299867,129672,174819
64,5.0,0.17,0.95,1.0,317395,365964,164490,142151
65,5.0,0.49,0.3,1.0,359593,316774,141250,172383
66,5.0,0.32,0.26,1.0,354086,327175,143623,165116
67,5.0,0.16,0.37,1.0,310292,354470,171499,153739
68,5.0,0.23,0.9,1.0,325747,369668,147963,146622
69,5.0,0.22,0.34,1.0,362885,322407,136456,168252
70,5.0,0.17,0.67,1.0,359282,338990,132682,159046
71,5.0,0.16,0.22,1.0,350179,343779,137126,158916
