,m,d,r,w,P,R,S,T
0,5.0,0.31,0.26,1.0,158166,607037,124724,100073
1,5.0,0.31,0.83,1.0,229413,501938,109344,149305
2,5.0,0.17,0.29,1.0,196881,579712,109360,104047
3,5.0,0.28,0.33,1.0,225960,530050,97294,136696
4,5.0,0.27,0.33,1.0,157059,609553,128387,95001
5,5.0,0.23,0.28,1.0,151311,602805,131707,104177
6,5.0,0.6,0.6,1.0,181730,572889,116961,118420
7,5.0,0.95,0.25,1.0,212619,552214,107887,117280
8,5.0,0.16,0.44,1.0,189897,585070,106202,108831
9,5.0,0.34,0.27,1.0,210127,537865,113040,128968
10,5.0,0.24,0.25,1.0,161763,604185,124198,99854
11,5.0,0.41,0.23,1.0,191394,575712,107893,115001
12,5.0,0.21,0.22,1.0,205352,547643,108968,128037
13,5.0,0.22,0.38,1.0,182931,579497,114727,112845
14,5.0,0.16,0.2,1.0,183365,588593,111817,106225
15,5.0,0.27,0.97,1.0,154747,627478,121573,86202
16,5.0,0.19,0.34,1.0,193857,564247,113807,118089
17,5.0,0.17,0.72,1.0,206829,545157,106058,131956
18,5.0,0.85,0.65,1.0,181330,595109,109367,104194
19,5.0,0.93,0.21,1.0,172420,587209,127630,102741
20,5.0,0.27,0.27,1.0,176396,574947,125998,112659
21,5.0,0.34,0.43,1.0,125994,652008,135547,76451
22,5.0,0.41,0.25,1.0,226447,528596,98879,136078
23,5.0,0.22,0.99,1.0,151093,624191,124649,90067
24,5.0,0.92,0.3,1.0,177457,587036,117543,107964
25,5.0,0.41,0.42,1.0,125948,642071,139710,82271
26,5.0,0.15,0.38,1.0,199877,559927,108038,122158
27,5.0,0.19,0.22,1.0,209800,543628,110662,125910
28,5.0,0.17,0.26,1.0,211339,554620,100750,123291
29,5.0,0.54,0.21,1.0,212209,554189,101004,122598
30,5.0,0.19,0.99,1.0,183897,567184,121318,117601
31,5.0,0.57,0.23,1.0,238724,509242,95289,146745
32,5.0,0.31,0.77,1.0,203491,543578,114498,128433
33,5.0,0.17,0.64,1.0,161186,622608,116737,89469
34,5.0,0.15,0.62,1.0,186438,563493,118395,121674
35,5.0,0.29,0.27,1.0,229324,523084,100213,137379
36,5.0,0.17,0.69,1.0,167016,576842,132090,114052
37,5.0,0.23,0.26,1.0,185963,564179,114803,125055
38,5.0,0.38,0.27,1.0,196154,576459,109719,107668
39,5.0,0.51,0.48,1.0,220389,518222,113350,138039
40,5.0,0.26,0.34,1.0,172743,595619,114288,107350
41,5.0,0.58,0.21,1.0,178354,586077,115556,110013
42,5.0,0.39,0.9,1.0,182079,580114,113043,114764
43,5.0,0.26,0.41,1.0,232172,510020,102181,145627
44,5.0,0.2,0.38,1.0,193130,563271,114031,119568
45,5.0,0.28,0.29,1.0,178821,586314,119096,105769
46,5.0,0.21,0.6,1.0,147536,611983,136559,93922
47,5.0,0.16,0.2,1.0,191047,573060,110862,115031
