,defect,tit_for_tat,generous_tit_for_tat,cooperate
317,24,28,14,34
318,24,27,14,35
319,25,26,14,35
320,25,25,14,36
321,26,24,14,36
322,26,24,15,35
323,25,25,15,35
324,26,24,15,35
325,26,24,15,35
326,26,25,15,34
327,26,25,15,34
328,26,25,15,34
329,26,26,14,34
330,26,26,14,34
331,26,26,14,34
332,26,26,15,33
333,26,26,15,33
334,25,26,16,33
335,25,25,16,34
336,24,25,16,35
337,24,25,17,34
338,25,25,16,34
339,25,25,16,34
340,26,24,16,34
341,27,23,16,34
342,26,23,16,35
343,26,23,16,35
344,27,23,16,34
345,26,23,16,35
346,27,23,16,34
347,27,23,16,34
348,28,23,15,34
349,27,24,15,34
350,27,24,15,34
351,28,24,15,33
352,28,23,15,34
353,28,23,15,34
354,29,23,15,33
355,28,23,16,33
356,29,23,16,32
357,29,24,16,31
358,29,23,16,32
359,29,23,16,32
360,29,23,16,32
361,29,23,16,32
362,29,24,15,32
363,28,24,15,33
364,28,24,15,33
365,28,23,15,34
366,29,23,15,33
367,30,23,15,32
368,31,23,15,31
369,30,23,16,31
370,29,24,16,31
371,30,24,15,31
372,30,23,15,32
373,30,23,15,32
374,30,23,15,32
375,31,23,15,31
376,31,23,14,32
377,31,23,15,31
378,32,22,15,31
379,32,22,15,31
380,32,22,15,31
381,32,22,15,31
382,32,23,15,30
383,32,23,14,31
384,33,23,14,30
385,32,23,14,31
386,32,23,14,31
387,32,23,14,31
388,33,23,14,30
389,33,22,14,31
390,33,22,14,31
391,33,23,13,31
392,32,24,13,31
393,32,23,13,32
394,31,24,13,32
395,31,24,13,32
396,32,24,13,31
397,32,23,13,32
398,32,23,13,32
399,32,23,13,32
400,31,24,13,32
401,32,24,13,31
402,33,24,13,30
403,33,24,13,30
404,33,24,13,30
405,33,24,13,30
406,33,24,13,30
407,33,24,13,30
408,32,25,13,30
409,33,25,12,30
410,32,25,12,31
411,32,24,12,32
412,32,24,12,32
413,32,24,11,33
414,33,24,11,32
415,33,25,10,32
416,33,25,10,32
417,34,25,10,31
418,33,26,10,31
419,33,27,10,30
420,33,27,10,30
421,34,27,10,29
422,34,27,10,29
423,34,27,10,29
424,33,27,10,30
425,34,27,10,29
426,33,28,10,29
427,34,28,10,28
428,33,29,10,28
429,33,28,10,29
430,33,28,10,29
431,33,27,10,30
432,33,27,10,30
433,34,26,10,30
434,34,27,9,30
435,35,27,9,29
436,35,28,8,29
437,35,28,8,29
438,34,28,8,30
439,34,28,8,30
440,35,27,8,30
441,35,27,8,30
442,35,26,8,31
443,35,25,8,32
444,34,26,8,32
445,33,27,8,32
446,33,27,8,32
447,34,26,8,32
448,34,25,8,33
449,34,25,8,33
450,33,25,9,33
451,33,25,9,33
452,34,25,9,32
453,33,26,9,32
454,33,25,10,32
455,32,25,10,33
456,32,24,10,34
457,32,24,10,34
458,32,23,10,35
459,33,23,10,34
460,32,24,10,34
461,32,24,10,34
462,32,23,11,34
463,32,23,11,34
464,32,24,11,33
465,31,24,11,34
466,31,24,11,34
467,30,24,12,34
468,30,24,12,34
469,30,24,12,34
470,30,25,11,34
471,30,25,11,34
472,31,24,11,34
473,31,23,11,35
474,31,23,11,35
475,30,24,11,35
476,30,24,11,35
477,31,23,11,35
478,31,24,10,35
479,32,24,10,34
480,32,24,10,34
481,31,25,10,34
482,32,24,10,34
483,31,25,10,34
484,32,25,10,33
485,31,26,10,33
486,30,26,11,33
487,30,27,11,32
488,30,27,11,32
489,31,27,11,31
490,31,26,11,32
491,31,26,11,32
492,31,27,11,31
493,30,28,11,31
494,30,27,11,32
495,29,27,11,33
496,28,28,11,33
497,28,28,11,33
498,28,28,11,33
499,27,28,12,33
500,26,28,12,34
501,26,28,12,34
502,26,29,12,33
503,27,29,12,32
504,27,29,12,32
505,27,29,12,32
506,26,29,13,32
507,25,29,13,33
508,25,29,14,32
509,25,28,14,33
510,25,29,14,32
511,24,29,14,33
512,24,29,14,33
513,24,30,14,32
514,24,31,13,32
515,24,30,13,33
516,25,29,13,33
517,24,29,13,34
518,23,29,13,35
