,m,d,r,w,P,R,S,T
0,5.0,0.24,0.23,1.0,188387,536385,161620,103608
1,5.0,0.36,0.27,1.0,263838,463579,128853,133730
2,5.0,0.16,0.49,1.0,276955,433171,118054,161820
3,5.0,0.54,0.52,1.0,199368,513445,158874,118313
4,5.0,0.45,0.26,1.0,249776,461459,123605,155160
5,5.0,0.84,0.37,1.0,242936,482512,131391,133161
6,5.0,0.47,0.21,1.0,252782,457779,121008,158431
7,5.0,0.2,0.5,1.0,159737,580682,159440,90141
8,5.0,0.43,0.66,1.0,218478,495853,139454,136215
9,5.0,0.15,0.26,1.0,277683,421295,118536,172486
10,5.0,0.29,0.61,1.0,220013,524447,146203,99337
11,5.0,0.21,0.76,1.0,179047,551136,159951,99866
12,5.0,0.3,0.54,1.0,260978,468653,122090,138279
13,5.0,0.16,0.35,1.0,219058,497825,140230,132887
14,5.0,0.19,0.37,1.0,239816,492688,132455,125041
15,5.0,0.19,0.68,1.0,283512,429096,112247,165145
16,5.0,0.3,0.21,1.0,219211,521092,137012,112685
17,5.0,0.36,0.22,1.0,263321,462048,121911,142720
18,5.0,0.57,0.3,1.0,265333,441981,123667,159019
19,5.0,0.29,0.24,1.0,186671,540203,159346,103780
20,5.0,0.32,0.49,1.0,266536,450585,115642,157237
21,5.0,0.23,0.38,1.0,263479,457813,115230,153478
22,5.0,0.44,0.35,1.0,251466,464557,123308,150669
23,5.0,0.15,0.42,1.0,223468,499685,141914,124933
24,5.0,0.19,0.2,1.0,203708,531051,140775,114466
25,5.0,0.16,0.22,1.0,180479,542893,159911,106717
26,5.0,0.29,0.38,1.0,279896,447679,121775,140650
27,5.0,0.25,0.23,1.0,259652,438701,123385,168262
28,5.0,0.28,0.49,1.0,296762,392327,120691,180220
29,5.0,0.23,0.35,1.0,289186,408866,110494,181454
30,5.0,0.68,0.28,1.0,235687,477986,135611,140716
31,5.0,0.29,0.26,1.0,289306,418164,118722,163808
32,5.0,0.23,0.26,1.0,236362,493228,141195,119215
33,5.0,0.44,0.31,1.0,248237,476519,130389,134855
34,5.0,0.2,0.31,1.0,265813,445325,113421,165441
35,5.0,0.3,0.3,1.0,225098,493238,143688,127976
36,5.0,0.17,0.28,1.0,210061,503443,146018,130478
37,5.0,0.32,0.22,1.0,187288,548019,151788,102905
38,5.0,0.24,0.51,1.0,215920,517317,149726,107037
39,5.0,0.2,0.49,1.0,279397,440935,117864,151804
40,5.0,0.31,0.5,1.0,209093,500458,158307,122142
41,5.0,0.16,0.32,1.0,244361,476940,130239,138460
42,5.0,0.2,0.21,1.0,246106,496090,130923,116881
43,5.0,0.16,0.99,1.0,201765,531202,148218,108815
44,5.0,0.28,0.2,1.0,221109,505739,142065,121087
45,5.0,0.24,0.24,1.0,241783,457786,140103,150328
46,5.0,0.19,0.53,1.0,290836,425042,115624,158498
47,5.0,0.17,0.28,1.0,224647,484573,142351,138429
48,5.0,0.16,0.39,1.0,206325,520620,150466,112589
49,5.0,0.28,0.34,1.0,273110,442348,125049,149493
50,5.0,0.39,0.58,1.0,215431,510086,144141,120342
51,5.0,0.15,0.22,1.0,212489,519662,145763,112086
52,5.0,0.28,0.67,1.0,251077,483431,120237,135255
53,5.0,0.21,0.27,1.0,209999,543171,134158,102672
54,5.0,0.25,0.2,1.0,266427,449231,123862,150480
55,5.0,0.38,0.83,1.0,289430,441733,115751,143086
56,5.0,0.25,0.49,1.0,265260,425875,124713,174152
57,5.0,0.17,0.66,1.0,235481,505633,140223,108663
58,5.0,0.2,0.25,1.0,295180,433409,105836,155575
59,5.0,0.16,0.43,1.0,233789,478258,137130,140823
60,5.0,0.28,0.29,1.0,291384,412319,109451,176846
61,5.0,0.29,0.23,1.0,246847,484768,124347,134038
62,5.0,0.3,0.4,1.0,231494,486191,132778,139537
63,5.0,0.29,0.24,1.0,263658,444869,110745,170728
64,5.0,0.45,0.55,1.0,184481,547462,159947,98110
65,5.0,0.49,0.92,1.0,226115,471548,143340,148997
66,5.0,0.19,0.29,1.0,231982,506577,129976,121465
67,5.0,0.2,0.57,1.0,222559,482585,145310,139546
68,5.0,0.16,0.24,1.0,193044,536402,158140,102414
69,5.0,0.37,0.23,1.0,211850,518309,148514,111327
70,5.0,0.16,0.28,1.0,250704,470009,115693,153594
71,5.0,0.15,0.64,1.0,194254,545144,145138,105464
72,5.0,0.15,0.27,1.0,263852,453784,131457,140907
73,5.0,0.72,0.41,1.0,261754,454870,131729,141647
74,5.0,0.15,0.21,1.0,226990,536372,122777,103861
75,5.0,0.23,0.53,1.0,243711,476931,132903,136455
76,5.0,0.23,0.27,1.0,231791,504606,133603,120000
77,5.0,0.27,0.46,1.0,265696,457360,112746,154198
78,5.0,0.2,0.31,1.0,258514,433034,130931,167521
79,5.0,0.22,0.47,1.0,245872,477281,127272,139575
80,5.0,0.16,0.38,1.0,236747,511102,122934,119217
81,5.0,0.17,0.34,1.0,266643,449147,114605,159605
82,5.0,0.18,0.97,1.0,199115,521267,158581,111037
83,5.0,0.58,0.79,1.0,224322,502265,149057,114356
84,5.0,0.41,0.48,1.0,271565,453484,120114,144837
85,5.0,0.34,0.76,1.0,192164,537324,156154,104358
86,5.0,0.53,0.25,1.0,216362,501467,156232,115939
87,5.0,0.29,0.58,1.0,263909,449557,130544,145990
88,5.0,0.17,0.3,1.0,233580,499517,136346,120557
89,5.0,0.77,0.31,1.0,241787,466124,141309,140780
90,5.0,0.42,0.56,1.0,214738,509704,142345,123213
91,5.0,0.34,0.34,1.0,224056,498166,141901,125877
92,5.0,0.29,0.33,1.0,237212,489951,131421,131416
93,5.0,0.19,0.3,1.0,243201,476838,134900,135061
94,5.0,0.64,0.28,1.0,261617,452598,120767,155018
95,5.0,0.33,0.61,1.0,255999,476261,121879,135861
96,5.0,0.31,0.29,1.0,230451,499879,140296,119374
97,5.0,0.79,0.77,1.0,226036,497604,139540,126820
98,5.0,0.21,0.46,1.0,230472,489782,147725,122021
99,5.0,0.38,0.21,1.0,221323,503335,140405,124937
