,m,d,r,w,P,R,S,T
0,9.4,0.4,0.3,1.0,181172,569870,138880,100078
1,9.5,0.4,0.3,1.0,199451,553688,131401,105460
2,3.9,0.4,0.3,1.0,184570,568326,128659,108445
3,3.0,0.4,0.3,1.0,215133,525002,127996,121869
4,8.1,0.4,0.3,1.0,211071,540812,120281,117836
5,3.0,0.4,0.3,1.0,203349,554512,122226,109913
6,4.9,0.4,0.3,1.0,200628,554168,117927,117277
7,3.4,0.4,0.3,1.0,208371,538142,121204,122283
8,8.4,0.4,0.3,1.0,235394,504455,121572,128579
9,2.7,0.4,0.3,1.0,224578,526067,115533,123822
10,6.0,0.4,0.3,1.0,172265,583222,133452,101061
11,2.6,0.4,0.3,1.0,218507,535107,117819,118567
12,3.6,0.4,0.3,1.0,258362,488403,110057,133178
13,9.0,0.4,0.3,1.0,199446,554900,128424,107230
14,5.1,0.4,0.3,1.0,237321,505504,109203,137972
15,6.1,0.4,0.3,1.0,206096,538421,128004,117479
16,8.1,0.4,0.3,1.0,193881,560663,131996,103460
17,3.3,0.4,0.3,1.0,212346,529640,119361,128653
18,6.0,0.4,0.3,1.0,243983,493253,113841,138923
19,2.6,0.4,0.3,1.0,192439,578832,121704,97025
20,3.3,0.4,0.3,1.0,251463,501117,110211,127209
21,3.4,0.4,0.3,1.0,203122,534083,139588,113207
22,3.4,0.4,0.3,1.0,258449,483012,105721,142818
23,5.2,0.4,0.3,1.0,247986,491059,110278,140677
24,4.6,0.4,0.3,1.0,252406,485178,108516,143900
25,4.8,0.4,0.3,1.0,257668,484946,105557,141829
26,6.4,0.4,0.3,1.0,198243,548745,136413,106599
27,2.5,0.4,0.3,1.0,191852,564762,127094,106292
28,5.0,0.4,0.3,1.0,224526,526076,118641,120757
29,3.6,0.4,0.3,1.0,273293,472038,100564,144105
30,2.9,0.4,0.3,1.0,157046,611022,137495,84437
31,2.6,0.4,0.3,1.0,210241,518703,131886,129170
32,2.6,0.4,0.3,1.0,217860,534101,113500,124539
33,3.2,0.4,0.3,1.0,253044,485487,116048,135421
34,9.8,0.4,0.3,1.0,231809,518322,117319,122550
35,2.5,0.4,0.3,1.0,267841,483033,99226,139900
36,5.3,0.4,0.3,1.0,146959,618427,146840,77774
37,3.5,0.4,0.3,1.0,231476,508598,122371,127555
38,2.5,0.4,0.3,1.0,250913,490877,112230,135980
39,6.0,0.4,0.3,1.0,243800,503330,119088,123782
40,2.7,0.4,0.3,1.0,166987,602301,128760,91952
41,3.0,0.4,0.3,1.0,184246,570278,135256,100220
42,8.6,0.4,0.3,1.0,206741,562893,115365,105001
43,3.1,0.4,0.3,1.0,184328,562729,139580,103363
44,3.5,0.4,0.3,1.0,208827,543966,124984,112223
45,5.6,0.4,0.3,1.0,245568,505081,111061,128290
46,5.4,0.4,0.3,1.0,178171,595078,130218,86533
47,4.2,0.4,0.3,1.0,217726,519124,116107,137043
48,2.9,0.4,0.3,1.0,208037,548771,118543,114649
49,2.8,0.4,0.3,1.0,240283,488993,121618,139106
50,2.8,0.4,0.3,1.0,261589,470914,113271,144226
51,5.3,0.4,0.3,1.0,203579,558359,114732,113330
52,4.0,0.4,0.3,1.0,131603,626406,153872,78119
53,6.9,0.4,0.3,1.0,245844,491240,114523,138393
54,2.6,0.4,0.3,1.0,220148,546312,116618,106922
55,6.1,0.4,0.3,1.0,249332,492303,108227,140138
56,8.8,0.4,0.3,1.0,239149,506025,107505,137321
57,3.0,0.4,0.3,1.0,243733,508531,109285,128451
58,5.7,0.4,0.3,1.0,239828,506349,110820,133003
59,2.6,0.4,0.3,1.0,221277,540836,117849,110038
60,3.1,0.4,0.3,1.0,183674,574675,129396,102255
61,5.9,0.4,0.3,1.0,187466,565397,131477,105660
62,5.8,0.4,0.3,1.0,247237,494457,108851,139455
63,9.6,0.4,0.3,1.0,238790,492612,116841,141757
64,3.5,0.4,0.3,1.0,187790,554918,135753,111539
65,9.5,0.4,0.3,1.0,203153,540046,130263,116538
66,6.1,0.4,0.3,1.0,204560,549299,124856,111285
67,3.5,0.4,0.3,1.0,204774,530912,128046,126268
68,3.4,0.4,0.3,1.0,207099,541567,127223,114111
69,3.7,0.4,0.3,1.0,210858,527994,124069,127079
70,5.9,0.4,0.3,1.0,241258,489039,120021,139682
71,3.2,0.4,0.3,1.0,223073,512590,121828,132509
72,3.4,0.4,0.3,1.0,233652,503009,115413,137926
73,3.7,0.4,0.3,1.0,195764,545514,132065,116657
74,6.9,0.4,0.3,1.0,230130,513780,107698,138392
75,7.3,0.4,0.3,1.0,201765,550224,131840,106171
76,9.8,0.4,0.3,1.0,261261,481493,104878,142368
77,7.1,0.4,0.3,1.0,207842,548963,110578,122617
78,4.3,0.4,0.3,1.0,247846,491750,113961,136443
79,8.7,0.4,0.3,1.0,240622,503428,115198,130752
