,m,d,r,w,P,R,S,T
0,3.8,0.4,0.3,1.0,321715,428860,125378,114047
1,5.8,0.4,0.3,1.0,315103,430261,135048,109588
2,3.2,0.4,0.3,1.0,296437,440393,144009,109161
3,4.2,0.4,0.3,1.0,304673,445619,140184,99524
4,6.6,0.4,0.3,1.0,345367,357919,133792,152922
5,3.1,0.4,0.3,1.0,280667,450390,150171,108772
6,6.8,0.4,0.3,1.0,368963,370292,111750,138995
7,2.8,0.4,0.3,1.0,357074,385052,111945,135929
8,3.0,0.4,0.3,1.0,319052,436609,131011,103328
9,4.8,0.4,0.3,1.0,354077,393601,120660,121662
10,4.9,0.4,0.3,1.0,343295,401763,122263,122679
11,2.7,0.4,0.3,1.0,381944,351354,114145,142557
12,2.8,0.4,0.3,1.0,304376,419345,144299,121980
13,2.7,0.4,0.3,1.0,293942,430112,153111,112835
14,2.6,0.4,0.3,1.0,368753,357232,126232,137783
15,2.8,0.4,0.3,1.0,359680,370335,116779,143206
16,6.3,0.4,0.3,1.0,376140,363600,113765,136495
17,3.3,0.4,0.3,1.0,319635,414890,141919,113556
18,5.9,0.4,0.3,1.0,340870,377386,123761,147983
19,3.1,0.4,0.3,1.0,377075,350648,114031,148246
20,2.5,0.4,0.3,1.0,325667,414359,127454,122520
21,5.9,0.4,0.3,1.0,386447,342469,101553,159531
22,5.9,0.4,0.3,1.0,344943,391375,124041,129641
23,8.3,0.4,0.3,1.0,346890,373772,127655,141683
24,6.8,0.4,0.3,1.0,370920,372872,113930,132278
25,4.8,0.4,0.3,1.0,327369,407906,132000,122725
26,3.4,0.4,0.3,1.0,324657,404904,140298,120141
27,2.9,0.4,0.3,1.0,342843,402014,130150,114993
28,2.7,0.4,0.3,1.0,294644,458516,143720,93120
29,6.0,0.4,0.3,1.0,359036,378929,120211,131824
30,8.1,0.4,0.3,1.0,377405,373405,110332,128858
31,4.9,0.4,0.3,1.0,348499,397101,124391,120009
32,3.4,0.4,0.3,1.0,343471,381735,125825,138969
33,5.4,0.4,0.3,1.0,422560,311612,101156,154672
34,3.1,0.4,0.3,1.0,353045,369375,126488,141092
35,5.1,0.4,0.3,1.0,321460,418243,132096,118201
36,5.4,0.4,0.3,1.0,311550,426427,143276,108747
37,6.3,0.4,0.3,1.0,361068,371949,120013,136970
38,3.0,0.4,0.3,1.0,371121,360174,113528,145177
39,2.6,0.4,0.3,1.0,363473,373670,118228,134629
40,4.4,0.4,0.3,1.0,316763,422487,136764,113986
41,3.4,0.4,0.3,1.0,395461,334266,109828,150445
42,8.4,0.4,0.3,1.0,307519,435728,141705,105048
43,4.6,0.4,0.3,1.0,333329,404190,128361,124120
44,5.1,0.4,0.3,1.0,357684,388451,116632,127233
45,4.7,0.4,0.3,1.0,295687,452891,143301,98121
46,4.7,0.4,0.3,1.0,333446,401299,135722,119533
47,2.7,0.4,0.3,1.0,341244,405403,120877,122476
48,4.8,0.4,0.3,1.0,276702,462033,151856,99409
49,3.2,0.4,0.3,1.0,396994,324959,108443,159604
50,3.0,0.4,0.3,1.0,383596,361118,111030,134256
51,2.6,0.4,0.3,1.0,307958,414313,143302,124427
52,4.6,0.4,0.3,1.0,324377,409166,143336,113121
53,5.8,0.4,0.3,1.0,316921,426047,132978,114054
54,4.4,0.4,0.3,1.0,364874,358799,111871,154456
55,5.0,0.4,0.3,1.0,351270,382386,122232,134112
56,2.8,0.4,0.3,1.0,363070,355480,132953,138497
57,3.1,0.4,0.3,1.0,304156,441429,130575,113840
58,5.4,0.4,0.3,1.0,346293,415899,109258,118550
59,3.1,0.4,0.3,1.0,307051,427531,143623,111795
60,2.6,0.4,0.3,1.0,372174,374308,101625,141893
61,4.7,0.4,0.3,1.0,405629,322561,105124,156686
62,9.2,0.4,0.3,1.0,332006,419613,125232,113149
63,5.4,0.4,0.3,1.0,334116,415806,117665,122413
64,3.1,0.4,0.3,1.0,329309,410961,130049,119681
65,3.7,0.4,0.3,1.0,348875,394256,121918,124951
66,6.4,0.4,0.3,1.0,394198,332346,113031,150425
67,3.8,0.4,0.3,1.0,381539,364485,101881,142095
68,3.1,0.4,0.3,1.0,382687,346936,120095,140282
69,3.1,0.4,0.3,1.0,331078,413838,128312,116772
70,5.9,0.4,0.3,1.0,348659,388824,122723,129794
71,5.1,0.4,0.3,1.0,332386,397621,135285,124708
72,7.4,0.4,0.3,1.0,310255,409855,146183,123707
73,2.8,0.4,0.3,1.0,366936,379462,113518,130084
74,2.5,0.4,0.3,1.0,401891,327253,102330,158526
75,3.0,0.4,0.3,1.0,356149,397274,116391,120186
76,2.5,0.4,0.3,1.0,354025,382553,125164,128258
77,5.8,0.4,0.3,1.0,376633,371206,107014,135147
78,3.2,0.4,0.3,1.0,353137,364219,134596,138048
79,7.4,0.4,0.3,1.0,316025,410617,133222,130136
80,3.7,0.4,0.3,1.0,309974,412237,153846,113943
81,2.7,0.4,0.3,1.0,354276,385312,118088,132324
82,4.9,0.4,0.3,1.0,358827,372855,118351,139967
83,6.5,0.4,0.3,1.0,349973,379239,119542,141246
84,2.6,0.4,0.3,1.0,366766,355266,122807,145161
85,3.9,0.4,0.3,1.0,314945,409126,146106,119823
86,4.0,0.4,0.3,1.0,351400,378917,126797,132886
87,2.8,0.4,0.3,1.0,239008,493823,167758,89411
88,6.8,0.4,0.3,1.0,352568,398266,123133,116033
89,3.0,0.4,0.3,1.0,363129,375794,117102,133975
90,2.7,0.4,0.3,1.0,339211,374686,140163,135940
