,defect,tit_for_tat,generous_tit_for_tat,cooperate
317,28,26,27,19
318,28,25,27,20
319,28,25,28,19
320,28,25,28,19
321,27,26,28,19
322,26,27,28,19
323,26,28,27,19
324,26,29,26,19
325,25,30,26,19
326,24,30,26,20
327,24,29,26,21
328,25,29,25,21
329,24,30,25,21
330,25,29,25,21
331,25,29,25,21
332,25,30,24,21
333,25,31,23,21
334,24,31,24,21
335,25,31,24,20
336,26,30,24,20
337,26,30,23,21
338,26,31,22,21
339,26,31,22,21
340,26,31,22,21
341,26,31,22,21
342,25,31,22,22
343,24,31,23,22
344,24,31,23,22
345,24,30,23,23
346,23,31,23,23
347,23,31,24,22
348,23,31,25,21
349,23,31,26,20
350,22,31,27,20
351,23,31,27,19
352,23,31,27,19
353,23,30,28,19
354,23,30,28,19
355,23,30,28,19
356,23,31,27,19
357,23,31,26,20
358,24,31,26,19
359,23,31,26,20
360,24,31,26,19
361,24,30,26,20
362,24,30,25,21
363,24,30,25,21
364,25,30,24,21
365,25,30,24,21
366,25,30,24,21
367,24,31,24,21
368,25,30,24,21
369,25,30,23,22
370,25,31,22,22
371,24,31,22,23
372,23,32,22,23
373,23,31,23,23
374,23,32,22,23
375,22,32,23,23
376,22,32,22,24
377,22,33,22,23
378,22,33,22,23
379,22,32,23,23
380,23,31,23,23
381,22,32,23,23
382,22,31,24,23
383,22,31,23,24
384,22,31,23,24
385,23,31,22,24
386,24,30,22,24
387,23,31,22,24
388,24,30,22,24
389,24,30,22,24
390,25,30,21,24
391,24,31,21,24
392,24,31,21,24
393,23,31,21,25
394,23,31,21,25
395,23,31,22,24
396,23,31,21,25
397,24,30,21,25
398,24,30,20,26
399,24,30,20,26
400,24,31,19,26
401,24,31,19,26
402,24,32,19,25
403,25,32,19,24
404,24,32,19,25
405,24,31,20,25
406,24,31,21,24
407,23,31,22,24
408,23,31,21,25
409,23,32,21,24
410,23,32,21,24
411,23,32,21,24
412,23,32,21,24
413,22,33,21,24
414,23,32,21,24
415,23,32,21,24
416,22,32,21,25
417,23,31,21,25
418,23,32,20,25
419,24,32,19,25
420,24,32,19,25
421,23,32,20,25
422,23,31,21,25
423,23,31,21,25
424,23,31,21,25
425,23,31,22,24
426,24,31,22,23
427,25,30,22,23
428,24,31,22,23
429,24,32,21,23
430,24,31,21,24
431,24,31,21,24
432,25,31,21,23
433,25,31,22,22
434,25,31,21,23
435,25,31,21,23
436,25,31,22,22
437,25,31,22,22
438,25,31,21,23
439,25,32,20,23
440,25,31,21,23
441,25,31,21,23
442,25,31,22,22
443,24,32,22,22
444,24,31,22,23
445,24,30,22,24
446,23,30,23,24
447,23,29,24,24
448,22,29,24,25
449,23,29,23,25
450,23,29,23,25
451,23,29,22,26
452,23,29,22,26
453,23,29,21,27
454,24,29,20,27
455,24,29,20,27
456,24,29,20,27
457,25,29,19,27
458,24,30,19,27
459,24,30,19,27
460,24,29,19,28
461,24,30,19,27
462,24,31,19,26
463,25,30,19,26
464,24,30,20,26
465,23,31,20,26
466,24,30,20,26
467,24,30,20,26
468,23,31,20,26
469,23,32,19,26
470,23,32,19,26
471,23,32,19,26
472,23,32,18,27
473,24,31,18,27
474,24,31,18,27
475,25,31,17,27
476,25,30,17,28
477,25,29,17,29
478,24,29,18,29
479,25,29,18,28
480,25,28,18,29
481,24,29,18,29
482,25,28,18,29
483,25,28,18,29
484,25,28,18,29
485,25,28,18,29
486,26,28,18,28
487,26,29,18,27
488,25,30,18,27
489,25,30,18,27
490,24,30,19,27
491,24,30,19,27
492,24,29,20,27
493,24,29,20,27
494,23,29,21,27
495,24,28,21,27
496,23,28,22,27
497,22,28,22,28
498,21,28,23,28
499,21,29,23,27
500,21,28,24,27
501,21,28,23,28
502,21,28,24,27
503,21,27,24,28
504,21,27,24,28
505,21,28,23,28
506,21,29,23,27
507,21,28,24,27
508,20,28,24,28
509,20,28,24,28
510,20,28,23,29
511,20,29,23,28
512,20,28,23,29
513,19,29,23,29
514,19,30,22,29
515,19,30,23,28
516,19,30,22,29
