,defect,tit_for_tat,generous_tit_for_tat,cooperate
0,26,28,20,26
1,27,27,20,26
2,26,28,20,26
3,26,29,20,25
4,26,30,20,24
5,26,29,20,25
6,26,29,20,25
7,25,30,20,25
8,26,30,20,24
9,26,30,20,24
10,26,29,21,24
11,25,30,21,24
12,25,29,21,25
13,24,30,21,25
14,25,29,21,25
15,25,29,22,24
16,25,29,22,24
17,25,29,22,24
18,24,29,23,24
19,24,29,23,24
20,24,29,23,24
21,24,28,24,24
22,23,28,24,25
23,24,28,24,24
24,24,28,23,25
25,25,28,23,24
26,25,27,23,25
27,26,26,23,25
28,26,26,23,25
29,26,27,23,24
30,26,26,24,24
31,26,26,24,24
32,27,26,23,24
33,27,26,23,24
34,26,26,24,24
35,26,26,24,24
36,27,25,24,24
37,27,25,24,24
38,28,25,24,23
39,27,26,24,23
40,28,25,24,23
41,28,25,24,23
42,28,25,24,23
43,28,25,24,23
44,28,26,24,22
45,28,26,24,22
46,28,25,24,23
47,28,25,24,23
48,28,25,23,24
49,28,26,23,23
50,29,25,23,23
51,28,25,23,24
52,29,25,22,24
53,29,25,22,24
54,29,25,22,24
55,30,24,22,24
56,30,25,21,24
57,30,26,21,23
58,29,26,22,23
59,28,26,23,23
60,28,26,23,23
61,29,25,23,23
62,30,24,23,23
63,30,25,23,22
64,31,25,22,22
65,31,25,22,22
66,30,25,23,22
67,30,26,23,21
68,30,26,23,21
69,30,25,24,21
70,31,25,24,20
71,32,24,24,20
72,32,24,23,21
73,32,24,22,22
74,32,24,22,22
75,32,24,22,22
76,32,24,22,22
77,32,23,22,23
78,32,22,23,23
79,31,23,23,23
80,31,23,23,23
81,31,24,22,23
82,31,24,22,23
83,31,23,23,23
84,31,23,22,24
85,31,23,22,24
86,30,23,22,25
87,30,24,21,25
88,29,24,21,26
89,29,24,21,26
90,28,25,21,26
91,27,26,21,26
92,27,26,21,26
93,26,26,22,26
94,26,26,21,27
95,27,25,21,27
96,27,25,20,28
97,27,25,20,28
98,27,26,20,27
99,27,26,20,27
100,27,25,20,28
101,28,25,19,28
102,28,25,19,28
103,27,26,19,28
104,27,26,19,28
105,26,26,20,28
106,26,27,20,27
107,27,27,19,27
108,28,27,19,26
109,29,26,19,26
110,28,26,19,27
111,27,26,19,28
112,26,26,20,28
113,26,27,20,27
114,26,27,20,27
115,26,28,19,27
116,26,27,19,28
117,25,27,19,29
118,24,27,19,30
119,24,27,20,29
120,24,26,21,29
121,24,25,21,30
122,24,25,22,29
123,25,25,22,28
124,25,25,21,29
125,26,25,20,29
126,26,25,20,29
127,26,25,19,30
128,26,24,20,30
129,27,23,20,30
130,27,23,20,30
131,27,23,20,30
132,27,24,20,29
133,28,24,20,28
134,28,24,20,28
135,28,24,21,27
136,29,24,21,26
137,29,25,20,26
138,28,25,21,26
139,29,24,21,26
140,29,24,21,26
141,29,25,20,26
142,28,25,21,26
143,29,24,21,26
144,29,25,20,26
145,28,25,20,27
146,28,26,20,26
147,27,26,20,27
148,26,26,21,27
149,26,25,22,27
150,25,25,22,28
151,25,25,22,28
152,24,25,22,29
153,24,25,22,29
154,25,25,21,29
155,26,25,20,29
156,26,26,20,28
157,26,25,20,29
158,27,24,20,29
159,27,24,20,29
160,27,25,20,28
161,27,24,21,28
162,27,24,21,28
163,27,24,21,28
164,27,24,22,27
165,28,24,22,26
166,28,24,22,26
167,28,24,22,26
168,28,23,23,26
169,27,23,23,27
170,27,23,23,27
171,28,22,23,27
172,28,22,23,27
173,28,23,23,26
174,28,22,24,26
175,28,21,24,27
176,28,22,23,27
177,28,21,23,28
178,28,22,23,27
179,29,21,23,27
180,29,22,22,27
181,30,22,22,26
182,30,22,22,26
183,30,23,22,25
184,30,23,23,24
185,30,23,23,24
186,31,23,22,24
187,30,23,23,24
188,30,23,23,24
189,29,23,24,24
190,28,23,25,24
191,27,23,26,24
192,26,23,26,25
193,26,23,25,26
194,26,23,25,26
195,25,23,26,26
196,26,23,26,25
197,25,24,26,25
198,25,24,26,25
199,25,24,26,25
200,26,24,25,25
201,26,23,25,26
202,27,23,25,25
203,27,22,26,25
204,27,23,26,24
205,27,23,25,25
206,27,24,25,24
207,26,24,26,24
208,26,24,27,23
209,26,23,27,24
210,26,23,27,24
211,26,23,27,24
212,27,22,27,24
213,27,22,28,23
214,28,21,28,23
215,28,21,27,24
216,27,21,27,25
217,28,21,26,25
218,27,22,26,25
219,26,22,27,25
220,26,22,28,24
221,26,22,28,24
222,25,22,28,25
223,26,22,28,24
224,26,23,27,24
225,26,23,27,24
226,26,23,27,24
227,25,23,28,24
228,26,23,27,24
229,27,23,26,24
230,26,24,26,24
231,25,24,26,25
232,25,25,26,24
233,25,24,27,24
234,25,23,27,25
235,25,23,28,24
236,25,23,28,24
237,25,23,29,23
238,25,24,28,23
239,26,23,28,23
240,26,23,28,23
241,26,23,28,23
242,25,24,28,23
243,25,24,27,24
244,25,24,27,24
245,26,23,27,24
246,27,23,27,23
247,28,23,27,22
248,29,23,26,22
249,29,22,27,22
250,28,22,28,22
251,28,22,28,22
252,29,21,28,22
253,29,21,28,22
254,30,20,28,22
255,30,20,28,22
256,29,20,29,22
257,30,20,29,21
258,29,20,30,21
259,30,20,30,20
260,29,20,31,20
261,29,20,32,19
262,28,20,32,20
263,29,20,32,19
264,30,20,31,19
265,30,20,31,19
266,30,20,31,19
267,30,21,30,19
268,31,20,30,19
269,31,19,31,19
270,31,19,32,18
271,31,19,32,18
272,32,19,32,17
273,32,18,32,18
274,33,18,31,18
275,33,18,30,19
276,33,18,30,19
277,33,17,30,20
278,32,18,30,20
279,32,18,31,19
280,32,18,31,19
281,31,18,31,20
282,32,18,31,19
283,33,17,31,19
284,32,17,32,19
285,32,17,32,19
286,32,17,32,19
287,31,17,33,19
288,31,17,33,19
289,30,18,33,19
