,m,d,r,w,P,R,S,T
0,3.2,0.4,0.3,1.0,299508,434095,107835,148562
1,3.6,0.4,0.3,1.0,211787,536505,132163,109545
2,5.0,0.4,0.3,1.0,232890,486858,130853,139399
3,2.6,0.4,0.3,1.0,189322,564839,142215,93624
4,4.6,0.4,0.3,1.0,304679,425122,110426,149773
5,6.0,0.4,0.3,1.0,207057,540109,131850,110984
6,2.6,0.4,0.3,1.0,244780,493294,123950,127976
7,3.6,0.4,0.3,1.0,222629,511726,134630,121015
8,2.9,0.4,0.3,1.0,262781,472502,114315,140402
9,3.3,0.4,0.3,1.0,261089,469524,115741,143646
10,6.0,0.4,0.3,1.0,221184,539900,120728,108188
11,2.8,0.4,0.3,1.0,227373,505459,133997,123171
12,3.8,0.4,0.3,1.0,250828,475003,128716,135453
13,6.6,0.4,0.3,1.0,268765,472128,105683,143424
14,2.8,0.4,0.3,1.0,205317,552933,121319,110431
15,6.9,0.4,0.3,1.0,252542,495050,122642,119766
16,3.8,0.4,0.3,1.0,218215,521498,135813,114474
17,2.5,0.4,0.3,1.0,247964,495697,116730,129609
18,4.3,0.4,0.3,1.0,296817,429477,106426,157280
19,2.6,0.4,0.3,1.0,269635,466950,103208,150207
20,3.4,0.4,0.3,1.0,272047,476176,104365,137412
21,3.0,0.4,0.3,1.0,266914,475495,112314,135277
22,4.0,0.4,0.3,1.0,220916,515587,131244,122253
23,3.5,0.4,0.3,1.0,237918,506067,125975,120040
24,2.9,0.4,0.3,1.0,220192,515641,134443,119724
25,4.8,0.4,0.3,1.0,212937,539553,127580,109930
26,8.6,0.4,0.3,1.0,233389,498356,134354,123901
27,3.3,0.4,0.3,1.0,207385,542494,136132,103989
28,2.6,0.4,0.3,1.0,245913,477355,120783,145949
29,4.6,0.4,0.3,1.0,265155,471699,114260,138886
30,3.5,0.4,0.3,1.0,211760,526645,140797,110798
31,5.6,0.4,0.3,1.0,274274,448008,110360,157358
32,4.4,0.4,0.3,1.0,254753,497902,118085,119260
33,3.9,0.4,0.3,1.0,200210,544062,134082,111646
34,6.5,0.4,0.3,1.0,209112,541637,128959,110292
35,4.9,0.4,0.3,1.0,272734,459571,115607,142088
36,2.5,0.4,0.3,1.0,191961,571200,127838,99001
37,8.7,0.4,0.3,1.0,282850,443770,109874,153506
38,3.0,0.4,0.3,1.0,174784,575836,142864,96516
39,2.6,0.4,0.3,1.0,252217,471776,125006,141001
40,6.8,0.4,0.3,1.0,213808,523952,135860,116380
41,6.0,0.4,0.3,1.0,236692,497591,129362,126355
42,3.4,0.4,0.3,1.0,291240,445944,105392,147424
43,3.6,0.4,0.3,1.0,243141,508627,123859,114373
44,4.9,0.4,0.3,1.0,220939,522149,131749,115163
45,3.9,0.4,0.3,1.0,241940,482831,133217,132012
46,5.7,0.4,0.3,1.0,244625,515331,116206,113838
47,8.1,0.4,0.3,1.0,282912,446461,109327,151300
