S.D.,Counts
0.5,1024
0.6,938
0.7,805
0.8,702
0.9,575
1.0,537
1.1,522
1.2,490
1.3,405
1.4,322
1.5,325
1.6,322
1.7,246
1.8,185
1.9,161
2.0,149
2.1,117
2.2,86
2.3,78
2.4,60
2.5,37
2.6,31
2.7,17
2.8,10
2.9,2
3.0,8
