S.D.,Counts
0.5,870
0.6,817
0.7,715
0.8,680
0.9,622
1.0,651
1.1,662
1.2,558
1.3,480
1.4,368
1.5,277
1.6,232
1.7,178
1.8,155
1.9,97
2.0,95
2.1,83
2.2,48
2.3,55
2.4,32
2.5,25
2.6,17
2.7,9
2.8,5
2.9,15
3.0,0
