,m,d,r,w,R,S,T,P
0,4.0,0.49,0.58,1.0,402648,130970,116994,339388
1,4.7,0.54,0.17,1.0,350259,114081,142923,382737
2,8.9,0.35,0.2,1.0,443305,140975,107241,298479
3,3.6,0.5,0.47,1.0,361509,106868,131665,389958
4,4.6,0.32,0.18,1.0,445936,144281,102434,297349
5,4.3,0.35,0.6,1.0,390234,121447,131324,346995
6,3.2,0.22,0.32,1.0,479836,148214,94971,266979
7,2.7,0.24,0.17,1.0,419135,141853,122585,306427
8,4.1,0.4,0.15,1.0,404053,119195,124145,342607
9,2.7,0.37,0.26,1.0,359835,119930,133962,376273
10,4.3,0.47,0.39,1.0,395759,116717,120433,357091
11,3.2,0.34,0.72,1.0,342656,104141,143170,400033
12,5.5,0.26,0.16,1.0,337134,107156,154449,391261
13,3.2,0.26,0.22,1.0,402376,141098,119434,327092
14,3.3,0.58,0.51,1.0,325102,100000,146993,417905
15,2.8,0.23,0.95,1.0,435432,142137,116122,296309
16,2.7,0.32,0.16,1.0,358688,112518,136577,382217
17,2.8,0.45,0.53,1.0,429134,129985,115526,315355
18,2.7,0.29,0.27,1.0,469240,146798,98967,274995
19,4.9,0.63,0.2,1.0,406090,133850,116764,333296
20,2.6,0.48,0.23,1.0,393987,118102,126012,351899
21,2.5,1.0,0.25,1.0,337945,110371,147900,393784
22,4.4,0.25,0.47,1.0,417230,127099,118167,327504
23,9.6,0.96,0.71,1.0,324454,109322,152863,403361
24,2.6,0.38,0.16,1.0,431711,123462,115097,319730
25,2.6,0.26,0.28,1.0,411679,115400,117442,345479
26,2.6,0.44,0.2,1.0,353163,102614,152048,382175
27,2.6,0.23,0.15,1.0,395655,122932,124090,347323
28,5.5,0.23,0.21,1.0,380760,112344,138282,358614
29,5.1,0.26,0.24,1.0,428889,141303,114933,304875
30,5.4,0.45,0.17,1.0,413973,138009,118252,319766
31,3.8,0.41,0.26,1.0,390207,124346,130521,344926
32,5.3,0.65,0.34,1.0,383903,110359,125664,370074
33,6.8,0.43,0.95,1.0,454578,128251,100964,306207
34,3.3,0.34,0.19,1.0,428135,145758,118541,297566
35,3.8,0.25,0.75,1.0,393722,126887,129980,339411
36,2.7,0.33,0.55,1.0,434103,137953,109176,308768
37,7.4,0.25,0.18,1.0,414707,133282,116012,325999
38,5.4,0.31,0.17,1.0,398013,129867,126247,335873
39,3.3,0.21,0.19,1.0,396106,122804,124367,346723
40,3.1,0.47,0.29,1.0,435377,151001,105761,297861
41,9.5,0.39,0.29,1.0,359031,100610,135682,394677
42,4.8,0.35,0.18,1.0,318149,96300,158013,417538
43,7.0,0.22,0.31,1.0,396298,109895,124277,359530
44,6.4,0.75,0.22,1.0,341281,104436,148971,395312
45,7.4,0.24,0.49,1.0,417702,137709,117453,317136
46,3.6,0.34,0.63,1.0,407129,120672,121682,340517
47,5.4,0.44,0.26,1.0,351633,101009,146462,390896
48,3.0,0.42,0.26,1.0,363513,108754,137855,379878
49,3.2,0.3,0.2,1.0,385654,115320,124793,364233
50,3.9,0.49,0.27,1.0,342715,113532,143904,389849
51,3.3,0.72,0.23,1.0,436424,144273,104742,304561
52,2.5,0.34,0.16,1.0,386595,129010,125430,348965
53,3.0,0.23,0.19,1.0,410815,137988,120190,321007
54,6.9,0.35,0.21,1.0,368835,140697,138823,341645
55,4.3,0.21,0.2,1.0,423256,114343,115090,337311
56,3.7,0.66,0.26,1.0,346970,107617,141099,394314
57,9.0,0.21,0.61,1.0,413534,119853,120637,335976
58,3.0,0.39,0.57,1.0,318005,101584,156552,413859
59,4.3,0.21,0.53,1.0,417438,124795,116799,330968
60,3.3,0.37,0.3,1.0,357007,106776,139900,386317
61,3.7,0.32,0.16,1.0,372502,116712,136504,364282
62,5.1,0.33,0.31,1.0,444105,155076,111506,279313
63,7.4,0.26,0.3,1.0,378234,128473,134176,349117
64,9.8,0.25,0.3,1.0,463153,144176,102748,279923
65,4.7,0.29,0.25,1.0,394581,107572,128515,359332
66,8.2,0.22,0.87,1.0,393680,124295,123486,348539
67,4.7,0.56,0.3,1.0,347628,106892,146418,389062
68,3.1,0.2,0.57,1.0,322224,92538,153674,421564
69,4.0,0.33,0.32,1.0,451360,138606,102861,297173
70,3.2,0.73,0.2,1.0,470643,141489,97435,280433
71,5.5,0.21,0.29,1.0,357804,116904,136171,379121
72,6.6,0.28,0.2,1.0,392416,125247,127431,344906
73,3.5,0.98,0.2,1.0,366841,126598,141731,354830
74,2.5,0.44,0.16,1.0,340229,103453,148272,398046
75,4.9,0.32,0.65,1.0,448001,146161,104824,291014
76,8.7,0.24,0.42,1.0,442081,144122,110718,293079
77,2.6,0.3,0.2,1.0,384239,108225,128303,369233
78,2.7,0.22,0.72,1.0,393049,127094,127355,342502
79,5.4,0.25,0.33,1.0,475541,160293,94595,259571
80,4.7,0.4,0.19,1.0,403443,125326,118318,342913
81,6.1,0.4,0.24,1.0,444093,148962,110814,286131
82,5.5,0.23,0.37,1.0,440698,154092,108493,286717
83,5.7,0.34,0.39,1.0,393974,125562,126323,344141
84,5.0,0.44,0.21,1.0,427352,127068,112417,323163
85,2.7,0.73,0.29,1.0,387101,118189,126088,358622
86,2.5,0.4,0.45,1.0,403672,121109,115844,349375
87,8.6,0.42,0.18,1.0,401121,129590,129152,330137
88,4.6,0.23,0.2,1.0,423751,133304,119158,313787
89,9.0,0.45,0.68,1.0,374426,106220,137799,371555
90,4.1,0.2,0.29,1.0,434154,135162,111196,309488
91,2.9,0.71,0.33,1.0,419453,124963,118042,327542
92,9.0,0.21,0.2,1.0,405126,129918,126392,328564
93,4.5,0.21,0.28,1.0,426542,145550,113327,304581
94,3.0,0.52,0.19,1.0,437442,134152,107755,310651
95,3.8,0.3,0.41,1.0,415400,138094,112095,324411
96,5.8,0.51,0.54,1.0,425224,153970,114373,296433
97,2.6,0.26,0.32,1.0,405520,122204,125454,336822
98,4.3,0.23,0.31,1.0,349090,111579,149311,380020
99,6.7,0.22,0.38,1.0,381541,112388,133755,362316
