,m,d,r,w,R,S,T,P
0,3.2,0.62,0.29,1.0,479409,123563,121247,265781
1,3.6,0.22,0.39,1.0,528346,142782,98240,220632
2,5.0,0.79,0.26,1.0,497343,134847,112574,245236
3,2.6,0.32,0.15,1.0,452708,130505,129509,277278
4,4.6,0.3,0.18,1.0,481354,117517,113591,277538
5,6.0,0.38,0.25,1.0,445006,119043,125928,300023
6,2.6,0.38,0.2,1.0,430448,109709,136882,312961
7,3.6,0.31,0.27,1.0,507505,135861,112966,233668
8,2.9,0.31,0.16,1.0,465739,124480,128797,270984
9,3.3,0.28,0.19,1.0,422699,104528,130841,331932
10,6.0,0.46,0.44,1.0,469725,120149,120879,279247
11,2.8,0.23,0.29,1.0,466310,132763,123776,267151
12,3.8,0.68,0.21,1.0,436917,108270,135415,309398
13,6.6,0.55,0.17,1.0,496816,135239,113952,243993
14,2.8,0.3,0.21,1.0,477863,120700,119301,272136
15,6.9,0.4,0.58,1.0,475784,113120,113256,287840
16,3.8,0.54,0.46,1.0,516493,137102,104519,231886
17,2.5,0.52,0.26,1.0,437281,123476,134904,294339
18,4.3,0.47,0.18,1.0,435805,113256,141834,299105
19,2.6,0.37,0.21,1.0,486344,122240,121244,260172
20,3.4,0.38,0.16,1.0,529196,141501,99497,219806
21,3.0,0.23,0.17,1.0,501655,116771,112310,259264
22,4.0,0.2,0.28,1.0,521911,125351,105937,236801
23,3.5,0.64,0.42,1.0,485198,125249,121838,257715
24,2.9,0.47,0.19,1.0,430112,107190,141342,311356
25,4.8,0.6,0.32,1.0,425606,100503,142298,321593
26,8.6,0.27,0.58,1.0,483108,121296,117227,268369
27,3.3,0.38,0.3,1.0,482808,129264,119207,258721
28,2.6,0.2,0.49,1.0,464659,123450,134438,267453
29,4.6,0.24,0.2,1.0,497119,115373,118235,259273
30,3.5,0.25,0.45,1.0,471602,114413,127660,276325
31,5.6,0.2,0.27,1.0,515574,132614,107758,234054
32,4.4,0.59,0.54,1.0,448976,120787,132971,287266
33,3.9,0.29,0.43,1.0,410515,98322,147683,333480
34,6.5,0.5,0.18,1.0,483803,122289,116540,267368
35,4.9,0.35,0.24,1.0,493759,137602,109499,249140
36,2.5,0.24,0.21,1.0,483569,120866,116655,268910
37,8.7,0.4,0.24,1.0,460043,119634,123464,286859
38,3.0,0.23,0.67,1.0,484834,116434,116700,272032
39,2.6,0.45,0.38,1.0,551914,142741,85527,209818
40,6.8,0.47,0.32,1.0,455075,113277,142465,279183
41,6.0,0.72,0.2,1.0,471553,120552,118308,279587
42,3.4,0.36,0.16,1.0,415224,103944,142108,328724
43,3.6,0.4,0.34,1.0,487984,112958,111998,277060
44,4.9,0.29,0.71,1.0,545473,134251,94408,215868
45,3.9,0.7,0.15,1.0,514179,131489,110586,233746
46,5.7,0.23,0.39,1.0,549638,145352,96138,198872
47,8.1,0.28,0.51,1.0,428070,102811,139418,319701
48,2.7,0.26,0.34,1.0,475937,117579,117630,278854
49,2.8,0.44,0.26,1.0,444061,107502,131911,306526
50,4.0,0.26,0.17,1.0,473581,129902,118922,267595
51,4.7,0.38,0.21,1.0,387515,105286,156114,341085
52,3.0,0.23,0.38,1.0,404021,103154,153564,329261
53,3.5,0.21,0.57,1.0,551271,132862,95692,210175
54,3.3,0.49,0.37,1.0,555043,140105,90563,204289
55,6.5,0.93,0.34,1.0,510673,132099,102981,244247
56,5.6,0.61,0.18,1.0,463584,120242,124688,281486
57,6.2,0.3,0.23,1.0,493122,125970,112237,258671
58,4.0,0.23,0.17,1.0,424749,107516,135752,321983
59,7.5,0.21,0.19,1.0,430266,119881,133424,306429
60,9.2,0.59,0.48,1.0,459530,103931,119351,307188
61,2.5,0.22,0.36,1.0,490276,123096,114695,261933
62,9.8,0.36,0.18,1.0,415925,102322,137822,333931
63,8.8,0.33,0.22,1.0,513632,125124,105303,245941
64,9.1,0.25,0.35,1.0,501487,124289,107172,257052
65,9.1,0.22,0.28,1.0,532699,147259,95652,214390
66,5.8,0.67,0.16,1.0,501066,120776,111402,256756
