,m,d,r,w,R,S,T,P
0,3.0,0.34,0.19,1.0,611574,115700,96231,166495
1,4.1,0.21,0.17,1.0,561989,103575,125225,199211
2,5.0,0.67,0.17,1.0,594549,117389,109008,169054
3,3.4,0.32,0.15,1.0,553211,123317,124019,189453
4,6.2,0.92,0.15,1.0,553053,118856,131852,186239
5,3.3,0.27,0.16,1.0,606847,122934,95693,164526
6,2.6,0.21,0.74,1.0,571892,114682,111571,191855
7,2.7,0.35,0.77,1.0,496472,104523,147420,241585
8,7.1,0.79,0.19,1.0,608630,121073,86088,174209
9,3.2,0.5,0.17,1.0,518730,107183,138534,225553
10,5.4,0.22,0.22,1.0,602909,133111,93492,160488
11,5.5,0.86,0.49,1.0,616649,116360,91175,165816
12,4.1,0.2,0.17,1.0,594431,128355,98171,169043
13,2.9,0.23,0.32,1.0,522873,125837,137937,203353
14,3.4,0.44,0.28,1.0,537698,114890,132667,204745
15,2.7,0.84,0.31,1.0,565129,112008,120629,192234
16,3.1,0.25,0.25,1.0,526868,110158,136289,216685
17,3.1,0.52,0.49,1.0,480945,97353,171719,239983
18,3.8,0.37,0.64,1.0,547384,111251,127221,204144
19,3.6,0.31,0.16,1.0,546299,127335,133457,182909
20,8.7,0.25,0.2,1.0,609722,118148,89513,172617
21,5.4,0.21,0.33,1.0,523455,96667,146508,223370
22,3.8,0.57,0.28,1.0,533163,112515,133810,210512
23,3.5,0.47,0.37,1.0,598942,126240,97119,167699
24,5.0,0.49,0.72,1.0,594159,111792,102679,181370
25,6.8,0.48,0.67,1.0,577655,123484,116903,171958
26,3.3,0.21,0.85,1.0,615673,123865,100411,150051
27,5.8,0.36,0.8,1.0,473118,94397,176436,246049
28,5.7,0.5,0.5,1.0,508762,96990,151807,232441
29,6.2,0.23,0.19,1.0,655019,141263,68590,125128
30,5.8,0.25,0.19,1.0,518362,109848,147216,214574
31,6.3,0.25,0.24,1.0,591273,127747,107338,163642
32,8.5,0.22,0.17,1.0,579849,124802,113100,172249
33,3.8,0.22,0.21,1.0,628633,138451,92663,130253
34,3.1,0.61,0.33,1.0,603917,123064,99530,163489
35,2.7,0.45,0.41,1.0,558660,113453,121994,195893
36,3.0,0.23,0.17,1.0,554806,103979,131154,200061
37,4.5,0.59,0.33,1.0,501312,101870,150658,236160
38,10.0,0.57,0.47,1.0,581252,110474,110047,188227
39,5.1,0.36,0.2,1.0,642745,132799,79927,134529
40,3.9,0.51,0.8,1.0,636932,127434,83018,142616
41,7.2,0.29,0.16,1.0,515532,102866,150734,220868
42,3.6,0.2,0.18,1.0,609508,126268,94351,159873
43,2.6,0.51,0.26,1.0,611175,127770,93789,157266
44,3.3,0.41,0.39,1.0,560218,111078,117837,200867
45,5.7,0.22,0.17,1.0,608973,130423,97051,153553
46,3.3,0.95,0.95,1.0,580218,120925,115850,173007
47,2.9,0.52,0.16,1.0,609509,120708,97069,162714
48,2.8,0.75,0.7,1.0,583919,119583,110226,176272
49,4.5,0.41,0.22,1.0,537732,100271,127483,224514
50,3.2,0.25,0.21,1.0,604172,131550,91035,163243
51,3.0,0.54,0.36,1.0,609922,127099,95455,157524
52,3.2,0.23,0.36,1.0,541175,117583,136927,194315
53,2.9,0.32,0.49,1.0,597697,117001,110961,164341
54,6.6,0.36,0.68,1.0,531762,105471,137071,215696
55,3.5,0.87,0.61,1.0,544484,105529,133339,206648
56,3.0,0.39,0.18,1.0,615865,130611,90029,153495
57,5.1,0.42,0.33,1.0,616270,122145,96089,155496
58,4.4,0.32,0.91,1.0,604765,138686,94502,152047
59,3.1,0.33,0.16,1.0,572250,131048,109218,177484
60,6.0,0.22,0.26,1.0,574615,122822,113444,179119
61,3.2,0.27,0.48,1.0,565945,112008,107338,204709
62,7.3,0.27,0.15,1.0,537082,108252,135220,209446
63,4.2,0.69,0.38,1.0,560212,106195,114999,208594
64,6.0,0.48,0.15,1.0,583069,123313,104896,178722
65,6.2,0.24,0.47,1.0,574442,121149,117723,176686
66,3.8,0.2,0.19,1.0,600863,133639,104654,150844
67,2.6,0.45,0.22,1.0,532209,101599,140054,216138
68,3.7,0.26,0.37,1.0,553942,107972,132637,195449
69,7.7,0.3,0.51,1.0,563531,117537,124208,184724
70,2.6,0.22,0.32,1.0,554763,130651,137777,166809
