,defect,tit_for_tat,generous_tit_for_tat,cooperate
317,23,22,23,32
318,23,22,23,32
319,23,23,22,32
320,24,23,21,32
321,24,22,21,33
322,24,22,21,33
323,24,23,21,32
324,24,22,21,33
325,23,22,22,33
326,23,22,22,33
327,24,22,22,32
328,24,22,22,32
329,23,23,22,32
330,22,23,22,33
331,22,23,22,33
332,23,23,22,32
333,23,23,22,32
334,23,23,23,31
335,23,23,23,31
336,22,23,23,32
337,21,24,23,32
338,20,24,24,32
339,20,24,24,32
340,21,24,23,32
341,21,23,23,33
342,21,23,22,34
343,20,23,22,35
344,20,24,21,35
345,19,24,21,36
346,19,23,21,37
347,19,23,21,37
348,18,23,22,37
349,18,24,22,36
350,19,24,22,35
351,20,23,22,35
352,20,22,23,35
353,20,22,24,34
354,20,21,24,35
355,21,21,23,35
356,21,21,23,35
357,21,21,23,35
358,22,21,23,34
359,21,22,23,34
360,21,23,23,33
361,20,23,23,34
362,19,23,23,35
363,18,23,24,35
364,17,24,24,35
365,18,24,23,35
366,17,24,23,36
367,17,24,23,36
368,17,23,23,37
369,17,23,23,37
370,17,23,23,37
371,17,22,23,38
372,17,23,22,38
373,17,24,22,37
374,17,24,22,37
375,17,24,21,38
376,17,25,20,38
377,17,25,21,37
378,17,25,21,37
379,17,25,21,37
380,18,25,20,37
381,18,25,19,38
382,19,25,19,37
383,20,24,19,37
384,20,25,19,36
385,20,25,19,36
386,20,25,19,36
387,20,25,18,37
388,19,26,18,37
389,19,26,19,36
390,18,26,20,36
391,19,26,19,36
392,19,26,19,36
393,19,27,19,35
394,19,27,19,35
395,19,27,19,35
396,18,27,20,35
397,17,27,20,36
398,17,27,19,37
399,18,26,19,37
400,18,26,19,37
401,18,26,18,38
402,18,26,18,38
403,18,26,17,39
404,18,26,17,39
405,18,27,17,38
406,18,27,17,38
407,18,26,18,38
408,17,26,18,39
409,18,26,17,39
410,18,26,17,39
411,17,26,17,40
412,17,26,17,40
413,17,26,18,39
414,18,25,18,39
415,18,25,19,38
416,18,25,19,38
417,17,25,20,38
418,16,25,20,39
419,16,24,21,39
420,16,25,21,38
421,17,25,20,38
422,18,25,20,37
423,18,25,20,37
424,18,24,21,37
425,18,25,20,37
426,19,25,20,36
427,19,25,21,35
428,18,25,21,36
429,17,25,22,36
430,17,25,22,36
431,18,24,22,36
432,18,24,23,35
433,18,25,22,35
434,19,25,22,34
435,19,24,22,35
436,19,24,21,36
437,19,24,21,36
438,20,24,21,35
439,20,25,20,35
440,19,26,20,35
441,20,26,19,35
442,20,26,19,35
443,20,27,18,35
444,20,27,18,35
445,20,27,19,34
446,20,27,18,35
447,20,28,17,35
448,20,29,16,35
449,20,28,16,36
450,20,29,15,36
451,20,29,15,36
452,20,29,16,35
453,20,29,16,35
454,19,29,16,36
455,19,28,17,36
456,19,28,17,36
457,19,28,17,36
458,19,28,17,36
459,19,28,17,36
460,19,28,17,36
461,19,29,16,36
462,18,29,17,36
463,17,30,17,36
464,17,31,17,35
465,17,31,18,34
466,17,30,19,34
467,17,30,19,34
468,17,30,19,34
469,18,29,19,34
470,18,29,19,34
471,18,28,19,35
472,18,28,19,35
473,18,27,19,36
474,18,28,19,35
475,18,29,19,34
476,18,29,20,33
477,18,29,19,34
478,19,29,19,33
479,18,30,19,33
480,18,31,18,33
481,19,31,17,33
482,20,30,17,33
483,20,30,17,33
484,21,30,16,33
485,21,30,15,34
486,21,30,15,34
487,21,30,15,34
488,21,30,16,33
489,21,31,16,32
490,20,31,16,33
491,20,31,16,33
492,20,31,15,34
493,20,31,14,35
494,21,30,14,35
495,22,29,14,35
496,22,30,14,34
497,22,30,14,34
498,22,30,14,34
499,23,29,14,34
500,24,29,14,33
501,24,30,14,32
502,23,30,14,33
503,23,30,15,32
504,23,30,15,32
505,22,31,15,32
506,23,30,15,32
507,23,29,16,32
508,23,29,16,32
509,23,29,16,32
510,23,29,16,32
511,23,30,16,31
512,23,30,15,32
513,23,30,15,32
514,23,31,15,31
515,23,32,14,31
516,23,31,14,32
517,23,30,14,33
518,22,30,15,33
519,22,30,15,33
520,21,31,15,33
521,21,32,15,32
522,21,33,15,31
523,21,32,16,31
524,21,32,16,31
525,20,32,17,31
526,19,32,17,32
527,19,32,17,32
528,19,32,17,32
529,19,32,17,32
530,20,32,17,31
531,20,31,18,31
532,21,30,18,31
533,21,31,17,31
534,21,31,17,31
535,21,31,17,31
536,21,30,17,32
537,21,30,17,32
538,21,30,16,33
539,20,30,16,34
540,20,31,16,33
541,20,31,16,33
542,20,31,15,34
543,20,31,15,34
544,21,30,15,34
545,21,31,14,34
546,20,32,14,34
547,20,31,15,34
548,20,31,15,34
549,20,30,15,35
550,19,30,15,36
551,19,30,15,36
552,19,30,15,36
553,20,30,15,35
554,19,30,16,35
555,19,30,16,35
556,18,30,16,36
557,18,30,16,36
558,19,30,16,35
559,19,30,16,35
560,18,31,16,35
561,19,30,16,35
562,18,30,16,36
563,17,30,17,36
564,18,30,16,36
565,19,29,16,36
566,18,29,16,37
567,18,29,16,37
568,17,30,16,37
569,18,29,16,37
570,19,29,15,37
571,18,29,16,37
572,18,29,15,38
573,19,29,15,37
574,19,29,15,37
575,19,30,14,37
576,18,30,14,38
577,19,30,13,38
578,19,30,14,37
579,20,30,13,37
580,20,30,13,37
581,20,30,12,38
582,20,30,13,37
583,20,31,12,37
584,21,30,12,37
585,21,29,12,38
586,21,29,13,37
587,21,29,13,37
588,20,29,14,37
589,20,28,14,38
590,19,28,14,39
591,19,29,14,38
592,19,29,14,38
593,19,30,14,37
594,20,30,14,36
595,20,30,14,36
596,20,31,14,35
597,21,30,14,35
598,21,30,14,35
599,21,29,15,35
600,22,29,14,35
601,21,29,14,36
602,21,30,14,35
603,22,29,14,35
604,22,29,14,35
605,22,29,14,35
606,23,29,14,34
607,22,29,15,34
608,22,29,15,34
609,22,30,14,34
610,22,29,15,34
611,21,29,16,34
612,21,28,16,35
613,21,28,16,35
614,21,28,16,35
615,21,28,16,35
616,20,29,16,35
617,21,28,16,35
618,20,29,16,35
619,20,28,17,35
620,20,28,17,35
621,20,28,17,35
622,20,28,17,35
623,19,28,17,36
624,19,28,18,35
625,19,28,18,35
626,19,28,17,36
627,19,28,18,35
628,19,28,18,35
629,19,28,18,35
630,19,28,18,35
631,19,29,18,34
632,19,29,18,34
633,20,29,18,33
634,20,29,18,33
635,19,29,18,34
636,19,30,17,34
637,19,31,16,34
638,19,31,16,34
639,20,31,16,33
640,21,31,15,33
641,21,31,14,34
642,20,32,14,34
643,20,31,14,35
644,21,31,14,34
645,22,31,14,33
646,23,31,13,33
647,24,30,13,33
648,25,30,13,32
649,25,30,13,32
650,25,31,13,31
651,25,31,13,31
652,24,31,13,32
653,24,31,13,32
654,24,31,13,32
655,24,30,13,33
656,24,31,12,33
657,24,30,12,34
658,25,30,12,33
659,25,30,11,34
660,24,31,11,34
661,24,31,12,33
662,24,30,12,34
663,24,30,12,34
664,24,29,13,34
665,24,29,12,35
666,24,28,12,36
667,23,28,13,36
668,23,28,13,36
669,24,28,13,35
670,23,28,14,35
671,23,27,15,35
672,23,27,15,35
673,22,28,15,35
674,22,29,14,35
675,22,29,14,35
676,22,30,14,34
677,21,30,15,34
678,21,29,15,35
679,20,30,15,35
680,20,30,16,34
681,21,29,16,34
682,21,28,16,35
683,21,28,16,35
684,20,28,16,36
685,20,28,17,35
686,20,28,17,35
687,20,27,17,36
688,20,27,16,37
689,21,27,16,36
690,22,27,15,36
691,22,26,15,37
692,22,25,16,37
693,21,25,16,38
694,20,25,16,39
695,20,25,16,39
696,20,25,16,39
697,20,25,16,39
698,20,26,16,38
699,20,26,16,38
700,20,26,17,37
701,20,25,17,38
702,19,25,18,38
703,19,26,18,37
704,19,25,18,38
705,19,25,18,38
706,19,25,17,39
707,20,24,17,39
708,20,24,17,39
709,19,25,17,39
710,20,25,17,38
711,20,25,17,38
712,21,25,17,37
713,21,25,18,36
714,21,25,18,36
715,21,25,18,36
716,21,25,18,36
717,21,24,19,36
718,20,24,19,37
719,19,24,20,37
720,19,25,19,37
721,18,25,19,38
722,18,25,19,38
723,17,25,19,39
724,16,25,19,40
725,16,26,19,39
726,17,25,19,39
727,17,25,19,39
728,17,24,20,39
729,17,24,21,38
730,18,24,20,38
731,19,24,20,37
732,19,24,20,37
733,18,24,20,38
734,18,24,20,38
735,18,25,20,37
736,18,26,19,37
737,19,26,19,36
738,19,27,18,36
739,18,27,18,37
740,18,27,18,37
741,18,27,18,37
742,18,27,18,37
743,18,27,18,37
744,17,28,18,37
745,17,28,18,37
746,16,28,19,37
747,15,28,19,38
748,15,27,20,38
749,15,27,20,38
750,14,27,21,38
751,14,28,21,37
752,13,28,21,38
753,13,28,22,37
754,13,29,22,36
755,13,29,22,36
756,13,29,22,36
757,13,29,23,35
758,13,29,24,34
759,13,29,24,34
760,13,28,24,35
761,12,28,24,36
762,12,28,25,35
763,12,27,25,36
764,12,27,25,36
765,13,27,25,35
766,14,27,25,34
767,14,26,25,35
768,14,26,26,34
769,14,26,26,34
770,14,26,26,34
771,14,26,25,35
772,14,25,26,35
773,15,25,26,34
774,15,26,26,33
775,15,26,26,33
776,15,27,25,33
777,14,28,25,33
778,13,28,25,34
779,14,28,24,34
780,14,28,25,33
781,14,28,25,33
782,14,28,25,33
783,14,29,24,33
784,14,29,23,34
785,14,29,24,33
786,13,29,25,33
787,13,28,25,34
788,12,29,25,34
789,13,29,24,34
790,13,28,25,34
791,13,29,25,33
792,13,28,25,34
793,12,28,25,35
794,13,28,25,34
795,13,28,25,34
796,13,28,25,34
