S.D.,Counts,seed,tournament_type
0.5,250,128,pareto_m_max
0.6,247,128,pareto_m_max
0.7,236,128,pareto_m_max
0.8,231,128,pareto_m_max
0.9,216,128,pareto_m_max
1,191,128,pareto_m_max
1.1,172,128,pareto_m_max
1.2,137,128,pareto_m_max
1.3,106,128,pareto_m_max
1.4,107,128,pareto_m_max
1.5,94,128,pareto_m_max
1.6,83,128,pareto_m_max
1.7,78,128,pareto_m_max
1.8,58,128,pareto_m_max
1.9,48,128,pareto_m_max
2,31,128,pareto_m_max
2.1,29,128,pareto_m_max
2.2,19,128,pareto_m_max
2.3,5,128,pareto_m_max
2.4,4,128,pareto_m_max
2.5,0,128,pareto_m_max
2.6,0,128,pareto_m_max
2.7,0,128,pareto_m_max
2.8,0,128,pareto_m_max
2.9,0,128,pareto_m_max
3,0,128,pareto_m_max
