S.D.,Counts
0.5,296
0.6,283
0.7,252
0.8,256
0.9,239
1.0,217
1.1,195
1.2,162
1.3,131
1.4,137
1.5,130
1.6,107
1.7,88
1.8,68
1.9,54
2.0,34
2.1,27
2.2,21
2.3,15
2.4,7
2.5,6
2.6,1
2.7,1
2.8,1
2.9,0
3.0,0
