,m,d,r,w,P,R,S,T
0,4.9,0.63,0.43,1.0,206184,562048,118559,103209
1,3.9,0.05,0.77,1.0,200340,555994,123151,110515
2,5.9,0.81,0.78,1.0,190869,559064,129100,110967
3,6.8,0.93,0.16,1.0,212198,534215,126021,117566
4,4.5,0.4,0.53,1.0,154580,603457,133916,98047
5,5.1,0.36,0.48,1.0,227756,523064,114200,124980
6,4.0,0.06,0.05,1.0,234119,528038,106172,121671
7,9.5,0.53,0.2,1.0,187087,588594,112153,102166
8,9.9,0.6,0.65,1.0,188556,584207,121448,95789
9,3.8,0.15,0.32,1.0,179552,590661,121512,98275
10,4.1,0.67,0.6,1.0,192426,578162,117989,101423
11,1.4,0.81,0.69,1.0,174983,595805,116511,102701
12,0.4,0.92,0.64,1.0,235891,522027,107570,124512
13,8.0,0.77,0.56,1.0,249709,513949,107278,119064
14,0.5,0.74,0.53,1.0,256063,499612,108340,125985
15,7.6,0.95,0.48,1.0,196466,571840,118914,102780
16,5.5,0.85,0.51,1.0,224257,529657,111801,124285
17,3.5,0.61,0.27,1.0,248016,499696,111937,130351
18,9.9,0.57,0.33,1.0,185985,583178,120035,100802
19,9.4,0.5,0.99,1.0,187304,596618,110882,95196
20,8.6,0.71,0.54,1.0,176802,593122,125562,94514
21,1.8,0.67,0.44,1.0,215177,546820,113837,114166
22,6.0,0.57,0.67,1.0,216134,536250,122054,115562
23,6.0,0.42,0.04,1.0,233609,511640,114013,130738
24,7.1,0.67,0.4,1.0,229395,529958,109207,121440
25,1.3,0.84,0.21,1.0,282139,471440,104615,131806
26,8.4,0.89,0.48,1.0,211131,557456,112754,108659
27,7.0,0.32,0.71,1.0,205746,571606,109898,102750
28,5.1,0.3,0.76,1.0,162723,602060,128934,96283
29,4.6,0.85,0.73,1.0,217991,538477,118494,115038
30,8.5,0.23,0.85,1.0,244605,520147,104677,120571
31,4.0,0.05,0.62,1.0,239719,512974,111084,126223
32,7.6,0.41,0.81,1.0,190810,586689,110809,101692
33,5.9,0.5,0.35,1.0,215603,553404,114515,106478
34,1.6,0.12,0.28,1.0,205965,556178,114941,112916
35,2.6,0.96,0.52,1.0,259804,497006,104693,128497
36,5.2,0.43,0.99,1.0,231994,524859,110168,122979
37,7.4,0.07,0.52,1.0,244055,513502,107681,124762
38,8.4,0.81,0.65,1.0,266978,489224,100439,133359
39,9.2,0.32,0.05,1.0,223523,533382,114449,118646
40,5.7,0.66,0.56,1.0,194917,571122,117214,106747
41,9.2,0.58,0.62,1.0,218284,534230,120229,117257
42,2.7,0.61,0.9,1.0,195895,562562,126510,105033
43,2.8,0.53,0.1,1.0,202611,550914,124182,112293
44,8.1,0.13,0.67,1.0,230107,549306,102078,108509
45,0.2,0.53,0.18,1.0,223685,539275,109238,117802
46,2.3,0.13,0.82,1.0,185406,579723,120402,104469
47,1.8,0.75,0.65,1.0,243937,524926,102055,119082
48,6.5,0.28,0.72,1.0,247675,520084,106805,115436
49,3.7,0.36,0.88,1.0,239076,517084,113850,119990
50,9.3,0.93,0.64,1.0,227324,517851,121779,123046
51,10.0,0.11,0.57,1.0,258425,506380,103810,121385
52,0.5,0.42,0.19,1.0,256625,502001,103947,127427
53,7.0,0.74,0.9,1.0,175782,585051,129306,99861
54,2.5,0.25,0.18,1.0,235075,518418,114095,122412
55,1.9,0.71,0.68,1.0,285478,465427,98716,140379
56,6.7,0.17,0.01,1.0,255587,499614,102804,131995
57,5.6,0.12,0.58,1.0,221623,520516,121900,125961
58,0.6,0.3,0.02,1.0,259045,497339,107216,126400
59,0.5,0.4,0.98,1.0,219591,537427,113536,119446
60,1.0,0.89,0.18,1.0,210801,548688,118073,112438
61,9.4,0.9,0.69,1.0,194970,560323,127911,106796
62,0.2,0.94,0.2,1.0,226432,534249,108950,120369
63,5.8,0.97,0.63,1.0,244910,511634,106624,126832
64,8.1,0.35,0.46,1.0,246828,519273,106150,117749
65,4.9,0.71,0.45,1.0,202743,555563,123617,108077
66,3.0,0.08,0.43,1.0,185907,575558,127777,100758
