,m,d,r,w,P,R,S,T
0,1.0,0.82,0.94,1.0,204679,574453,111314,99554
1,8.0,0.21,0.52,1.0,197035,563450,115902,113613
2,7.4,0.46,0.81,1.0,210968,561027,105022,112983
3,5.4,0.55,0.16,1.0,199328,569332,119316,102024
4,1.3,0.14,0.1,1.0,177692,594402,119703,98203
5,1.2,0.45,0.27,1.0,211067,537223,110664,131046
6,1.2,0.82,0.01,1.0,137098,644818,135950,72134
7,4.2,0.97,0.18,1.0,193940,592723,106900,96437
8,3.3,0.37,0.25,1.0,194048,569323,119116,107513
9,0.5,0.08,0.01,1.0,231638,529620,103767,124975
10,7.1,0.54,0.16,1.0,235393,516750,107959,129898
11,1.9,0.14,0.4,1.0,174958,612114,113378,89550
12,9.1,0.23,0.91,1.0,218132,538467,106758,126643
13,9.4,0.05,0.57,1.0,207373,562347,108172,112108
14,4.7,0.66,0.89,1.0,243632,515224,99476,131668
15,1.1,0.85,0.67,1.0,192759,570278,120344,106619
16,8.4,0.24,0.91,1.0,197052,576358,107845,108745
17,9.5,0.85,0.77,1.0,187149,590676,111807,100368
18,0.9,0.06,0.92,1.0,184683,589619,111557,104141
19,6.0,0.17,0.85,1.0,201911,560112,123270,104707
20,2.0,0.68,0.04,1.0,210510,550709,115637,113144
21,8.0,0.32,0.74,1.0,245183,524423,99677,120717
22,7.4,0.95,0.57,1.0,220026,548473,102618,118883
23,3.2,0.7,0.85,1.0,171645,608271,120426,89658
24,2.5,0.97,0.97,1.0,222843,545886,102114,119157
25,1.2,0.13,0.79,1.0,258650,496458,102076,132816
26,5.0,0.75,0.93,1.0,188309,574713,119994,106984
27,7.2,0.64,0.62,1.0,244318,533121,88814,123747
28,2.7,0.17,0.54,1.0,144088,621418,132705,91789
29,5.7,0.33,0.64,1.0,222424,538808,100276,128492
30,1.8,0.34,0.6,1.0,192581,588906,111394,97119
31,3.1,0.69,0.88,1.0,201681,567935,106312,114072
32,0.2,0.24,0.97,1.0,222000,529365,111089,127546
33,7.3,0.79,0.25,1.0,242951,522112,94997,129940
34,5.3,0.1,0.52,1.0,196336,581400,113434,98830
35,6.9,0.87,0.58,1.0,234853,531871,99933,123343
36,6.8,0.9,0.3,1.0,220896,549221,102851,117032
37,3.8,0.8,0.42,1.0,216220,539521,109400,124859
38,3.7,0.8,0.54,1.0,197598,570784,117538,104080
39,3.4,0.58,0.08,1.0,208067,561209,106196,114528
40,1.3,0.05,0.36,1.0,194337,575339,108159,112165
41,1.3,0.62,0.77,1.0,139642,627944,139462,82952
42,1.1,0.13,0.91,1.0,196474,563962,116147,113417
43,5.1,0.29,0.88,1.0,215967,542832,114617,116584
