,m,d,r,w,P,R,S,T
0,7.8,0.42,0.87,1.0,316274,378182,125804,169740
1,8.4,0.85,0.96,1.0,300144,409751,145992,134113
2,4.2,0.91,0.71,1.0,265331,463221,146027,115421
3,2.2,0.66,0.78,1.0,318962,397227,115657,158154
4,8.0,0.17,0.98,1.0,260104,453842,150134,125920
5,9.5,0.42,0.92,1.0,304757,409927,121591,153725
6,6.3,0.26,0.22,1.0,303330,403154,128432,155084
7,7.7,0.15,0.44,1.0,325163,369422,121857,173558
8,8.9,0.91,0.01,1.0,260893,456320,150899,121888
9,7.4,0.21,0.03,1.0,276211,440665,141840,131284
10,4.2,0.83,0.81,1.0,232969,494176,162786,100069
11,2.7,0.4,0.9,1.0,235927,469544,162306,122223
12,6.2,0.67,0.42,1.0,303621,407622,117911,160846
13,0.8,0.2,0.38,1.0,316999,416210,122946,133845
14,4.1,0.54,0.15,1.0,288393,409401,144155,148051
15,3.2,0.68,0.26,1.0,195514,518723,185596,90167
16,5.4,0.47,0.72,1.0,291431,415239,133481,149849
17,7.5,0.41,0.96,1.0,297874,405302,128382,158442
18,7.7,0.41,0.54,1.0,246076,463662,148924,131338
19,5.1,0.86,0.84,1.0,276353,424071,159631,129945
20,2.3,0.77,0.07,1.0,251120,452218,156402,130260
21,6.3,0.44,0.06,1.0,243535,474415,155059,116991
22,1.5,0.79,0.6,1.0,316383,382678,125247,165692
23,4.9,0.7,0.73,1.0,257439,469635,142599,120327
24,9.9,0.21,0.39,1.0,304762,414883,124161,146194
25,5.7,0.51,0.26,1.0,259823,470989,145217,113971
26,6.8,0.07,0.27,1.0,270928,433531,144636,140905
27,5.4,0.1,0.77,1.0,244499,479267,157236,108998
28,5.7,0.7,0.35,1.0,295209,413151,123207,158433
29,4.6,0.06,0.37,1.0,287935,432875,131750,137440
30,3.0,0.81,0.88,1.0,279887,413988,142263,153862
31,8.5,0.38,0.71,1.0,255406,455448,153099,126047
32,5.4,0.77,0.91,1.0,302788,411112,126148,149952
33,9.4,0.26,0.87,1.0,284383,444708,133269,127640
34,5.6,0.99,0.67,1.0,325669,385347,116819,162165
35,5.8,0.88,0.2,1.0,309070,413943,124222,142765
36,4.2,0.9,0.18,1.0,300602,403423,130223,155752
37,2.3,0.95,0.83,1.0,288283,429501,133532,138684
38,8.4,0.48,0.69,1.0,333402,387184,111718,157696
39,0.4,0.43,0.26,1.0,312392,403034,122019,152555
40,5.1,0.31,0.83,1.0,255250,463006,147263,124481
41,2.3,1.0,0.54,1.0,276447,423253,143215,147085
42,5.3,0.31,0.69,1.0,279066,436233,140073,134628
43,2.4,0.13,0.38,1.0,269694,443830,148198,128278
44,5.1,0.16,0.23,1.0,305285,407153,125440,152122
45,2.9,0.07,0.15,1.0,302219,421822,119586,146373
46,6.7,0.02,0.61,1.0,261283,471437,135718,121562
47,9.1,0.04,0.85,1.0,248421,447495,154638,139446
48,8.4,0.15,0.16,1.0,256953,455653,155339,122055
49,4.8,0.11,0.18,1.0,272298,422838,135019,159845
50,4.6,0.96,0.48,1.0,315555,390577,119058,164810
51,5.3,0.69,0.48,1.0,281717,415901,144579,147803
52,5.9,0.44,0.29,1.0,256985,459662,151843,121510
53,6.9,0.36,0.17,1.0,295227,402578,127394,164801
54,2.4,0.82,0.23,1.0,268273,438573,141156,141998
55,2.1,0.53,0.19,1.0,257687,465463,148879,117971
56,0.3,0.06,0.9,1.0,276861,449339,127690,136110
57,5.2,0.82,1.0,1.0,316813,383372,129509,160306
58,1.1,0.43,0.51,1.0,281466,450737,137645,120152
59,4.3,0.66,0.09,1.0,304404,391841,129953,163802
60,6.4,0.91,0.5,1.0,259273,444254,151932,134541
61,2.7,0.04,0.55,1.0,225466,463721,187272,113541
62,4.9,0.84,0.64,1.0,314253,395198,120205,160344
63,5.8,0.52,0.63,1.0,249097,461707,154974,124222
64,8.0,0.2,0.07,1.0,199034,515767,183261,91938
65,1.7,0.06,0.96,1.0,281292,410523,149773,148412
66,3.1,0.64,0.45,1.0,315286,388445,120156,166113
67,4.4,0.29,0.4,1.0,290988,416372,127893,154747
68,9.2,0.99,0.24,1.0,256721,443962,162664,126653
69,7.2,0.06,0.84,1.0,289631,424067,136340,139962
70,4.3,0.34,0.5,1.0,271919,445771,142354,129956
71,3.4,0.25,0.43,1.0,337848,355533,110224,186395
72,7.4,0.96,0.21,1.0,278401,438048,135766,137785
73,9.4,0.17,0.19,1.0,304538,409906,129184,146372
74,3.0,0.48,0.56,1.0,285409,430647,133075,140869
75,0.3,0.11,0.97,1.0,308043,392552,136149,153256
76,1.9,0.42,0.33,1.0,271592,415436,166692,136280
77,5.8,0.32,0.16,1.0,323451,352356,137763,176430
78,0.8,0.56,0.33,1.0,286338,413195,137778,152689
79,7.1,0.17,0.59,1.0,263811,444949,139550,141690
80,5.1,0.07,0.94,1.0,215664,482437,171361,120538
81,5.8,0.34,0.27,1.0,230751,478214,164828,116207
82,8.9,0.7,0.31,1.0,284483,436433,139479,129605
83,7.4,0.37,0.25,1.0,252508,479247,146320,111925
84,1.8,0.7,0.71,1.0,303580,420442,125694,140284
85,4.4,0.64,0.02,1.0,278180,425683,136999,149138
86,5.4,0.24,0.03,1.0,251035,477079,151375,110511
87,6.1,0.71,0.77,1.0,285487,432449,138054,134010
88,6.8,0.33,0.54,1.0,314525,395121,119219,161135
89,6.4,0.14,0.97,1.0,308331,393395,126685,161589
90,8.9,0.86,0.08,1.0,297052,409769,137123,146056
