,defect,tit_for_tat,generous_tit_for_tat,cooperate
317,23,19,25,33
318,23,20,25,32
319,24,20,25,31
320,24,20,25,31
321,24,19,26,31
322,24,19,27,30
323,24,18,28,30
324,24,18,29,29
325,24,18,29,29
326,25,18,29,28
327,26,17,29,28
328,26,17,29,28
329,27,17,28,28
330,27,17,29,27
331,27,16,29,28
332,26,16,29,29
333,26,16,29,29
334,26,17,28,29
335,26,17,28,29
336,26,18,28,28
337,26,18,29,27
338,26,18,29,27
339,26,18,29,27
340,27,17,29,27
341,27,17,29,27
342,27,17,29,27
343,27,17,29,27
344,27,17,28,28
345,28,17,27,28
346,28,17,27,28
347,28,18,26,28
348,27,18,27,28
349,27,18,27,28
350,27,19,26,28
351,27,19,26,28
352,27,19,26,28
353,27,19,26,28
354,28,19,26,27
355,28,18,27,27
356,28,19,26,27
357,28,20,26,26
358,27,20,27,26
359,27,20,28,25
360,26,21,28,25
361,27,20,28,25
362,26,21,28,25
363,27,21,27,25
364,27,21,26,26
365,27,21,25,27
366,27,20,25,28
367,27,20,25,28
368,27,19,26,28
369,28,19,25,28
370,28,19,25,28
371,29,19,25,27
372,29,19,25,27
373,28,19,25,28
374,27,19,26,28
375,28,19,25,28
376,28,19,25,28
377,27,19,25,29
378,27,18,26,29
379,26,18,27,29
380,27,18,27,28
381,27,18,28,27
382,27,17,28,28
383,26,17,29,28
384,26,17,29,28
385,25,17,30,28
386,25,17,30,28
387,26,17,30,27
388,25,17,30,28
389,25,17,31,27
390,26,17,30,27
391,26,17,29,28
392,26,17,29,28
393,27,17,28,28
394,27,18,28,27
395,27,18,28,27
396,27,19,27,27
397,28,19,26,27
398,28,20,26,26
399,28,20,26,26
400,29,20,25,26
401,29,20,25,26
402,29,20,24,27
403,30,20,24,26
404,30,20,24,26
405,31,20,24,25
406,31,19,24,26
407,32,18,24,26
408,31,18,25,26
409,31,18,25,26
410,31,18,25,26
411,31,18,25,26
412,31,18,25,26
413,31,18,25,26
414,31,18,25,26
415,32,18,24,26
416,31,18,25,26
417,30,18,26,26
418,31,18,26,25
419,32,17,26,25
420,33,16,26,25
421,34,15,26,25
422,34,15,25,26
423,33,15,25,27
424,33,15,24,28
425,33,15,23,29
426,33,15,23,29
427,34,14,23,29
428,33,14,24,29
429,34,14,24,28
430,35,14,24,27
431,35,14,25,26
432,34,15,25,26
433,34,14,26,26
434,33,14,27,26
435,34,13,27,26
436,34,13,26,27
437,34,13,27,26
438,34,14,27,25
439,35,13,27,25
440,35,13,27,25
441,34,13,27,26
442,34,13,27,26
443,33,13,27,27
444,33,13,27,27
445,32,13,28,27
446,31,13,29,27
447,31,12,30,27
448,31,12,31,26
449,32,12,31,25
450,33,12,30,25
451,33,12,31,24
452,33,12,30,25
453,34,12,29,25
454,34,13,29,24
455,34,13,29,24
456,33,13,30,24
457,34,13,29,24
458,34,13,29,24
459,34,13,29,24
460,34,13,28,25
461,34,13,28,25
462,34,13,28,25
463,34,13,27,26
464,34,13,28,25
465,34,13,29,24
466,33,13,29,25
467,32,13,29,26
468,32,13,29,26
469,33,13,29,25
470,33,13,29,25
471,33,13,29,25
472,32,13,30,25
473,32,14,29,25
474,31,15,29,25
475,30,15,30,25
476,30,16,30,24
477,30,16,29,25
478,31,16,28,25
479,30,16,29,25
480,31,16,29,24
481,31,16,29,24
482,31,17,29,23
483,31,17,28,24
484,31,16,29,24
485,31,16,29,24
486,31,16,29,24
487,30,16,30,24
488,31,16,30,23
489,31,16,30,23
490,31,16,30,23
491,31,16,31,22
492,31,16,31,22
493,31,15,32,22
494,31,15,33,21
495,30,15,34,21
496,31,15,34,20
497,32,15,34,19
498,31,16,34,19
499,31,16,34,19
500,31,16,34,19
501,32,16,33,19
502,33,16,33,18
503,33,17,32,18
504,33,17,32,18
505,33,17,33,17
506,33,16,34,17
507,34,15,34,17
508,33,15,35,17
509,34,15,35,16
510,34,16,34,16
511,34,16,34,16
512,33,16,34,17
513,33,16,34,17
514,34,16,33,17
515,34,15,34,17
516,35,15,33,17
517,35,15,32,18
518,35,14,33,18
519,36,14,33,17
520,36,14,33,17
521,36,14,33,17
522,36,14,33,17
523,36,14,33,17
524,35,14,34,17
525,35,13,34,18
526,35,13,35,17
527,34,13,36,17
528,35,12,36,17
529,35,12,35,18
530,36,12,35,17
531,35,12,35,18
532,35,12,36,17
533,35,12,36,17
534,34,12,36,18
535,34,12,35,19
536,34,12,35,19
537,34,12,35,19
538,35,12,34,19
539,35,12,34,19
540,35,12,34,19
541,35,13,34,18
542,34,13,35,18
543,34,13,35,18
544,34,12,35,19
545,35,12,34,19
546,34,12,35,19
547,34,11,36,19
548,33,12,36,19
549,32,12,37,19
550,32,13,36,19
551,31,13,36,20
552,32,13,35,20
553,33,13,34,20
554,33,13,34,20
555,33,14,33,20
556,34,14,32,20
557,35,14,31,20
558,36,13,31,20
559,37,13,31,19
560,36,13,32,19
561,37,13,32,18
562,38,13,32,17
563,39,13,31,17
564,39,13,30,18
565,40,12,30,18
566,40,12,30,18
567,41,12,29,18
568,42,12,28,18
569,41,12,29,18
570,42,12,29,17
571,41,12,30,17
572,42,12,29,17
573,42,12,29,17
574,42,12,30,16
575,42,12,30,16
576,42,12,30,16
577,42,12,31,15
578,43,12,30,15
579,43,12,30,15
580,44,12,29,15
581,43,12,29,16
582,44,12,28,16
583,45,12,27,16
584,45,12,27,16
585,45,12,27,16
586,45,12,27,16
587,45,12,26,17
588,44,12,27,17
589,45,12,26,17
590,45,12,25,18
591,45,11,26,18
592,44,11,27,18
593,43,11,28,18
594,43,11,29,17
595,42,11,30,17
596,42,11,30,17
597,42,12,30,16
598,43,12,29,16
599,42,12,30,16
600,42,12,29,17
601,42,12,28,18
602,43,12,27,18
603,43,11,27,19
604,42,11,27,20
605,42,11,28,19
606,41,11,28,20
607,42,11,27,20
608,42,12,27,19
609,43,11,27,19
610,43,11,27,19
611,42,11,27,20
612,41,11,28,20
613,42,11,28,19
614,42,12,27,19
615,42,12,27,19
616,42,12,27,19
617,42,13,27,18
618,43,13,27,17
619,43,13,27,17
620,44,13,26,17
621,43,13,26,18
622,43,13,26,18
623,42,13,26,19
624,41,13,26,20
625,40,13,27,20
626,40,14,26,20
627,41,14,25,20
628,41,14,25,20
629,40,14,26,20
630,41,13,26,20
631,42,13,26,19
632,43,13,25,19
633,42,14,25,19
634,42,15,24,19
635,41,15,24,20
636,40,16,24,20
637,40,16,24,20
638,40,16,25,19
639,39,16,26,19
640,40,16,26,18
641,41,16,26,17
642,41,16,26,17
643,41,16,26,17
644,41,15,26,18
645,41,15,26,18
646,41,14,27,18
647,42,14,27,17
648,42,14,27,17
649,42,14,27,17
650,42,15,26,17
651,42,15,27,16
652,42,15,27,16
653,42,15,27,16
654,42,15,27,16
655,42,15,27,16
656,42,15,28,15
657,43,15,27,15
658,43,16,26,15
659,43,17,25,15
660,43,16,25,16
661,42,16,26,16
662,43,16,25,16
663,43,15,26,16
664,44,15,26,15
665,44,15,26,15
666,43,16,26,15
667,43,16,26,15
668,43,16,26,15
669,44,16,25,15
670,44,15,25,16
671,44,16,24,16
672,43,16,25,16
673,44,16,24,16
674,43,17,24,16
675,44,17,24,15
676,44,17,23,16
677,43,18,23,16
678,43,18,24,15
679,44,18,23,15
680,44,18,23,15
681,45,17,23,15
682,45,17,23,15
683,44,18,23,15
684,44,18,23,15
685,44,19,23,14
686,44,20,22,14
687,44,20,22,14
688,44,21,21,14
689,45,20,21,14
690,45,19,21,15
691,44,19,22,15
692,44,19,22,15
693,44,19,22,15
694,44,19,22,15
695,43,19,23,15
696,42,20,23,15
697,41,20,23,16
698,40,20,24,16
699,39,21,24,16
700,40,21,24,15
701,40,21,24,15
702,40,21,24,15
703,40,21,23,16
704,41,20,23,16
705,41,21,22,16
706,41,21,22,16
707,40,21,23,16
708,40,21,23,16
709,39,21,23,17
710,39,22,22,17
711,38,22,23,17
712,38,22,22,18
713,38,22,22,18
714,38,21,23,18
715,38,20,24,18
716,38,20,24,18
717,38,20,24,18
718,39,20,23,18
719,39,19,24,18
720,40,19,23,18
721,41,18,23,18
722,41,19,22,18
723,40,19,22,19
724,39,19,23,19
725,38,19,23,20
726,38,20,23,19
727,37,20,23,20
728,37,19,24,20
729,37,19,23,21
730,36,19,24,21
731,36,20,23,21
732,36,20,23,21
733,37,19,23,21
734,37,19,23,21
735,37,19,23,21
736,37,19,22,22
737,38,19,22,21
738,39,19,22,20
739,40,18,22,20
740,39,18,23,20
741,39,18,22,21
742,38,18,22,22
743,38,19,22,21
744,37,20,22,21
745,36,20,22,22
746,35,20,22,23
747,35,20,21,24
748,35,19,22,24
749,34,19,22,25
750,34,19,22,25
751,34,18,22,26
752,34,18,22,26
753,35,18,21,26
754,34,19,21,26
755,33,19,21,27
756,34,19,20,27
757,35,19,20,26
758,34,19,21,26
759,34,19,21,26
760,35,19,20,26
761,35,18,21,26
762,35,18,21,26
763,35,18,20,27
764,35,17,20,28
765,34,18,20,28
766,34,19,20,27
767,35,18,20,27
768,36,18,19,27
769,36,18,19,27
770,36,18,19,27
771,36,18,19,27
772,37,18,18,27
773,36,19,18,27
774,35,19,18,28
775,35,18,19,28
776,35,18,19,28
777,36,17,19,28
778,35,17,19,29
779,35,17,19,29
780,34,17,20,29
781,35,17,19,29
782,35,17,19,29
783,36,16,19,29
784,36,16,19,29
785,36,16,20,28
786,36,15,20,29
787,35,16,20,29
788,34,16,21,29
789,33,16,21,30
790,32,16,22,30
791,33,15,22,30
792,34,14,22,30
793,34,14,22,30
794,33,14,22,31
795,32,14,22,32
796,33,14,22,31
797,33,14,21,32
798,33,14,20,33
799,32,14,20,34
800,32,14,20,34
801,32,14,19,35
802,32,15,19,34
803,32,15,18,35
804,32,16,17,35
805,32,15,17,36
806,31,16,17,36
807,30,17,17,36
808,30,16,17,37
809,30,16,17,37
810,31,16,16,37
811,31,16,16,37
812,30,16,17,37
813,29,16,17,38
814,30,16,17,37
815,30,16,17,37
816,31,16,16,37
817,30,16,16,38
818,29,16,17,38
819,30,16,16,38
820,30,17,15,38
821,29,17,15,39
822,30,17,14,39
823,30,16,14,40
824,31,16,14,39
825,30,16,15,39
826,31,16,15,38
827,31,16,14,39
828,31,16,14,39
829,32,16,13,39
830,33,16,13,38
831,34,16,13,37
832,34,16,13,37
833,35,16,13,36
834,35,15,13,37
835,35,16,12,37
836,35,16,12,37
837,34,16,12,38
838,34,16,12,38
839,35,15,12,38
840,36,15,12,37
841,35,15,12,38
842,35,14,13,38
843,35,14,13,38
844,35,15,13,37
845,34,15,13,38
846,35,14,13,38
847,35,14,13,38
848,35,14,13,38
849,34,14,13,39
850,34,14,13,39
851,34,14,13,39
852,35,14,13,38
853,35,14,14,37
854,34,15,14,37
855,34,16,14,36
856,34,16,14,36
857,35,16,13,36
858,35,17,12,36
859,36,17,11,36
860,35,18,11,36
861,36,18,10,36
862,35,18,10,37
863,35,18,10,37
864,35,18,11,36
865,35,19,11,35
866,36,18,11,35
867,36,18,11,35
868,36,18,11,35
869,36,18,11,35
870,36,19,10,35
871,36,19,10,35
872,36,19,9,36
873,36,18,9,37
874,36,18,9,37
875,37,18,9,36
876,38,17,9,36
877,38,17,9,36
878,38,17,9,36
879,37,18,9,36
880,38,17,9,36
881,38,17,9,36
882,37,17,9,37
883,37,18,8,37
884,38,17,8,37
