,m,d,r,w,P,R,S,T
0,7.6,0.77,0.81,1.0,313070,458043,113073,105814
1,1.2,0.72,0.29,1.0,356229,405664,100504,127603
2,7.0,0.55,0.65,1.0,310844,431717,122202,125237
3,6.1,0.15,0.55,1.0,322188,439808,113404,114600
4,6.5,0.84,0.44,1.0,315950,440969,120862,112219
5,8.6,0.66,0.67,1.0,262827,490525,130759,105889
6,3.6,0.15,0.13,1.0,273254,485905,126048,104793
7,8.6,0.24,0.09,1.0,285279,468879,131695,104147
8,2.6,0.99,0.65,1.0,282436,492156,113037,102371
9,9.6,0.38,0.88,1.0,345682,406585,106475,131258
10,8.7,0.43,0.62,1.0,310092,439741,119185,120982
11,5.5,0.46,0.38,1.0,299165,461224,121855,107756
12,0.2,0.26,0.71,1.0,368070,387892,102059,131979
13,6.6,0.25,0.86,1.0,360231,400483,104410,124876
14,4.8,0.62,0.59,1.0,264388,488451,131507,105654
15,6.3,0.68,0.56,1.0,349742,406539,102530,131189
16,8.3,0.75,0.12,1.0,311153,451916,112127,114804
17,1.7,0.33,0.74,1.0,309195,442325,120850,117630
18,2.3,0.65,0.12,1.0,303668,446167,128027,112138
19,2.1,0.54,0.02,1.0,324176,452301,108564,104959
20,0.2,0.88,0.67,1.0,322828,444064,116121,106987
21,7.4,0.12,0.06,1.0,289486,465371,124511,110632
22,1.3,0.09,0.89,1.0,364492,399769,95563,130176
23,8.1,0.22,0.02,1.0,292130,470625,123752,103493
24,8.5,0.92,0.62,1.0,342585,409098,110221,128096
25,5.5,0.45,0.76,1.0,277761,475683,125140,111416
26,8.6,0.52,0.03,1.0,311794,440100,118310,119796
27,9.1,0.18,0.18,1.0,319269,435041,115836,119854
28,3.4,0.61,0.89,1.0,296746,458893,122659,111702
29,4.1,0.06,0.31,1.0,279880,474733,127691,107696
30,2.1,0.96,0.95,1.0,311500,453807,112766,111927
31,7.1,0.24,0.35,1.0,375488,393687,94800,126025
32,7.7,0.15,0.61,1.0,321431,445497,115907,107165
33,2.3,0.42,0.73,1.0,322398,415341,122133,130128
34,2.9,0.23,0.93,1.0,294569,457664,129601,108166
35,2.0,0.24,0.96,1.0,293195,460730,128834,107241
36,5.0,0.19,0.2,1.0,376472,385667,96740,131121
37,6.6,0.9,0.32,1.0,250247,491772,150007,97974
38,5.2,0.8,0.12,1.0,282217,487424,117624,102735
39,5.2,0.6,0.57,1.0,291923,467852,118976,111249
40,0.3,0.69,0.14,1.0,239110,520195,139667,91028
41,3.3,0.64,0.01,1.0,397119,346419,103649,142813
42,6.1,0.22,0.65,1.0,286474,452993,138335,112198
43,0.7,0.24,0.66,1.0,340069,400225,109996,139710
44,6.5,0.53,0.42,1.0,319856,428207,118328,123609
45,2.1,0.69,0.18,1.0,345810,422873,105028,116289
46,5.0,0.86,0.15,1.0,298105,449469,126054,116372
47,2.2,0.57,0.81,1.0,260635,490795,129875,108695
48,9.6,0.73,0.74,1.0,318141,448272,110501,113086
49,8.6,0.3,0.11,1.0,307115,458328,116711,107846
50,2.5,0.52,0.31,1.0,301334,455426,118746,114494
51,3.1,0.53,0.15,1.0,366485,395878,99604,128033
52,2.1,0.74,0.22,1.0,341166,422337,102599,123898
53,2.3,0.05,0.58,1.0,289961,493264,112641,94134
54,2.5,0.32,0.41,1.0,319591,430252,119311,120846
55,6.0,0.3,0.77,1.0,317704,432797,118882,120617
56,7.2,0.25,0.05,1.0,312733,447457,119519,110291
57,1.6,0.56,0.13,1.0,302928,450692,122838,113542
