S.D.,Counts
0.5,292
0.6,291
0.7,260
0.8,246
0.9,225
1.0,182
1.1,171
1.2,165
1.3,151
1.4,139
1.5,145
1.6,124
1.7,94
1.8,69
1.9,46
2.0,40
2.1,23
2.2,18
2.3,9
2.4,6
2.5,5
2.6,3
2.7,2
2.8,2
2.9,1
3.0,0
