S.D.,Counts,seed,tournament_type
0.5,242,4,norm_m_sd_min
0.6,234,4,norm_m_sd_min
0.7,229,4,norm_m_sd_min
0.8,215,4,norm_m_sd_min
0.9,208,4,norm_m_sd_min
1,186,4,norm_m_sd_min
1.1,176,4,norm_m_sd_min
1.2,168,4,norm_m_sd_min
1.3,151,4,norm_m_sd_min
1.4,112,4,norm_m_sd_min
1.5,104,4,norm_m_sd_min
1.6,86,4,norm_m_sd_min
1.7,71,4,norm_m_sd_min
1.8,52,4,norm_m_sd_min
1.9,35,4,norm_m_sd_min
2,23,4,norm_m_sd_min
2.1,24,4,norm_m_sd_min
2.2,11,4,norm_m_sd_min
2.3,3,4,norm_m_sd_min
2.4,4,4,norm_m_sd_min
2.5,4,4,norm_m_sd_min
2.6,4,4,norm_m_sd_min
2.7,3,4,norm_m_sd_min
2.8,0,4,norm_m_sd_min
2.9,0,4,norm_m_sd_min
3,0,4,norm_m_sd_min
