S.D.,Counts,seed,tournament_type
0.5,275,8,pareto_dr_max
0.6,270,8,pareto_dr_max
0.7,237,8,pareto_dr_max
0.8,222,8,pareto_dr_max
0.9,202,8,pareto_dr_max
1,209,8,pareto_dr_max
1.1,190,8,pareto_dr_max
1.2,177,8,pareto_dr_max
1.3,149,8,pareto_dr_max
1.4,126,8,pareto_dr_max
1.5,116,8,pareto_dr_max
1.6,100,8,pareto_dr_max
1.7,73,8,pareto_dr_max
1.8,59,8,pareto_dr_max
1.9,53,8,pareto_dr_max
2,39,8,pareto_dr_max
2.1,25,8,pareto_dr_max
2.2,14,8,pareto_dr_max
2.3,10,8,pareto_dr_max
2.4,14,8,pareto_dr_max
2.5,9,8,pareto_dr_max
2.6,8,8,pareto_dr_max
2.7,2,8,pareto_dr_max
2.8,0,8,pareto_dr_max
2.9,0,8,pareto_dr_max
3,0,8,pareto_dr_max
