S.D.,Counts
0.5,294
0.6,269
0.7,260
0.8,245
0.9,221
1.0,201
1.1,180
1.2,165
1.3,154
1.4,120
1.5,100
1.6,72
1.7,70
1.8,52
1.9,45
2.0,27
2.1,18
2.2,16
2.3,5
2.4,8
2.5,6
2.6,4
2.7,3
2.8,1
2.9,0
3.0,0
