S.D.,Counts
0.5,266
0.6,258
0.7,259
0.8,255
0.9,246
1.0,220
1.1,186
1.2,161
1.3,138
1.4,116
1.5,108
1.6,100
1.7,69
1.8,43
1.9,38
2.0,23
2.1,21
2.2,22
2.3,15
2.4,11
2.5,10
2.6,5
2.7,2
2.8,2
2.9,1
3.0,0
