S.D.,Counts,seed,tournament_type
0.5,262,64,pareto_m_max
0.6,264,64,pareto_m_max
0.7,265,64,pareto_m_max
0.8,236,64,pareto_m_max
0.9,204,64,pareto_m_max
1,197,64,pareto_m_max
1.1,197,64,pareto_m_max
1.2,176,64,pareto_m_max
1.3,150,64,pareto_m_max
1.4,125,64,pareto_m_max
1.5,109,64,pareto_m_max
1.6,82,64,pareto_m_max
1.7,58,64,pareto_m_max
1.8,45,64,pareto_m_max
1.9,29,64,pareto_m_max
2,17,64,pareto_m_max
2.1,12,64,pareto_m_max
2.2,4,64,pareto_m_max
2.3,5,64,pareto_m_max
2.4,4,64,pareto_m_max
2.5,5,64,pareto_m_max
2.6,12,64,pareto_m_max
2.7,10,64,pareto_m_max
2.8,6,64,pareto_m_max
2.9,4,64,pareto_m_max
3,3,64,pareto_m_max
