S.D.,Counts,Seed
0.5,299,64
0.6,278,64
0.7,256,64
0.8,235,64
0.9,234,64
1.0,228,64
1.1,218,64
1.2,189,64
1.3,156,64
1.4,134,64
1.5,124,64
1.6,87,64
1.7,78,64
1.8,59,64
1.9,34,64
2.0,36,64
2.1,37,64
2.2,24,64
2.3,27,64
2.4,17,64
2.5,12,64
2.6,7,64
2.7,6,64
2.8,3,64
2.9,3,64
3.0,0,64
