S.D.,Counts
0.5,758
0.6,818
0.7,758
0.8,703
0.9,722
1.0,641
1.1,597
1.2,542
1.3,434
1.4,389
1.5,310
1.6,204
1.7,196
1.8,190
1.9,139
2.0,123
2.1,66
2.2,37
2.3,39
2.4,27
2.5,21
2.6,17
2.7,12
2.8,25
2.9,0
3.0,0
