,m,d,r,w,P,R,S,T
0,1.0,0.4,0.3,1.0,401708,324833,117231,146228
1,8.0,0.4,0.3,1.0,360550,358446,141776,129228
2,7.4,0.4,0.3,1.0,432517,295006,108036,154441
3,5.4,0.4,0.3,1.0,391574,329939,122238,146249
4,1.3,0.4,0.3,1.0,419540,312315,116441,141704
5,1.2,0.4,0.3,1.0,416563,319757,108455,145225
6,1.2,0.4,0.3,1.0,373174,359238,126180,131408
7,4.2,0.4,0.3,1.0,377219,343436,140555,128790
8,3.3,0.4,0.3,1.0,381637,333505,125357,149501
9,0.5,0.4,0.3,1.0,378459,347528,132416,131597
10,7.1,0.4,0.3,1.0,424143,320439,101784,143634
11,1.9,0.4,0.3,1.0,321601,398283,157034,113082
12,9.1,0.4,0.3,1.0,349681,357305,159567,123447
13,9.4,0.4,0.3,1.0,348777,378962,145051,117210
14,4.7,0.4,0.3,1.0,396175,343019,116790,134016
15,1.1,0.4,0.3,1.0,413645,308294,121350,146711
16,8.4,0.4,0.3,1.0,363165,369943,129443,127449
17,9.5,0.4,0.3,1.0,406729,327657,113543,142071
18,0.9,0.4,0.3,1.0,421267,295363,114754,158616
19,6.0,0.4,0.3,1.0,375875,350156,135026,128943
20,2.0,0.4,0.3,1.0,380622,354494,121432,133452
21,8.0,0.4,0.3,1.0,406058,319123,125818,139001
22,7.4,0.4,0.3,1.0,430908,305254,109821,144017
23,3.2,0.4,0.3,1.0,447167,275402,101611,165820
24,2.5,0.4,0.3,1.0,317370,393137,167610,111883
25,1.2,0.4,0.3,1.0,360508,360392,138099,131001
26,5.0,0.4,0.3,1.0,339060,391256,153021,106663
27,7.2,0.4,0.3,1.0,357512,370200,134785,127503
28,2.7,0.4,0.3,1.0,392445,348210,124214,125131
29,5.7,0.4,0.3,1.0,322185,387211,161548,119056
30,1.8,0.4,0.3,1.0,307002,386882,182753,113363
31,3.1,0.4,0.3,1.0,314513,420496,159669,95322
32,0.2,0.4,0.3,1.0,393288,345771,114872,136069
33,7.3,0.4,0.3,1.0,376466,358586,124968,129980
34,5.3,0.4,0.3,1.0,382906,351577,125871,129646
35,6.9,0.4,0.3,1.0,388849,342101,120751,138299
36,6.8,0.4,0.3,1.0,323661,414869,148324,103146
37,3.8,0.4,0.3,1.0,256921,447797,198946,86336
38,3.7,0.4,0.3,1.0,410427,328363,108429,142781
39,3.4,0.4,0.3,1.0,370924,376560,119721,122795
40,1.3,0.4,0.3,1.0,423795,298922,111489,155794
41,1.3,0.4,0.3,1.0,377950,335620,140063,136367
42,1.1,0.4,0.3,1.0,354262,392290,132470,110978
43,5.1,0.4,0.3,1.0,303901,428279,157835,99985
44,8.8,0.4,0.3,1.0,385226,356543,117272,130959
45,5.8,0.4,0.3,1.0,346717,364152,154212,124919
46,9.1,0.4,0.3,1.0,363028,379521,125244,122207
47,0.9,0.4,0.3,1.0,413730,319399,107439,149432
48,2.0,0.4,0.3,1.0,364707,363474,133035,128784
49,8.8,0.4,0.3,1.0,388885,323774,132171,145170
50,4.1,0.4,0.3,1.0,376981,354287,120206,138526
51,2.0,0.4,0.3,1.0,409529,335383,118323,126765
52,4.2,0.4,0.3,1.0,458142,269630,93008,169220
53,8.8,0.4,0.3,1.0,433263,307457,100930,148350
54,5.6,0.4,0.3,1.0,360790,352484,146457,130269
55,9.4,0.4,0.3,1.0,416544,313810,117647,141999
56,9.6,0.4,0.3,1.0,305329,413820,171768,99083
57,6.8,0.4,0.3,1.0,385470,349508,122579,132443
58,6.0,0.4,0.3,1.0,384495,352758,127808,124939
59,5.8,0.4,0.3,1.0,389700,333215,123148,143937
60,8.2,0.4,0.3,1.0,359642,368125,138455,123778
61,3.1,0.4,0.3,1.0,358616,383202,137810,110372
62,2.0,0.4,0.3,1.0,364136,362423,134519,128922
63,6.3,0.4,0.3,1.0,379334,342531,122822,145313
64,8.2,0.4,0.3,1.0,367285,359393,138212,125110
65,4.2,0.4,0.3,1.0,342462,383706,147873,115959
66,4.6,0.4,0.3,1.0,398905,328973,117447,144675
