,m,d,r,w,P,R,S,T
0,2.3,0.3,0.4,1.0,254542,477720,125910,131828
1,8.6,0.3,0.4,1.0,254235,509662,121467,104636
2,6.0,0.3,0.4,1.0,271922,439944,119050,159084
3,5.6,0.3,0.4,1.0,240135,481731,123979,144155
4,2.5,0.3,0.4,1.0,235428,502905,135335,116332
5,3.4,0.3,0.4,1.0,206270,526713,156373,100644
6,8.1,0.3,0.4,1.0,214555,518429,147847,109169
7,4.5,0.3,0.4,1.0,288652,436049,106753,158546
8,9.5,0.3,0.4,1.0,261345,482006,117816,128833
9,6.6,0.3,0.4,1.0,253395,481319,127086,128200
10,1.7,0.3,0.4,1.0,237578,490240,131071,131111
11,0.4,0.3,0.4,1.0,238619,471901,130612,148868
12,7.0,0.3,0.4,1.0,242257,501478,124258,122007
13,5.4,0.3,0.4,1.0,244933,493386,133628,118053
14,4.2,0.3,0.4,1.0,227325,497262,142097,123316
15,5.2,0.3,0.4,1.0,281467,452537,117200,138796
16,0.9,0.3,0.4,1.0,263665,462867,115181,148287
17,3.7,0.3,0.4,1.0,273821,468620,116839,130720
18,3.1,0.3,0.4,1.0,302536,407747,108292,171425
19,5.2,0.3,0.4,1.0,287405,432087,120813,149695
20,1.4,0.3,0.4,1.0,273020,468613,113754,134613
21,1.7,0.3,0.4,1.0,265615,459358,118090,146937
22,4.3,0.3,0.4,1.0,228359,511562,137225,112854
23,5.3,0.3,0.4,1.0,216386,530403,147976,95235
24,4.7,0.3,0.4,1.0,314152,395239,97270,183339
25,7.8,0.3,0.4,1.0,248440,471626,133341,136593
26,5.7,0.3,0.4,1.0,270634,433852,125407,160107
27,3.9,0.3,0.4,1.0,228916,516302,141297,103485
28,1.6,0.3,0.4,1.0,250457,476259,130069,133215
29,1.3,0.3,0.4,1.0,238876,486741,133962,130421
30,2.8,0.3,0.4,1.0,252601,470342,136344,130713
31,5.0,0.3,0.4,1.0,210732,523398,153010,102860
32,3.2,0.3,0.4,1.0,259755,487216,117718,125311
33,9.3,0.3,0.4,1.0,233037,498627,134634,123702
34,7.7,0.3,0.4,1.0,238355,500557,138447,112641
35,6.2,0.3,0.4,1.0,212599,525586,147163,104652
36,3.3,0.3,0.4,1.0,198762,526606,153976,110656
