,m,d,r,w,P,R,S,T
0,9.1,0.3,0.4,1.0,184537,572036,144284,89143
1,4.2,0.3,0.4,1.0,259500,470320,116505,143675
2,0.7,0.3,0.4,1.0,204128,531275,144681,109916
3,7.9,0.3,0.4,1.0,239758,503517,123768,122957
4,8.1,0.3,0.4,1.0,218747,528021,130172,113060
5,7.5,0.3,0.4,1.0,241709,507532,119556,121203
6,8.2,0.3,0.4,1.0,283343,450758,102714,153185
7,4.5,0.3,0.4,1.0,244293,500006,119540,126161
8,6.2,0.3,0.4,1.0,250882,496591,118062,124465
9,7.0,0.3,0.4,1.0,274192,469586,112527,133695
10,6.5,0.3,0.4,1.0,245941,497073,114764,132222
11,9.2,0.3,0.4,1.0,217933,532729,130898,108440
12,8.9,0.3,0.4,1.0,221120,512780,131214,124886
13,4.1,0.3,0.4,1.0,234519,504725,123452,127304
14,5.0,0.3,0.4,1.0,167654,569406,162917,90023
15,7.5,0.3,0.4,1.0,230886,487593,135129,136392
16,9.0,0.3,0.4,1.0,204797,521942,139178,124083
17,7.4,0.3,0.4,1.0,266257,452062,116837,154844
18,2.3,0.3,0.4,1.0,210130,547941,136005,95924
19,8.4,0.3,0.4,1.0,263647,496145,101066,129142
20,1.6,0.3,0.4,1.0,251718,475760,119552,142970
21,9.5,0.3,0.4,1.0,253431,500944,108807,126818
22,3.0,0.3,0.4,1.0,174961,564102,155305,95632
23,7.3,0.3,0.4,1.0,290520,435100,107388,156992
24,3.7,0.3,0.4,1.0,232599,511498,121833,124070
25,5.4,0.3,0.4,1.0,246285,470766,126817,146132
26,3.5,0.3,0.4,1.0,224140,500260,142104,123496
27,4.8,0.3,0.4,1.0,224623,498927,137162,129288
28,3.7,0.3,0.4,1.0,204561,552663,128717,104059
29,8.1,0.3,0.4,1.0,236106,489939,137426,126529
30,4.6,0.3,0.4,1.0,234498,519367,116494,119641
31,3.7,0.3,0.4,1.0,216389,521243,135802,116566
32,9.5,0.3,0.4,1.0,182997,574966,146112,85925
33,8.9,0.3,0.4,1.0,235572,506826,125454,122148
34,5.1,0.3,0.4,1.0,227801,495216,136358,130625
35,9.9,0.3,0.4,1.0,231423,527757,118122,112698
36,5.8,0.3,0.4,1.0,209233,540100,132128,108539
37,3.3,0.3,0.4,1.0,279976,444085,106767,159172
38,8.6,0.3,0.4,1.0,233638,520521,118369,117472
39,5.7,0.3,0.4,1.0,265195,478358,107254,139193
40,3.1,0.3,0.4,1.0,300412,411327,104155,174106
41,5.8,0.3,0.4,1.0,271407,459735,108742,150116
42,5.4,0.3,0.4,1.0,232554,516942,120768,119736
43,5.7,0.3,0.4,1.0,247602,492257,113394,136747
44,3.1,0.3,0.4,1.0,235233,514556,122091,118120
45,2.5,0.3,0.4,1.0,227149,514858,121111,126882
46,4.9,0.3,0.4,1.0,257627,488747,109022,134604
47,6.1,0.3,0.4,1.0,214826,519647,140201,115326
48,9.2,0.3,0.4,1.0,227427,510982,137528,114063
49,6.9,0.3,0.4,1.0,262719,488041,106710,132530
50,3.5,0.3,0.4,1.0,209364,523537,139847,117252
51,3.8,0.3,0.4,1.0,235766,508791,121720,123723
52,0.5,0.3,0.4,1.0,245143,496293,119299,129265
53,6.8,0.3,0.4,1.0,191031,549518,145529,103922
54,6.3,0.3,0.4,1.0,269558,457197,111209,152036
55,2.4,0.3,0.4,1.0,277232,469576,102805,140387
56,7.5,0.3,0.4,1.0,225563,531271,119904,113262
57,7.9,0.3,0.4,1.0,294932,439532,96714,158822
58,6.3,0.3,0.4,1.0,234762,508722,120504,126012
59,3.5,0.3,0.4,1.0,216093,505892,141835,126180
60,1.7,0.3,0.4,1.0,245147,473798,132277,138778
61,4.2,0.3,0.4,1.0,245719,501730,114810,127741
62,7.2,0.3,0.4,1.0,260261,475973,112544,141222
63,8.5,0.3,0.4,1.0,210275,507901,149511,122313
64,6.5,0.3,0.4,1.0,226904,521699,122565,118832
65,2.9,0.3,0.4,1.0,190359,529201,155882,114558
66,6.2,0.3,0.4,1.0,259470,453673,116422,160435
67,8.3,0.3,0.4,1.0,221096,529402,134476,105026
68,0.3,0.3,0.4,1.0,229676,504237,130271,125816
69,4.9,0.3,0.4,1.0,237988,503110,129770,119132
70,7.6,0.3,0.4,1.0,202691,519726,154066,113517
71,4.7,0.3,0.4,1.0,236554,494639,130717,128090
72,2.7,0.3,0.4,1.0,217654,509398,134970,127978
73,3.7,0.3,0.4,1.0,209778,522950,146693,110579
74,2.0,0.3,0.4,1.0,252641,499163,111872,126324
75,2.4,0.3,0.4,1.0,232369,536074,113057,108500
76,5.5,0.3,0.4,1.0,242510,487134,127263,133093
77,1.2,0.3,0.4,1.0,287190,426511,109056,167243
78,4.7,0.3,0.4,1.0,203932,548520,129594,107954
79,7.0,0.3,0.4,1.0,284871,442752,103897,158480
80,3.1,0.3,0.4,1.0,201462,528270,150907,109361
81,0.7,0.3,0.4,1.0,274565,451964,112014,151457
82,1.3,0.3,0.4,1.0,207075,525004,147064,110857
83,9.6,0.3,0.4,1.0,248454,477583,122119,141844
84,8.6,0.3,0.4,1.0,149646,580605,171499,88250
85,8.9,0.3,0.4,1.0,203925,541240,137056,107779
86,5.8,0.3,0.4,1.0,243708,512508,117569,116215
87,6.8,0.3,0.4,1.0,208133,532420,137213,112234
88,1.3,0.3,0.4,1.0,231998,500590,131986,125426
89,8.6,0.3,0.4,1.0,264758,455929,112085,157228
90,0.1,0.3,0.4,1.0,267611,467904,115127,139358
91,1.6,0.3,0.4,1.0,198850,520597,152083,118470
92,6.6,0.3,0.4,1.0,228423,512985,124659,123933
93,10.0,0.3,0.4,1.0,203478,539618,140323,106581
94,7.9,0.3,0.4,1.0,274919,461128,106987,146966
95,7.2,0.3,0.4,1.0,245633,520744,100532,123091
96,7.4,0.3,0.4,1.0,190650,548057,147867,103426
97,0.3,0.3,0.4,1.0,242291,519781,110145,117783
98,8.3,0.3,0.4,1.0,246092,494520,125787,123601
99,9.8,0.3,0.4,1.0,257749,477645,109395,145211
