S.D.,Counts
0.5,249
0.6,232
0.7,230
0.8,208
0.9,199
1.0,192
1.1,171
1.2,175
1.3,162
1.4,136
1.5,99
1.6,91
1.7,76
1.8,74
1.9,45
2.0,29
2.1,21
2.2,12
2.3,7
2.4,5
2.5,4
2.6,2
2.7,4
2.8,3
2.9,2
3.0,2
