S.D.,Counts,seed,tournament_type
0.5,256,128,pareto_mdr_max
0.6,258,128,pareto_mdr_max
0.7,235,128,pareto_mdr_max
0.8,223,128,pareto_mdr_max
0.9,217,128,pareto_mdr_max
1,208,128,pareto_mdr_max
1.1,177,128,pareto_mdr_max
1.2,171,128,pareto_mdr_max
1.3,153,128,pareto_mdr_max
1.4,149,128,pareto_mdr_max
1.5,137,128,pareto_mdr_max
1.6,118,128,pareto_mdr_max
1.7,96,128,pareto_mdr_max
1.8,74,128,pareto_mdr_max
1.9,40,128,pareto_mdr_max
2,33,128,pareto_mdr_max
2.1,28,128,pareto_mdr_max
2.2,14,128,pareto_mdr_max
2.3,11,128,pareto_mdr_max
2.4,4,128,pareto_mdr_max
2.5,2,128,pareto_mdr_max
2.6,0,128,pareto_mdr_max
2.7,0,128,pareto_mdr_max
2.8,0,128,pareto_mdr_max
2.9,0,128,pareto_mdr_max
3,0,128,pareto_mdr_max
