S.D.,Counts
0.5,238
0.6,217
0.7,199
0.8,196
0.9,194
1.0,188
1.1,169
1.2,151
1.3,123
1.4,112
1.5,95
1.6,70
1.7,64
1.8,54
1.9,40
2.0,43
2.1,23
2.2,24
2.3,14
2.4,7
2.5,5
2.6,3
2.7,3
2.8,0
2.9,0
3.0,0
