S.D.,Counts,seed,tournament_type
1.7,66,4,norm_dr_sd_max
1.8,61,4,norm_dr_sd_max
1.9,44,4,norm_dr_sd_max
2,39,4,norm_dr_sd_max
2.1,28,4,norm_dr_sd_max
2.2,19,4,norm_dr_sd_max
2.3,15,4,norm_dr_sd_max
2.4,15,4,norm_dr_sd_max
2.5,9,4,norm_dr_sd_max
2.6,8,4,norm_dr_sd_max
2.7,3,4,norm_dr_sd_max
2.8,4,4,norm_dr_sd_max
2.9,3,4,norm_dr_sd_max
3,2,4,norm_dr_sd_max
0.5,242,512,norm_dr_sd_max
0.6,246,512,norm_dr_sd_max
0.7,225,512,norm_dr_sd_max
0.8,201,512,norm_dr_sd_max
0.9,198,512,norm_dr_sd_max
1,167,512,norm_dr_sd_max
1.1,148,512,norm_dr_sd_max
1.2,152,512,norm_dr_sd_max
1.3,128,512,norm_dr_sd_max
1.4,106,512,norm_dr_sd_max
1.5,80,512,norm_dr_sd_max
1.6,75,512,norm_dr_sd_max
1.7,56,512,norm_dr_sd_max
1.8,39,512,norm_dr_sd_max
1.9,32,512,norm_dr_sd_max
2,25,512,norm_dr_sd_max
2.1,24,512,norm_dr_sd_max
2.2,19,512,norm_dr_sd_max
2.3,12,512,norm_dr_sd_max
2.4,12,512,norm_dr_sd_max
2.5,11,512,norm_dr_sd_max
2.6,8,512,norm_dr_sd_max
2.7,4,512,norm_dr_sd_max
2.8,2,512,norm_dr_sd_max
2.9,2,512,norm_dr_sd_max
3,2,512,norm_dr_sd_max
0.5,241,64,norm_dr_sd_max
0.6,241,64,norm_dr_sd_max
0.7,239,64,norm_dr_sd_max
0.8,216,64,norm_dr_sd_max
0.9,200,64,norm_dr_sd_max
1,183,64,norm_dr_sd_max
1.1,183,64,norm_dr_sd_max
1.2,200,64,norm_dr_sd_max
1.3,172,64,norm_dr_sd_max
1.4,155,64,norm_dr_sd_max
1.5,113,64,norm_dr_sd_max
1.6,99,64,norm_dr_sd_max
1.7,75,64,norm_dr_sd_max
1.8,61,64,norm_dr_sd_max
1.9,39,64,norm_dr_sd_max
2,25,64,norm_dr_sd_max
2.1,16,64,norm_dr_sd_max
2.2,13,64,norm_dr_sd_max
2.3,10,64,norm_dr_sd_max
2.4,7,64,norm_dr_sd_max
2.5,6,64,norm_dr_sd_max
2.6,6,64,norm_dr_sd_max
2.7,2,64,norm_dr_sd_max
2.8,0,64,norm_dr_sd_max
2.9,0,64,norm_dr_sd_max
3,0,64,norm_dr_sd_max
0.5,224,8,norm_dr_sd_max
0.6,231,8,norm_dr_sd_max
0.7,231,8,norm_dr_sd_max
0.8,206,8,norm_dr_sd_max
0.9,165,8,norm_dr_sd_max
1,194,8,norm_dr_sd_max
1.1,181,8,norm_dr_sd_max
1.2,160,8,norm_dr_sd_max
1.3,131,8,norm_dr_sd_max
1.4,116,8,norm_dr_sd_max
1.5,103,8,norm_dr_sd_max
1.6,88,8,norm_dr_sd_max
1.7,74,8,norm_dr_sd_max
1.8,42,8,norm_dr_sd_max
1.9,27,8,norm_dr_sd_max
2,21,8,norm_dr_sd_max
2.1,25,8,norm_dr_sd_max
2.2,28,8,norm_dr_sd_max
2.3,13,8,norm_dr_sd_max
2.4,11,8,norm_dr_sd_max
2.5,8,8,norm_dr_sd_max
2.6,8,8,norm_dr_sd_max
2.7,5,8,norm_dr_sd_max
2.8,3,8,norm_dr_sd_max
2.9,3,8,norm_dr_sd_max
3,1,8,norm_dr_sd_max
0.5,249,1024,norm_m_sd_max
0.6,228,1024,norm_m_sd_max
0.7,244,1024,norm_m_sd_max
0.8,235,1024,norm_m_sd_max
0.9,201,1024,norm_m_sd_max
1,177,1024,norm_m_sd_max
1.1,175,1024,norm_m_sd_max
1.2,160,1024,norm_m_sd_max
1.3,149,1024,norm_m_sd_max
1.4,113,1024,norm_m_sd_max
