,defect,tit_for_tat,generous_tit_for_tat,cooperate
0,23,25,25,27
1,22,26,25,27
2,22,26,25,27
3,22,26,25,27
4,23,26,24,27
5,23,26,24,27
6,23,26,23,28
7,23,26,23,28
8,23,25,23,29
9,24,24,23,29
10,24,24,23,29
11,24,24,22,30
12,24,24,22,30
13,24,24,22,30
14,25,24,22,29
15,25,25,22,28
16,24,26,22,28
17,24,26,21,29
18,25,26,20,29
19,25,25,21,29
20,26,24,21,29
21,27,23,21,29
22,27,22,22,29
23,27,22,22,29
24,27,22,22,29
25,27,22,22,29
26,26,23,22,29
27,26,23,22,29
28,26,22,23,29
29,26,22,23,29
30,26,21,23,30
31,25,21,23,31
32,25,21,23,31
33,25,20,23,32
34,24,21,23,32
35,24,21,23,32
36,25,21,22,32
37,25,21,22,32
38,25,21,23,31
39,25,21,24,30
40,25,20,24,31
41,26,20,24,30
42,26,19,24,31
43,26,20,23,31
44,25,20,23,32
45,26,20,22,32
46,26,21,21,32
47,27,20,21,32
48,27,20,20,33
49,27,20,20,33
50,27,19,21,33
51,28,19,20,33
52,28,20,20,32
53,29,20,19,32
54,29,21,19,31
55,28,22,19,31
56,28,22,19,31
57,28,22,19,31
58,29,21,19,31
59,28,21,20,31
60,28,21,20,31
61,29,21,19,31
62,30,21,19,30
63,29,21,20,30
64,29,22,19,30
65,29,22,19,30
66,29,23,19,29
67,30,23,18,29
68,30,22,18,30
69,30,23,17,30
70,30,22,18,30
71,29,22,19,30
72,29,21,20,30
73,29,21,20,30
74,29,21,20,30
75,29,20,20,31
76,28,21,20,31
77,28,20,20,32
78,28,20,20,32
79,27,21,20,32
80,27,20,20,33
81,27,19,20,34
82,27,19,20,34
83,27,18,21,34
84,27,18,22,33
85,28,18,21,33
86,28,17,21,34
87,28,18,21,33
88,28,18,20,34
89,28,18,21,33
90,29,18,21,32
91,29,18,21,32
92,29,18,21,32
93,30,17,21,32
94,29,17,22,32
95,29,17,22,32
96,29,17,21,33
97,30,17,20,33
98,30,17,20,33
99,31,17,20,32
100,32,17,20,31
101,32,17,21,30
102,31,17,21,31
103,31,17,20,32
104,30,17,20,33
105,31,17,20,32
106,32,16,20,32
107,31,17,20,32
108,32,17,20,31
109,32,17,20,31
110,33,17,20,30
111,33,18,20,29
112,33,18,20,29
113,34,18,20,28
114,33,18,21,28
115,33,17,21,29
116,33,17,21,29
117,34,17,21,28
118,34,17,21,28
119,34,17,21,28
120,34,17,22,27
121,33,18,22,27
122,34,17,22,27
123,34,17,21,28
124,35,16,21,28
125,35,16,20,29
126,35,16,20,29
127,35,16,20,29
128,35,15,20,30
129,35,15,19,31
130,36,15,19,30
131,35,15,19,31
132,35,15,19,31
133,35,15,18,32
134,35,14,18,33
135,35,14,18,33
136,35,14,18,33
137,35,15,18,32
138,34,15,19,32
139,33,16,19,32
140,33,16,19,32
141,33,16,19,32
142,33,17,18,32
143,34,17,17,32
144,33,17,17,33
145,34,16,17,33
146,35,16,16,33
147,35,16,16,33
148,35,16,16,33
149,35,16,17,32
150,35,16,18,31
151,35,16,18,31
152,36,16,17,31
153,36,16,17,31
154,35,16,18,31
155,35,17,18,30
156,35,17,19,29
157,35,17,19,29
158,34,18,19,29
159,35,18,18,29
160,35,18,18,29
161,35,18,18,29
162,36,17,18,29
163,37,16,18,29
164,36,16,19,29
165,36,17,19,28
166,35,17,20,28
167,35,17,20,28
168,35,18,20,27
169,34,18,21,27
170,33,18,22,27
171,33,18,22,27
172,33,18,23,26
173,34,18,23,25
174,33,19,23,25
175,32,20,23,25
176,33,20,23,24
177,33,20,23,24
178,34,20,22,24
179,34,20,21,25
180,34,20,21,25
181,34,20,20,26
182,35,20,19,26
183,36,20,18,26
184,36,20,18,26
185,36,20,18,26
186,36,20,18,26
187,36,20,18,26
188,36,20,18,26
189,37,20,17,26
190,37,20,16,27
191,36,20,17,27
192,35,20,17,28
193,34,20,17,29
194,34,20,16,30
195,34,20,17,29
196,34,21,17,28
197,34,22,16,28
198,34,22,16,28
199,35,21,16,28
200,35,21,16,28
201,35,22,16,27
202,35,21,16,28
203,36,20,16,28
204,36,21,16,27
205,37,21,16,26
206,36,21,16,27
