,m,d,r,w,P,R,S,T
0,5.0,0.1,0.88,1.0,377802,333384,114880,163934
1,5.0,0.24,0.02,1.0,291562,447776,139888,110774
2,5.0,0.03,0.32,1.0,366201,355263,113710,154826
3,5.0,0.45,0.74,1.0,334221,404096,126350,125333
4,5.0,0.32,0.83,1.0,312577,432683,130679,114061
5,5.0,0.31,0.58,1.0,346743,370752,127657,144848
6,5.0,0.84,0.43,1.0,324758,398746,130026,136470
7,5.0,0.91,0.83,1.0,342741,385681,128185,133393
8,5.0,0.48,0.41,1.0,350681,379943,124412,134964
9,5.0,0.07,0.26,1.0,380848,347877,100692,160583
10,5.0,0.97,0.6,1.0,305831,421660,143826,118683
11,5.0,0.75,0.49,1.0,356735,367600,117811,147854
12,5.0,0.34,0.16,1.0,317396,406880,138965,126759
13,5.0,0.64,0.81,1.0,310683,423174,132746,123397
14,5.0,0.05,0.47,1.0,300404,435114,137677,116805
15,5.0,0.22,0.24,1.0,318342,406261,140239,125158
16,5.0,0.13,0.66,1.0,349210,390558,123193,127039
17,5.0,0.39,0.79,1.0,324525,404753,128512,132210
18,5.0,0.73,0.54,1.0,335847,382964,138513,132676
19,5.0,0.44,0.23,1.0,287279,427007,149302,126412
20,5.0,0.71,0.26,1.0,310462,409045,155463,115030
21,5.0,0.84,0.68,1.0,354530,382024,121034,132412
22,5.0,0.02,0.18,1.0,354034,386402,113055,136509
23,5.0,0.81,0.65,1.0,392140,326993,99546,171321
24,5.0,0.45,0.91,1.0,342041,392156,123248,132555
25,5.0,0.32,0.52,1.0,362698,364138,120806,142358
26,5.0,0.88,0.14,1.0,330662,396235,136107,126996
27,5.0,0.96,0.02,1.0,301159,427888,147216,113737
28,5.0,0.54,0.69,1.0,352044,367514,132485,137957
29,5.0,0.18,0.96,1.0,317709,403935,134020,134336
30,5.0,0.26,0.71,1.0,312017,416587,142423,118973
31,5.0,0.65,0.8,1.0,377105,353197,109814,149884
32,5.0,0.4,0.79,1.0,273336,440176,165235,111253
33,5.0,0.2,0.03,1.0,374329,364893,105715,145063
34,5.0,0.4,0.08,1.0,318957,432183,126141,112719
35,5.0,0.72,0.05,1.0,341835,392778,125671,129716
36,5.0,0.34,0.77,1.0,274964,448087,162031,104918
37,5.0,0.51,0.3,1.0,347309,374098,132733,135860
38,5.0,0.26,0.5,1.0,338887,388237,122447,140429
39,5.0,0.64,0.16,1.0,343264,388646,130188,127902
40,5.0,0.34,0.26,1.0,328924,413884,128212,118980
41,5.0,0.95,0.35,1.0,278541,436966,158830,115663
42,5.0,0.76,0.46,1.0,342786,383330,126229,137655
43,5.0,0.39,0.33,1.0,392960,341900,109126,146014
44,5.0,0.47,0.6,1.0,373263,364207,115110,137420
45,5.0,0.7,0.13,1.0,338802,391173,127328,132697
46,5.0,0.3,0.9,1.0,295350,436216,141021,117413
47,5.0,0.3,0.56,1.0,351361,359420,136087,143132
48,5.0,0.53,0.85,1.0,300421,431345,143291,114943
49,5.0,0.14,0.29,1.0,303340,432508,145136,109016
50,5.0,0.1,0.6,1.0,312962,411119,143844,122075
51,5.0,0.54,0.97,1.0,333776,404685,124539,127000
52,5.0,0.47,0.49,1.0,341016,376390,134773,137821
53,5.0,0.2,0.59,1.0,252039,483337,166731,87893
54,5.0,0.82,0.89,1.0,343344,382168,131159,133329
55,5.0,0.18,0.43,1.0,325362,413458,125331,125849
56,5.0,0.98,0.7,1.0,338846,399563,123429,128162
57,5.0,0.09,0.74,1.0,387925,334419,116993,150663
