,defect,tit_for_tat,generous_tit_for_tat,cooperate
317,29,24,31,16
318,29,24,31,16
319,29,24,32,15
320,29,23,33,15
321,29,23,34,14
322,29,23,34,14
323,29,23,34,14
324,29,23,34,14
325,28,24,34,14
326,29,24,33,14
327,30,24,32,14
328,31,24,31,14
329,30,25,31,14
330,30,25,32,13
331,30,25,32,13
332,29,25,33,13
333,29,25,33,13
334,29,25,33,13
335,29,25,33,13
336,29,25,33,13
337,29,24,34,13
338,29,24,34,13
339,29,24,34,13
340,29,24,33,14
341,30,23,33,14
342,30,24,33,13
343,30,24,33,13
344,30,24,34,12
345,30,24,34,12
346,29,24,35,12
347,29,24,35,12
348,29,25,35,11
349,28,25,36,11
350,28,26,36,10
351,27,26,37,10
352,27,25,38,10
353,27,26,37,10
354,28,26,37,9
355,28,26,37,9
356,28,26,37,9
357,28,26,37,9
358,27,27,37,9
359,27,27,38,8
360,28,26,38,8
361,29,26,38,7
362,29,26,38,7
363,29,27,37,7
364,29,26,37,8
365,29,26,37,8
366,29,27,36,8
367,29,26,37,8
368,29,26,37,8
369,29,27,36,8
370,30,26,36,8
371,31,26,35,8
372,31,25,36,8
373,31,25,37,7
374,31,26,36,7
375,32,26,36,6
376,32,25,37,6
377,33,25,36,6
378,34,25,36,5
379,33,26,36,5
380,33,26,36,5
381,32,27,36,5
382,31,27,37,5
383,31,27,37,5
384,30,28,37,5
385,30,28,37,5
386,30,28,36,6
387,29,29,36,6
388,29,29,36,6
389,28,30,36,6
390,27,30,37,6
391,27,30,37,6
392,27,31,36,6
393,27,30,37,6
394,26,30,38,6
395,26,31,37,6
396,25,32,37,6
397,25,33,36,6
398,25,32,37,6
399,26,32,36,6
400,25,33,36,6
401,25,34,36,5
402,25,34,36,5
403,24,34,37,5
404,24,34,37,5
405,25,34,36,5
406,26,33,36,5
407,26,33,36,5
408,25,34,36,5
409,25,34,35,6
410,26,34,34,6
411,26,33,35,6
412,26,33,35,6
413,26,33,35,6
414,26,34,34,6
415,26,34,34,6
416,26,33,35,6
417,26,33,35,6
418,26,34,34,6
419,27,33,34,6
420,27,33,34,6
421,28,32,34,6
422,28,32,34,6
423,28,31,35,6
424,28,30,36,6
425,27,31,36,6
426,27,32,35,6
427,27,32,35,6
428,27,32,35,6
429,28,31,35,6
430,28,32,34,6
431,28,31,35,6
432,28,32,34,6
433,28,32,34,6
434,28,31,35,6
435,28,31,34,7
436,28,31,34,7
437,28,31,34,7
438,28,32,33,7
439,27,32,34,7
440,27,33,34,6
441,27,33,34,6
442,27,33,34,6
443,27,32,34,7
444,27,32,34,7
445,26,32,35,7
446,26,32,35,7
447,25,32,36,7
448,25,31,37,7
449,26,30,37,7
450,26,30,38,6
451,25,30,39,6
452,25,30,39,6
453,24,30,39,7
454,23,31,39,7
455,23,31,39,7
456,23,30,40,7
457,23,30,40,7
458,23,29,41,7
459,23,29,41,7
460,23,29,41,7
461,23,28,42,7
462,24,27,42,7
463,24,27,41,8
464,24,28,40,8
465,24,28,41,7
466,24,27,42,7
467,24,28,41,7
468,23,29,41,7
469,23,29,41,7
470,23,29,41,7
471,23,29,41,7
472,23,29,41,7
473,23,29,41,7
474,23,29,41,7
475,23,29,41,7
476,24,29,40,7
477,24,29,41,6
478,24,28,42,6
479,24,29,41,6
480,24,29,40,7
481,25,29,39,7
482,26,29,38,7
483,27,29,37,7
484,26,30,37,7
485,26,29,38,7
486,26,28,39,7
487,26,28,39,7
488,25,28,40,7
489,25,29,40,6
490,24,30,40,6
491,24,30,40,6
492,24,30,40,6
493,24,30,40,6
494,24,29,40,7
495,25,28,40,7
496,24,28,41,7
497,23,28,42,7
498,23,27,43,7
499,23,26,43,8
500,23,26,43,8
501,23,26,42,9
502,23,26,43,8
503,22,26,44,8
504,21,27,44,8
505,21,27,44,8
506,21,27,45,7
507,21,26,46,7
508,20,27,46,7
509,20,27,47,6
510,19,27,48,6
511,19,26,49,6
512,18,26,50,6
513,18,27,49,6
514,19,27,48,6
515,19,27,48,6
516,18,27,49,6
517,18,26,49,7
518,18,25,50,7
519,18,26,49,7
520,18,26,49,7
521,18,25,50,7
522,18,25,50,7
523,18,25,49,8
524,19,24,49,8
525,19,25,48,8
526,18,25,49,8
527,18,25,50,7
528,18,25,50,7
529,18,25,50,7
530,18,24,51,7
531,18,24,51,7
532,18,24,51,7
533,18,23,52,7
534,18,23,52,7
535,18,22,53,7
536,18,22,53,7
537,18,22,53,7
538,18,22,52,8
539,18,22,52,8
540,18,22,52,8
541,19,22,51,8
542,20,21,51,8
543,20,20,52,8
544,20,20,52,8
545,20,20,52,8
546,20,20,52,8
547,19,20,53,8
548,19,20,53,8
549,19,20,53,8
550,18,21,53,8
551,18,21,53,8
552,18,22,52,8
553,17,22,53,8
554,17,22,53,8
555,17,23,52,8
556,17,23,52,8
557,17,23,52,8
558,17,23,51,9
559,16,23,52,9
560,16,22,53,9
561,16,22,52,10
562,16,22,52,10
563,16,22,52,10
564,16,22,53,9
565,17,22,52,9
566,18,21,52,9
567,19,21,51,9
568,19,21,51,9
569,20,21,50,9
570,21,20,50,9
571,21,21,49,9
