,m,d,r,w,P,R,S,T
0,5.0,0.42,0.87,1.0,339903,412290,123395,114412
1,5.0,0.85,0.96,1.0,346429,415293,116729,111549
2,5.0,0.91,0.71,1.0,377654,376235,110535,125576
3,5.0,0.66,0.78,1.0,404025,349348,102143,134484
4,5.0,0.17,0.98,1.0,344117,403914,125878,116091
5,5.0,0.42,0.92,1.0,400203,349792,111182,128823
6,5.0,0.26,0.22,1.0,285719,470224,147339,86718
7,5.0,0.15,0.44,1.0,380180,368726,117362,123732
8,5.0,0.91,0.01,1.0,308018,421305,150863,109814
9,5.0,0.21,0.03,1.0,388982,359887,110795,130336
10,5.0,0.83,0.81,1.0,331574,435431,114929,108066
11,5.0,0.4,0.9,1.0,379837,367693,111698,130772
12,5.0,0.67,0.42,1.0,383308,366387,114603,125702
13,5.0,0.2,0.38,1.0,360313,405516,110289,113882
14,5.0,0.54,0.15,1.0,344164,394575,127019,124242
15,5.0,0.68,0.26,1.0,437304,306405,100098,146193
16,5.0,0.47,0.72,1.0,361968,393784,115478,118770
17,5.0,0.41,0.96,1.0,399681,338769,115227,136323
18,5.0,0.41,0.54,1.0,359086,397605,119187,114122
19,5.0,0.86,0.84,1.0,398354,373950,97257,120439
20,5.0,0.77,0.07,1.0,333713,419205,125475,111607
21,5.0,0.44,0.06,1.0,394546,361052,106936,127466
22,5.0,0.79,0.6,1.0,322419,413583,136980,117018
23,5.0,0.7,0.73,1.0,378274,379160,109327,123239
24,5.0,0.21,0.39,1.0,370316,366793,125781,127110
25,5.0,0.51,0.26,1.0,325314,426345,129148,109193
26,5.0,0.07,0.27,1.0,332834,413190,127613,116363
27,5.0,0.1,0.77,1.0,394283,358164,107999,129554
28,5.0,0.7,0.35,1.0,318117,436479,132465,102939
29,5.0,0.06,0.37,1.0,365534,393702,113493,117271
30,5.0,0.81,0.88,1.0,382632,367535,107474,132359
31,5.0,0.38,0.71,1.0,323665,422078,124486,119771
32,5.0,0.77,0.91,1.0,360295,399168,113218,117319
33,5.0,0.26,0.87,1.0,368301,390282,116522,114895
34,5.0,0.99,0.67,1.0,419641,330518,104172,135669
35,5.0,0.88,0.2,1.0,351465,399844,124118,114573
36,5.0,0.9,0.18,1.0,337531,408632,126652,117185
37,5.0,0.95,0.83,1.0,413444,337983,99455,139118
38,5.0,0.48,0.69,1.0,349219,405253,118924,116604
39,5.0,0.43,0.26,1.0,309739,443188,137620,99453
40,5.0,0.31,0.83,1.0,385941,371147,105991,126921
