S.D.,Counts,seed,tournament_type
0.5,287,512,norm_mdr_sd_min
0.6,272,512,norm_mdr_sd_min
0.7,243,512,norm_mdr_sd_min
0.8,201,512,norm_mdr_sd_min
0.9,168,512,norm_mdr_sd_min
1,169,512,norm_mdr_sd_min
1.1,166,512,norm_mdr_sd_min
1.2,164,512,norm_mdr_sd_min
1.3,150,512,norm_mdr_sd_min
1.4,134,512,norm_mdr_sd_min
1.5,110,512,norm_mdr_sd_min
1.6,88,512,norm_mdr_sd_min
1.7,67,512,norm_mdr_sd_min
1.8,51,512,norm_mdr_sd_min
1.9,44,512,norm_mdr_sd_min
2,36,512,norm_mdr_sd_min
2.1,26,512,norm_mdr_sd_min
2.2,21,512,norm_mdr_sd_min
2.3,9,512,norm_mdr_sd_min
2.4,7,512,norm_mdr_sd_min
2.5,7,512,norm_mdr_sd_min
2.6,4,512,norm_mdr_sd_min
2.7,8,512,norm_mdr_sd_min
2.8,7,512,norm_mdr_sd_min
2.9,6,512,norm_mdr_sd_min
3,7,512,norm_mdr_sd_min
