S.D.,Counts
0.5,228
0.6,223
0.7,229
0.8,217
0.9,222
1.0,197
1.1,192
1.2,157
1.3,125
1.4,103
1.5,77
1.6,73
1.7,64
1.8,50
1.9,42
2.0,27
2.1,10
2.2,12
2.3,8
2.4,11
2.5,14
2.6,13
2.7,8
2.8,2
2.9,0
3.0,0
