S.D.,Counts
0.5,796
0.6,896
0.7,848
0.8,788
0.9,820
1.0,755
1.1,668
1.2,643
1.3,569
1.4,450
1.5,342
1.6,266
1.7,248
1.8,206
1.9,167
2.0,144
2.1,108
2.2,77
2.3,57
2.4,31
2.5,14
2.6,4
2.7,0
2.8,0
2.9,0
3.0,0
