S.D.,Counts
0.5,298
0.6,253
0.7,225
0.8,217
0.9,208
1.0,185
1.1,164
1.2,162
1.3,124
1.4,108
1.5,97
1.6,88
1.7,79
1.8,81
1.9,67
2.0,48
2.1,34
2.2,26
2.3,21
2.4,13
2.5,9
2.6,4
2.7,1
2.8,0
2.9,0
3.0,0
