,m,d,r,w,R,S,T,P
0,5,0.4,0.3,0,523207,136176,100965,229652
1,5,0.4,0.3,0,496666,141261,117114,234959
2,5,0.4,0.3,0,422423,111295,158922,297360
3,5,0.4,0.3,0,422039,122066,153677,292218
4,5,0.4,0.3,0,439194,109064,149810,291932
5,5,0.4,0.3,0,546910,172781,94350,175959
6,5,0.4,0.3,0,458901,125415,137620,268064
7,5,0.4,0.3,0,502802,163655,107714,215829
8,5,0.4,0.3,0,422177,113174,156392,298257
9,5,0.4,0.3,0,444815,130358,144603,270224
10,5,0.4,0.3,0,422025,133821,152793,281361
11,5,0.4,0.3,0,519189,163773,105554,201484
12,5,0.4,0.3,0,432855,132213,146655,278277
13,5,0.4,0.3,0,460966,122000,133230,273804
14,5,0.4,0.3,0,473865,139348,123650,253137
15,5,0.4,0.3,0,462604,138174,133155,256067
16,5,0.4,0.3,0,435766,136515,144771,272948
17,5,0.4,0.3,0,424517,121669,147462,296352
18,5,0.4,0.3,0,397948,115272,166297,310483
19,5,0.4,0.3,0,447114,108770,143174,290942
20,5,0.4,0.3,0,450431,121833,141801,275935
21,5,0.4,0.3,0,455119,127422,135599,271860
22,5,0.4,0.3,0,460052,143251,134021,252676
23,5,0.4,0.3,0,470293,128729,126497,264481
24,5,0.4,0.3,0,521473,146287,104007,218233
25,5,0.4,0.3,0,508610,154213,109189,217988
26,5,0.4,0.3,0,509639,142258,116696,221407
27,5,0.4,0.3,0,490804,153051,113220,232925
28,5,0.4,0.3,0,512003,159096,108590,210311
29,5,0.4,0.3,0,526496,150741,101753,211010
30,5,0.4,0.3,0,463701,136312,134998,254989
31,5,0.4,0.3,0,457854,124536,135458,272152
32,5,0.4,0.3,0,482033,124913,121301,261753
33,5,0.4,0.3,0,501864,151715,110885,225536
34,5,0.4,0.3,0,485884,130536,122440,251140
35,5,0.4,0.3,0,435144,112906,153094,288856
36,5,0.4,0.3,0,405300,120175,161498,303027
37,5,0.4,0.3,0,492212,139067,114544,244177
38,5,0.4,0.3,0,454697,121520,134783,279000
39,5,0.4,0.3,0,446008,121461,139000,283531
40,5,0.4,0.3,0,486306,122765,123997,256932
41,5,0.4,0.3,0,467246,133198,126543,263013
42,5,0.4,0.3,0,438536,123686,140799,286979
43,5,0.4,0.3,0,434104,143002,145503,267391
44,5,0.4,0.3,0,440798,114862,145372,288968
45,5,0.4,0.3,0,451431,120079,145541,272949
46,5,0.4,0.3,0,536996,159363,97357,196284
47,5,0.4,0.3,0,515934,165768,108023,200275
48,5,0.4,0.3,0,449146,128814,140817,271223
49,5,0.4,0.3,0,502326,137152,118058,232464
50,5,0.4,0.3,0,441872,135589,144538,268001
51,5,0.4,0.3,0,465668,140271,136897,247164
52,5,0.4,0.3,0,438643,134995,151102,265260
53,5,0.4,0.3,0,478434,138319,128891,244356
54,5,0.4,0.3,0,472695,134402,126131,256772
55,5,0.4,0.3,0,486752,132266,122980,248002
56,5,0.4,0.3,0,463515,124027,128998,273460
57,5,0.4,0.3,0,499529,152930,116464,221077
58,5,0.4,0.3,0,477796,138673,118889,254642
59,5,0.4,0.3,0,428153,116310,154818,290719
60,5,0.4,0.3,0,429066,117892,146835,296207
61,5,0.4,0.3,0,466717,125926,132404,264953
62,5,0.4,0.3,0,437410,130095,143479,279016
63,5,0.4,0.3,0,495851,135009,115382,243758
64,5,0.4,0.3,0,429230,113904,153885,292981
65,5,0.4,0.3,0,379518,112665,170509,327308
66,5,0.4,0.3,0,429899,123481,149920,286700
67,5,0.4,0.3,0,544534,155732,94872,194862
68,5,0.4,0.3,0,424876,139720,144612,280792
69,5,0.4,0.3,0,483369,134502,123963,248166
70,5,0.4,0.3,0,487015,149564,115598,237823
71,5,0.4,0.3,0,444237,126809,146285,272669
72,5,0.4,0.3,0,431585,118413,158199,281803
73,5,0.4,0.3,0,340349,104839,189716,355096
74,5,0.4,0.3,0,442373,129349,137763,280515
75,5,0.4,0.3,0,439838,114035,148946,287181
76,5,0.4,0.3,0,484763,141335,123664,240238
77,5,0.4,0.3,0,467700,133928,132502,255870
78,5,0.4,0.3,0,464452,126646,134415,264487
79,5,0.4,0.3,0,493465,136626,119336,240573
80,5,0.4,0.3,0,483270,134347,123385,248998
81,5,0.4,0.3,0,486696,117502,120653,265149
82,5,0.4,0.3,0,521176,147942,106027,214855
83,5,0.4,0.3,0,417968,125933,156735,289364
84,5,0.4,0.3,0,466283,124377,129138,270202
85,5,0.4,0.3,0,526293,154910,98328,210469
86,5,0.4,0.3,0,515798,163097,105567,205538
87,5,0.4,0.3,0,424503,118884,156432,290181
88,5,0.4,0.3,0,440527,120455,141528,287490
89,5,0.4,0.3,0,434190,134858,149850,271102
90,5,0.4,0.3,0,473550,127226,125899,263325
91,5,0.4,0.3,0,497449,124291,119661,248599
92,5,0.4,0.3,0,507124,158601,113885,210390
93,5,0.4,0.3,0,478820,120686,127232,263262
94,5,0.4,0.3,0,426497,120205,149071,294227
95,5,0.4,0.3,0,405439,127703,162755,294103
96,5,0.4,0.3,0,420563,124423,148819,296195
97,5,0.4,0.3,0,471036,136613,127693,254658
98,5,0.4,0.3,0,416551,123104,160002,290343
99,5,0.4,0.3,0,520380,152358,107333,209929
