,m,d,r,w,R,S,T,P
0,5,0.4,0.3,0,381122,145480,150035,313363
1,5,0.4,0.3,0,403625,151041,138397,296937
2,5,0.4,0.3,0,381714,153173,150721,304392
3,5,0.4,0.3,0,379471,127887,150279,332363
4,5,0.4,0.3,0,320639,123300,186169,359892
5,5,0.4,0.3,0,305470,114217,197781,372532
6,5,0.4,0.3,0,384784,147796,145368,312052
7,5,0.4,0.3,0,419188,148527,125208,297077
8,5,0.4,0.3,0,458390,172966,103195,255449
9,5,0.4,0.3,0,384658,139144,146483,319715
10,5,0.4,0.3,0,381820,147937,154854,305389
11,5,0.4,0.3,0,368430,166075,158318,297177
12,5,0.4,0.3,0,376797,148351,164081,300771
13,5,0.4,0.3,0,373085,128063,159291,329561
14,5,0.4,0.3,0,438779,181636,117670,251915
15,5,0.4,0.3,0,411491,145122,134961,298426
16,5,0.4,0.3,0,436765,142839,119869,290527
17,5,0.4,0.3,0,444201,176621,113322,255856
18,5,0.4,0.3,0,403260,156615,143114,287011
19,5,0.4,0.3,0,350418,119683,166599,353300
20,5,0.4,0.3,0,305235,114647,197175,372943
21,5,0.4,0.3,0,440605,180286,113315,255794
22,5,0.4,0.3,0,391003,147821,149695,301481
23,5,0.4,0.3,0,432569,184814,120849,251768
24,5,0.4,0.3,0,335595,129024,183437,341944
25,5,0.4,0.3,0,339033,117864,176863,356240
26,5,0.4,0.3,0,384295,132571,146431,326703
27,5,0.4,0.3,0,317347,111276,188494,372883
28,5,0.4,0.3,0,473916,200974,96608,218502
29,5,0.4,0.3,0,453456,171899,106994,257651
30,5,0.4,0.3,0,386446,130851,146354,326349
31,5,0.4,0.3,0,421613,170409,126540,271438
32,5,0.4,0.3,0,394232,149580,145231,300957
33,5,0.4,0.3,0,382433,131259,149251,327057
34,5,0.4,0.3,0,416516,143811,133367,296306
35,5,0.4,0.3,0,468556,178149,98616,244679
36,5,0.4,0.3,0,447958,200179,114888,226975
37,5,0.4,0.3,0,339337,154719,181134,314810
38,5,0.4,0.3,0,410172,148024,135906,295898
39,5,0.4,0.3,0,402228,147569,138907,301296
40,5,0.4,0.3,0,377818,121581,152042,338559
41,5,0.4,0.3,0,395440,144323,141385,308852
42,5,0.4,0.3,0,389760,140983,150309,308948
43,5,0.4,0.3,0,324144,141388,184849,339619
44,5,0.4,0.3,0,317085,117071,192251,363593
45,5,0.4,0.3,0,402462,152761,133826,300951
46,5,0.4,0.3,0,397907,129527,139107,323459
47,5,0.4,0.3,0,402987,155256,138134,293623
48,5,0.4,0.3,0,362895,114206,160854,352045
49,5,0.4,0.3,0,341724,120521,173741,354014
50,5,0.4,0.3,0,343091,137397,170306,339206
51,5,0.4,0.3,0,336488,116038,176446,361028
52,5,0.4,0.3,0,448165,172503,111820,257512
53,5,0.4,0.3,0,370886,147265,161503,310346
54,5,0.4,0.3,0,341934,131143,173103,343820
55,5,0.4,0.3,0,361829,112392,163105,352674
56,5,0.4,0.3,0,312171,109582,197398,370849
57,5,0.4,0.3,0,407362,149630,134718,298290
58,5,0.4,0.3,0,373150,148083,152571,316196
59,5,0.4,0.3,0,390225,160465,144677,294633
60,5,0.4,0.3,0,401158,151480,141771,295591
61,5,0.4,0.3,0,406882,161108,135851,286159
62,5,0.4,0.3,0,422196,163120,131817,272867
63,5,0.4,0.3,0,450516,178273,106514,254697
64,5,0.4,0.3,0,384058,145791,147806,312345
65,5,0.4,0.3,0,412795,135717,133847,307641
66,5,0.4,0.3,0,367234,130463,160419,331884
67,5,0.4,0.3,0,422462,157305,127152,283081
68,5,0.4,0.3,0,419800,161876,126655,281669
69,5,0.4,0.3,0,418097,166779,128499,276625
70,5,0.4,0.3,0,396185,166237,152169,275409
71,5,0.4,0.3,0,291198,98740,205308,394754
72,5,0.4,0.3,0,446909,183796,117811,241484
73,5,0.4,0.3,0,413022,188767,136879,251332
74,5,0.4,0.3,0,406770,156647,138780,287803
75,5,0.4,0.3,0,418096,166137,127218,278549
76,5,0.4,0.3,0,388399,145396,147909,308296
77,5,0.4,0.3,0,390343,165086,146823,287748
78,5,0.4,0.3,0,403859,146931,139337,299873
79,5,0.4,0.3,0,432633,127449,116487,313431
80,5,0.4,0.3,0,386983,156269,148508,298240
81,5,0.4,0.3,0,396073,143362,150331,300234
82,5,0.4,0.3,0,328793,134775,187819,338613
83,5,0.4,0.3,0,397922,154027,145568,292483
84,5,0.4,0.3,0,374240,148593,160319,306848
85,5,0.4,0.3,0,333661,132099,178561,345679
86,5,0.4,0.3,0,399140,149957,145127,295776
87,5,0.4,0.3,0,374554,131645,158943,324858
88,5,0.4,0.3,0,341979,121089,178324,348608
89,5,0.4,0.3,0,384247,145080,148055,312618
90,5,0.4,0.3,0,367850,123619,159177,339354
91,5,0.4,0.3,0,438770,151529,118973,280728
92,5,0.4,0.3,0,392269,160922,142366,294443
93,5,0.4,0.3,0,414692,160773,136841,277694
94,5,0.4,0.3,0,393258,143167,147631,305944
95,5,0.4,0.3,0,418708,170420,127200,273672
96,5,0.4,0.3,0,354632,145446,169095,320827
97,5,0.4,0.3,0,379245,160095,154555,296105
98,5,0.4,0.3,0,399558,146581,145519,298342
99,5,0.4,0.3,0,402663,159076,140057,288204
