,defect,tit_for_tat,generous_tit_for_tat,cooperate
317,31,35,20,14
318,32,34,20,14
319,32,34,20,14
320,33,34,20,13
321,32,34,20,14
322,32,35,20,13
323,32,34,21,13
324,32,34,21,13
325,32,33,21,14
326,33,32,21,14
327,32,33,21,14
328,33,33,21,13
329,33,33,21,13
330,33,33,21,13
331,32,34,21,13
332,32,33,22,13
333,32,33,22,13
334,31,34,22,13
335,31,34,22,13
336,31,34,22,13
337,30,35,22,13
338,30,35,22,13
339,29,35,22,14
340,29,34,23,14
341,29,34,23,14
342,29,34,23,14
343,29,34,23,14
344,29,34,23,14
345,29,34,23,14
346,30,33,23,14
347,31,33,22,14
348,32,33,22,13
349,32,32,23,13
350,33,32,23,12
351,33,33,22,12
352,33,34,22,11
353,32,35,22,11
354,33,35,22,10
355,32,36,22,10
356,32,35,23,10
357,33,35,22,10
358,33,36,22,9
359,33,35,23,9
360,34,35,22,9
361,34,35,22,9
362,34,36,22,8
363,34,35,22,9
364,33,35,23,9
365,33,35,22,10
366,32,36,22,10
367,31,37,22,10
368,32,36,22,10
369,31,37,22,10
370,31,36,22,11
371,32,36,22,10
372,31,37,22,10
373,31,36,23,10
374,31,36,24,9
375,31,37,23,9
376,30,38,23,9
377,31,37,23,9
378,31,37,23,9
379,31,36,24,9
380,31,36,24,9
381,30,37,24,9
382,30,37,24,9
383,30,37,23,10
384,29,38,23,10
385,29,38,23,10
386,29,39,22,10
387,30,39,21,10
388,29,39,22,10
389,28,40,22,10
390,27,40,23,10
391,27,40,23,10
392,27,40,23,10
393,26,40,24,10
394,27,39,24,10
395,27,40,23,10
396,27,41,22,10
397,27,40,23,10
398,28,40,22,10
399,28,40,22,10
400,28,40,22,10
401,28,39,22,11
402,27,40,22,11
403,28,40,21,11
404,28,39,21,12
405,27,40,21,12
406,26,41,21,12
407,26,41,21,12
408,27,40,21,12
409,26,40,22,12
410,26,39,22,13
411,25,40,22,13
412,25,40,22,13
413,24,40,22,14
414,24,41,22,13
415,24,41,21,14
416,24,42,20,14
417,24,42,20,14
418,24,42,20,14
419,24,41,20,15
420,23,42,20,15
421,23,42,20,15
422,23,43,19,15
423,23,42,19,16
424,23,42,18,17
425,23,41,19,17
426,23,40,20,17
427,23,40,20,17
428,22,40,21,17
429,22,40,21,17
430,21,41,21,17
431,21,41,21,17
432,22,40,21,17
433,23,40,20,17
434,22,41,20,17
435,22,41,20,17
436,22,40,21,17
437,23,39,21,17
438,22,40,21,17
439,23,39,21,17
440,24,38,21,17
441,24,38,21,17
442,24,37,22,17
443,24,36,22,18
444,25,36,22,17
445,25,35,22,18
446,25,36,22,17
447,24,36,22,18
448,25,36,21,18
449,26,36,20,18
450,26,37,19,18
451,26,37,19,18
452,26,37,19,18
453,25,37,19,19
454,26,37,18,19
455,26,37,18,19
456,26,37,18,19
457,26,37,18,19
458,26,37,18,19
459,26,38,17,19
460,26,38,17,19
461,26,39,17,18
462,26,38,18,18
463,25,38,18,19
464,25,38,18,19
465,25,38,18,19
466,25,38,18,19
467,24,38,18,20
468,24,38,18,20
469,25,38,17,20
470,25,39,16,20
471,25,39,16,20
472,25,39,16,20
473,25,40,16,19
474,26,39,16,19
475,26,39,16,19
476,26,39,16,19
477,26,39,16,19
478,26,39,17,18
479,26,39,17,18
480,27,38,17,18
481,27,39,16,18
482,27,39,16,18
483,26,39,16,19
484,27,39,15,19
485,27,38,16,19
486,27,37,16,20
487,27,36,16,21
488,27,36,16,21
489,27,36,17,20
490,27,36,17,20
491,27,36,17,20
492,28,35,17,20
493,27,36,17,20
494,27,35,18,20
495,26,36,18,20
496,26,36,19,19
497,26,36,19,19
498,26,37,19,18
499,26,37,19,18
500,25,37,20,18
501,25,37,20,18
502,25,36,20,19
503,26,35,20,19
504,25,36,20,19
505,26,35,20,19
506,25,35,20,20
507,25,35,20,20
508,25,34,21,20
509,24,35,21,20
510,23,35,22,20
511,23,35,22,20
512,23,34,23,20
513,22,34,23,21
514,21,35,23,21
515,20,35,23,22
516,20,36,23,21
517,20,36,23,21
518,20,36,23,21
519,20,35,23,22
520,20,35,24,21
521,20,35,24,21
522,20,34,24,22
523,20,35,24,21
524,21,35,23,21
525,20,36,23,21
526,19,36,24,21
527,20,36,24,20
528,20,36,24,20
529,20,37,24,19
530,20,38,24,18
531,20,37,24,19
532,21,37,23,19
533,21,36,23,20
534,22,36,22,20
535,22,35,23,20
536,22,35,23,20
537,22,36,22,20
538,22,36,22,20
539,22,35,23,20
540,23,34,23,20
541,22,35,23,20
542,23,34,23,20
543,23,35,23,19
544,24,35,22,19
545,24,35,22,19
546,24,34,23,19
547,25,33,23,19
548,24,34,23,19
549,24,33,23,20
550,24,33,23,20
551,24,33,23,20
552,24,32,24,20
553,24,31,25,20
554,25,30,25,20
555,24,31,25,20
556,24,30,26,20
557,24,30,26,20
558,24,31,26,19
559,24,31,26,19
560,24,30,27,19
561,24,30,27,19
562,24,30,26,20
563,24,30,26,20
564,24,30,25,21
565,24,31,24,21
566,25,30,24,21
567,25,30,23,22
568,25,30,24,21
569,25,29,24,22
570,25,30,23,22
571,25,29,24,22
572,24,29,24,23
573,23,29,24,24
574,23,28,25,24
575,23,28,25,24
576,22,28,26,24
577,23,28,25,24
578,23,28,25,24
579,23,28,26,23
580,22,29,26,23
581,22,30,25,23
582,22,29,26,23
583,22,29,27,22
584,23,29,27,21
585,23,28,27,22
586,22,28,28,22
587,23,28,28,21
588,23,29,28,20
589,24,29,27,20
590,23,29,28,20
591,23,30,27,20
592,23,30,27,20
593,24,30,26,20
594,24,30,26,20
595,25,29,26,20
596,25,29,26,20
597,24,30,26,20
598,24,30,25,21
599,24,30,24,22
600,24,30,23,23
601,24,31,23,22
602,24,31,23,22
603,24,31,23,22
604,25,31,22,22
605,25,31,22,22
606,26,30,22,22
607,25,30,23,22
608,24,30,24,22
609,24,30,23,23
610,24,30,23,23
611,23,31,23,23
612,23,32,22,23
613,23,31,22,24
614,23,32,22,23
615,22,32,22,24
616,21,32,23,24
617,20,33,23,24
618,20,32,24,24
619,19,32,24,25
620,18,33,24,25
621,17,34,24,25
622,17,34,24,25
623,18,33,24,25
624,18,33,24,25
625,18,33,24,25
626,19,33,23,25
627,19,33,23,25
