S.D.,Counts
0.5,206
0.6,192
0.7,184
0.8,175
0.9,155
1.0,142
1.1,156
1.2,133
1.3,140
1.4,146
1.5,121
1.6,76
1.7,55
1.8,46
1.9,34
2.0,27
2.1,19
2.2,11
2.3,8
2.4,5
2.5,3
2.6,0
2.7,0
2.8,0
2.9,0
3.0,0
