S.D.,Counts,seed,tournament_type
0.5,270,2,pareto_dr_min
0.6,255,2,pareto_dr_min
0.7,259,2,pareto_dr_min
0.8,234,2,pareto_dr_min
0.9,225,2,pareto_dr_min
1,202,2,pareto_dr_min
1.1,187,2,pareto_dr_min
1.2,158,2,pareto_dr_min
1.3,126,2,pareto_dr_min
1.4,104,2,pareto_dr_min
1.5,99,2,pareto_dr_min
1.6,82,2,pareto_dr_min
1.7,50,2,pareto_dr_min
1.8,48,2,pareto_dr_min
1.9,45,2,pareto_dr_min
2,33,2,pareto_dr_min
2.1,40,2,pareto_dr_min
2.2,25,2,pareto_dr_min
2.3,19,2,pareto_dr_min
2.4,10,2,pareto_dr_min
2.5,10,2,pareto_dr_min
2.6,7,2,pareto_dr_min
2.7,5,2,pareto_dr_min
2.8,1,2,pareto_dr_min
2.9,0,2,pareto_dr_min
3,0,2,pareto_dr_min
