S.D.,Counts
0.5,259
0.6,256
0.7,249
0.8,220
0.9,216
1.0,198
1.1,184
1.2,159
1.3,141
1.4,130
1.5,97
1.6,91
1.7,75
1.8,53
1.9,34
2.0,25
2.1,17
2.2,11
2.3,6
2.4,6
2.5,11
2.6,10
2.7,5
2.8,3
2.9,1
3.0,0
