S.D.,Counts,seed,tournament_type
0.5,259,64,pareto_dr_min
0.6,256,64,pareto_dr_min
0.7,249,64,pareto_dr_min
0.8,220,64,pareto_dr_min
0.9,216,64,pareto_dr_min
1,198,64,pareto_dr_min
1.1,184,64,pareto_dr_min
1.2,159,64,pareto_dr_min
1.3,141,64,pareto_dr_min
1.4,130,64,pareto_dr_min
1.5,97,64,pareto_dr_min
1.6,91,64,pareto_dr_min
1.7,75,64,pareto_dr_min
1.8,53,64,pareto_dr_min
1.9,34,64,pareto_dr_min
2,25,64,pareto_dr_min
2.1,17,64,pareto_dr_min
2.2,11,64,pareto_dr_min
2.3,6,64,pareto_dr_min
2.4,6,64,pareto_dr_min
2.5,11,64,pareto_dr_min
2.6,10,64,pareto_dr_min
2.7,5,64,pareto_dr_min
2.8,3,64,pareto_dr_min
2.9,1,64,pareto_dr_min
3,0,64,pareto_dr_min
