S.D.,Counts
0.5,249
0.6,228
0.7,221
0.8,206
0.9,196
1.0,176
1.1,151
1.2,139
1.3,123
1.4,114
1.5,88
1.6,82
1.7,79
1.8,58
1.9,46
2.0,34
2.1,25
2.2,17
2.3,13
2.4,9
2.5,6
2.6,1
2.7,0
2.8,0
2.9,0
3.0,0
