S.D.,Counts
0.5,304
0.6,295
0.7,262
0.8,212
0.9,205
1.0,187
1.1,146
1.2,120
1.3,120
1.4,105
1.5,103
1.6,88
1.7,80
1.8,66
1.9,59
2.0,41
2.1,30
2.2,25
2.3,16
2.4,8
2.5,3
2.6,2
2.7,2
2.8,4
2.9,3
3.0,2
