S.D.,Counts
0.5,254
0.6,242
0.7,234
0.8,200
0.9,186
1.0,164
1.1,157
1.2,137
1.3,117
1.4,103
1.5,98
1.6,87
1.7,69
1.8,50
1.9,50
2.0,29
2.1,23
2.2,13
2.3,11
2.4,5
2.5,4
2.6,2
2.7,6
2.8,0
2.9,0
3.0,0
