S.D.,Counts,seed,tournament_type
0.5,273,256,pareto_mdr_min
0.6,272,256,pareto_mdr_min
0.7,268,256,pareto_mdr_min
0.8,260,256,pareto_mdr_min
0.9,234,256,pareto_mdr_min
1,230,256,pareto_mdr_min
1.1,244,256,pareto_mdr_min
1.2,196,256,pareto_mdr_min
1.3,164,256,pareto_mdr_min
1.4,142,256,pareto_mdr_min
1.5,110,256,pareto_mdr_min
1.6,93,256,pareto_mdr_min
1.7,70,256,pareto_mdr_min
1.8,74,256,pareto_mdr_min
1.9,46,256,pareto_mdr_min
2,34,256,pareto_mdr_min
2.1,28,256,pareto_mdr_min
2.2,15,256,pareto_mdr_min
2.3,15,256,pareto_mdr_min
2.4,6,256,pareto_mdr_min
2.5,10,256,pareto_mdr_min
2.6,4,256,pareto_mdr_min
2.7,2,256,pareto_mdr_min
2.8,3,256,pareto_mdr_min
2.9,1,256,pareto_mdr_min
3,1,256,pareto_mdr_min
