S.D.,Counts
0.5,249
0.6,234
0.7,229
0.8,201
0.9,201
1.0,182
1.1,194
1.2,189
1.3,161
1.4,123
1.5,94
1.6,83
1.7,65
1.8,58
1.9,50
2.0,46
2.1,29
2.2,19
2.3,4
2.4,1
2.5,0
2.6,0
2.7,0
2.8,0
2.9,0
3.0,0
