S.D.,Counts,seed,tournament_type
0.5,269,1024,norm_dr_sd_min
0.6,244,1024,norm_dr_sd_min
0.7,225,1024,norm_dr_sd_min
0.8,216,1024,norm_dr_sd_min
0.9,211,1024,norm_dr_sd_min
1,195,1024,norm_dr_sd_min
1.1,183,1024,norm_dr_sd_min
1.2,173,1024,norm_dr_sd_min
1.3,151,1024,norm_dr_sd_min
1.4,117,1024,norm_dr_sd_min
1.5,109,1024,norm_dr_sd_min
1.6,80,1024,norm_dr_sd_min
1.7,74,1024,norm_dr_sd_min
1.8,52,1024,norm_dr_sd_min
1.9,46,1024,norm_dr_sd_min
2,41,1024,norm_dr_sd_min
2.1,26,1024,norm_dr_sd_min
2.2,31,1024,norm_dr_sd_min
2.3,21,1024,norm_dr_sd_min
2.4,14,1024,norm_dr_sd_min
2.5,6,1024,norm_dr_sd_min
2.6,2,1024,norm_dr_sd_min
2.7,0,1024,norm_dr_sd_min
2.8,0,1024,norm_dr_sd_min
2.9,0,1024,norm_dr_sd_min
3,0,1024,norm_dr_sd_min
