S.D.,Counts,seed,tournament_type
0.5,302,2,hetero_dr_sd_max
0.6,270,2,hetero_dr_sd_max
0.7,220,2,hetero_dr_sd_max
0.8,196,2,hetero_dr_sd_max
0.9,205,2,hetero_dr_sd_max
1.0,194,2,hetero_dr_sd_max
1.1,194,2,hetero_dr_sd_max
1.2,185,2,hetero_dr_sd_max
1.3,160,2,hetero_dr_sd_max
1.4,133,2,hetero_dr_sd_max
1.5,121,2,hetero_dr_sd_max
1.6,89,2,hetero_dr_sd_max
1.7,80,2,hetero_dr_sd_max
1.8,56,2,hetero_dr_sd_max
1.9,41,2,hetero_dr_sd_max
2.0,21,2,hetero_dr_sd_max
2.1,19,2,hetero_dr_sd_max
2.2,18,2,hetero_dr_sd_max
2.3,13,2,hetero_dr_sd_max
2.4,10,2,hetero_dr_sd_max
2.5,7,2,hetero_dr_sd_max
2.6,6,2,hetero_dr_sd_max
2.7,5,2,hetero_dr_sd_max
2.8,4,2,hetero_dr_sd_max
2.9,4,2,hetero_dr_sd_max
3.0,2,2,hetero_dr_sd_max
