,m,d,r,w,R,S,T,P
0,6.3,0.31,0.38,1.0,463018,118406,123230,285346
1,3.2,0.46,0.17,1.0,505724,128972,99049,256255
2,6.0,0.28,0.28,1.0,478741,115745,117804,277710
3,6.1,0.87,0.72,1.0,451749,117373,127700,293178
4,3.5,0.89,0.63,1.0,419484,93900,144429,332187
5,6.2,0.27,0.34,1.0,462835,119501,131077,276587
6,5.0,0.56,0.19,1.0,449455,118840,128891,292814
7,4.1,0.34,0.16,1.0,408245,109926,144577,327252
8,5.0,0.29,0.17,1.0,427209,120119,144303,298369
9,4.6,0.26,0.36,1.0,499833,125198,106417,258552
10,5.5,0.3,0.3,1.0,443387,103962,128163,314488
11,4.7,0.21,0.24,1.0,487449,134241,104342,263968
12,3.1,0.47,0.25,1.0,468937,121453,118522,281088
13,3.7,0.41,0.39,1.0,466401,112356,117001,294242
14,4.3,0.52,0.17,1.0,455564,113095,126809,294532
15,9.9,0.68,0.37,1.0,470361,119737,114940,284962
16,3.1,0.36,0.2,1.0,411182,108895,151659,318264
17,5.1,0.24,0.16,1.0,535534,146744,89216,218506
18,2.7,0.34,0.27,1.0,423112,112879,139198,314811
19,3.0,0.39,0.37,1.0,451954,121368,127827,288851
20,3.3,0.23,0.62,1.0,418695,102831,144191,324283
21,3.1,0.45,0.28,1.0,479772,131276,110527,268425
22,4.4,0.21,0.2,1.0,371678,104262,170791,343269
23,6.5,0.45,0.2,1.0,465565,124524,118004,281907
24,2.8,0.26,0.55,1.0,455884,110920,122740,300456
25,3.7,0.51,0.18,1.0,424871,116807,140190,308132
26,2.6,0.31,0.16,1.0,443334,117778,125222,303666
27,3.2,0.89,0.19,1.0,466703,109879,125885,287533
28,4.1,0.29,0.36,1.0,488453,123343,110947,267257
29,2.6,0.27,0.19,1.0,521446,140284,97117,231153
30,5.5,0.34,0.16,1.0,450570,120584,131189,287657
31,5.6,0.21,0.21,1.0,542704,163067,83772,200457
32,2.7,0.99,0.19,1.0,428754,110430,136176,314640
33,4.7,0.63,0.29,1.0,457125,107810,131512,293553
34,2.5,0.44,0.68,1.0,449758,110213,130117,299912
35,2.8,0.29,0.17,1.0,442842,125568,129886,291704
36,3.4,0.29,0.35,1.0,483444,114602,113147,278807
37,3.7,0.2,0.15,1.0,498441,132326,105451,253782
38,3.3,0.33,0.51,1.0,531196,141753,94712,222339
39,9.7,0.53,0.38,1.0,480261,150031,117732,241976
40,5.1,0.21,0.21,1.0,405695,93681,146447,344177
41,3.0,0.43,0.61,1.0,472630,120923,117972,278475
42,4.5,0.25,0.18,1.0,433164,114757,130437,311642
43,4.3,0.39,0.37,1.0,485370,133287,110885,260458
44,3.0,0.42,0.21,1.0,481001,120267,116061,272671
45,2.5,0.61,0.24,1.0,498393,157821,106823,226963
46,8.7,0.7,0.53,1.0,433843,110448,146401,299308
47,3.1,0.2,0.27,1.0,493599,119377,106682,270342
48,3.2,0.69,0.39,1.0,462556,118107,122457,286880
49,2.8,0.59,0.54,1.0,417231,127357,142382,303030
50,3.4,0.21,0.47,1.0,468787,132140,116731,272342
51,7.4,0.34,0.16,1.0,502718,131071,104157,252054
52,6.4,0.48,0.52,1.0,472534,149141,121242,247083
53,4.1,0.77,0.19,1.0,444229,124628,131655,289488
54,5.0,0.58,0.28,1.0,510166,132589,96513,250732
55,6.4,0.27,0.23,1.0,442943,106149,127794,313114
56,3.8,0.24,0.77,1.0,471426,128578,121953,268043
57,3.2,0.33,0.17,1.0,509451,143097,102230,235222
58,2.8,0.28,0.22,1.0,419244,113476,146248,311032
59,6.7,0.27,0.17,1.0,445486,111670,138330,294514
60,2.5,0.56,0.43,1.0,494123,138320,111385,246172
61,5.7,0.29,0.25,1.0,432139,107387,133735,316739
62,6.4,0.3,0.74,1.0,473056,138533,115021,263390
63,6.0,0.22,0.17,1.0,456913,105247,130461,297379
64,8.9,0.76,0.25,1.0,472965,124908,120554,271573
65,2.9,0.68,0.24,1.0,437173,113758,139380,299689
66,6.2,0.23,0.32,1.0,475355,116852,109096,288697
67,5.7,0.22,0.39,1.0,468357,134083,118006,269554
68,3.6,0.36,0.27,1.0,451175,121242,126038,291545
