,m,d,r,w,R,S,T,P
0,9.4,0.36,0.17,1.0,501470,143314,102833,242383
1,9.5,0.32,0.31,1.0,367547,107395,174480,340578
2,3.9,0.44,0.34,1.0,389067,120811,156360,323762
3,3.0,0.26,0.18,1.0,416899,115430,146702,310969
4,8.1,0.28,0.3,1.0,495251,144433,104683,245633
5,3.0,0.25,0.25,1.0,415414,126620,143806,304160
6,4.9,0.38,0.17,1.0,395283,106352,158692,329673
7,3.4,0.31,0.16,1.0,440226,142559,126288,280927
8,8.4,0.55,0.43,1.0,475804,126680,110289,277227
9,2.7,0.74,0.15,1.0,473369,146062,115588,254981
10,6.0,0.48,0.87,1.0,426982,114060,134488,314470
11,2.6,0.7,0.71,1.0,361405,108590,173401,346604
12,3.6,0.48,0.31,1.0,433173,104935,130989,320903
13,9.0,0.22,0.38,1.0,400919,113312,152669,323100
14,5.1,0.21,0.62,1.0,462587,152439,115373,259601
15,6.1,0.22,0.24,1.0,454668,150070,120059,265203
16,8.1,0.21,0.21,1.0,456558,143062,113034,277346
17,3.3,0.29,0.56,1.0,509174,155564,97089,228173
18,6.0,0.35,0.16,1.0,469230,153381,111047,256342
19,2.6,0.39,0.55,1.0,480100,155692,108584,245624
20,3.3,0.3,0.21,1.0,386424,115338,165441,322797
21,3.4,0.22,0.35,1.0,461136,139978,120392,268494
22,3.4,0.24,0.44,1.0,455951,136004,129307,268738
23,5.2,1.0,0.2,1.0,400937,105632,145928,337503
24,4.6,0.3,0.16,1.0,433947,125062,130346,300645
25,4.8,0.21,0.2,1.0,419437,120665,140111,309787
26,6.4,0.32,0.15,1.0,453249,123165,123651,289935
27,2.5,0.7,0.18,1.0,472789,144452,110890,261869
28,5.0,0.21,0.22,1.0,423277,133842,142567,290314
29,3.6,0.44,0.56,1.0,398148,130348,153427,308077
30,2.9,0.23,0.2,1.0,382683,121998,164245,321074
31,2.6,0.2,0.22,1.0,369473,112357,160818,347352
32,2.6,0.22,0.2,1.0,472544,147199,109954,260303
33,3.2,0.6,0.25,1.0,476103,155259,119108,239530
34,9.8,0.6,0.25,1.0,430404,125393,132933,301270
35,2.5,0.2,0.26,1.0,441371,133994,129672,284963
36,5.3,0.22,0.4,1.0,485447,161925,107122,235506
37,3.5,0.22,0.2,1.0,475371,135605,111363,267661
38,2.5,0.26,0.46,1.0,447220,145276,122709,274795
39,6.0,0.21,0.29,1.0,360938,110360,172918,345784
